#Compound List: 5149 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 49: 308.955;308.955;5733;529157;69;D:\g\temp\60C_1ml-min_0,25C-min_1.D;69;2.181;5;49;
True;Cpd 50: 326.078;326.078;3095;150161;95;D:\g\temp\60C_1ml-min_0,25C-min_1.D;95;2.012;1;50;
True;Cpd 51: 326.220;326.22;984;81937;121;D:\g\temp\60C_1ml-min_0,25C-min_1.D;121;1.204;3;51;
True;Cpd 52: 326.346;326.346;3951;313262;69;D:\g\temp\60C_1ml-min_0,25C-min_1.D;69;1.888;3;52;
True;Cpd 53: 326.368;326.368;7210;524987;143;D:\g\temp\60C_1ml-min_0,25C-min_1.D;143;2.11;3;53;
True;Cpd 54: 326.384;326.384;5840;326017;312;D:\g\temp\60C_1ml-min_0,25C-min_1.D;312;1.999;3;54;
True;Cpd 55: 326.407;326.407;6021;479675;75;D:\g\temp\60C_1ml-min_0,25C-min_1.D;75;2.164;3;55;
True;Cpd 56: 326.421;326.421;25321;1236102;74;D:\g\temp\60C_1ml-min_0,25C-min_1.D;74;1.447;2;56;
True;Cpd 57: 326.519;326.519;2130;83294;281;D:\g\temp\60C_1ml-min_0,25C-min_1.D;281;1.505;1;57;
True;Cpd 58: 350.922;350.922;23997;1224095;87;D:\g\temp\60C_1ml-min_0,25C-min_1.D;87;2.634;2;58;
True;Cpd 59: 350.976;350.976;31286;1737473;74;D:\g\temp\60C_1ml-min_0,25C-min_1.D;74;2.902;2;59;
True;Cpd 60: 351.000;351;7159;395665;326;D:\g\temp\60C_1ml-min_0,25C-min_1.D;326;2.02;2;60;
True;Cpd 61: 351.074;351.074;5726;269336;57;D:\g\temp\60C_1ml-min_0,25C-min_1.D;57;2.082;1;61;
True;Cpd 62: 358.010;358.01;2656;176498;97;D:\g\temp\60C_1ml-min_0,25C-min_1.D;97;1.558;2;62;
True;Cpd 63: 358.090;358.09;2751;154616;83;D:\g\temp\60C_1ml-min_0,25C-min_1.D;83;1.636;2;63;
True;Cpd 64: 374.426;374.426;4174;410699;67;D:\g\temp\60C_1ml-min_0,25C-min_1.D;67;1.979;3;64;
True;Cpd 65: 374.340;374.34;3622;223790;95;D:\g\temp\60C_1ml-min_0,25C-min_1.D;95;1.83;2;65;
True;Cpd 66: 374.399;374.399;4025;308737;340;D:\g\temp\60C_1ml-min_0,25C-min_1.D;340;1.727;3;66;
True;Cpd 67: 374.433;374.433;10214;549940;87;D:\g\temp\60C_1ml-min_0,25C-min_1.D;87;1.109;3;67;
True;Cpd 68: 397.417;397.417;9607;890050;354;D:\g\temp\60C_1ml-min_0,25C-min_1.D;354;2.259;5;68;
True;Cpd 69: 397.442;397.442;29475;3564894;74;D:\g\temp\60C_1ml-min_0,25C-min_1.D;74;2.712;5;69;
True;Cpd 70: 397.525;397.525;2754;178970;355;D:\g\temp\60C_1ml-min_0,25C-min_1.D;355;1.69;2;70;
True;Cpd 71: 397.549;397.549;3804;189208;97;D:\g\temp\60C_1ml-min_0,25C-min_1.D;97;1.933;2;71;
True;Cpd 72: 404.140;404.14;3008;152873;97;D:\g\temp\60C_1ml-min_0,25C-min_1.D;97;1.715;3;72;
True;Cpd 73: 404.078;404.078;3414;161735;83;D:\g\temp\60C_1ml-min_0,25C-min_1.D;83;1.752;2;73;
True;Cpd 74: 404.079;404.079;3842;409731;69;D:\g\temp\60C_1ml-min_0,25C-min_1.D;69;1.756;3;74;
True;Cpd 75: 411.084;411.084;861;38433;119;D:\g\temp\60C_1ml-min_0,25C-min_1.D;119;0.96;2;75;
True;Cpd 76: 419.222;419.222;4771;442688;57;D:\g\temp\60C_1ml-min_0,25C-min_1.D;57;1.966;3;76;
