#Compound List: 7225 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 1: 5.227;5.227;316757;5371863;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.346;14;1;
True;Cpd 2: 6.131;6.131;377045;6341056;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.47;19;2;
True;Cpd 3: 6.758;6.758;198147;3130288;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.462;22;3;
True;Cpd 4: 7.499;7.499;426473;6022500;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.437;19;4;
True;Cpd 5: 8.343;8.343;228542;3237547;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.342;22;5;
True;Cpd 6: 9.266;9.266;508967;7100932;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.313;28;6;
True;Cpd 7: 9.978;9.978;84920;3282575;55;D:\g\temp\130C_1ml-min_6C-min_2.D;55;0.256;60;7;
True;Cpd 8: 10.244;10.244;268963;3490699;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.28;28;8;
True;Cpd 9: 10.986;10.986;99130;3009863;55;D:\g\temp\130C_1ml-min_6C-min_2.D;55;0.243;60;9;
True;Cpd 10: 11.253;11.253;865984;11362736;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.251;33;10;
True;Cpd 11: 11.871;11.871;78698;3424214;55;D:\g\temp\130C_1ml-min_6C-min_2.D;55;0.272;71;11;
True;Cpd 12: 12.266;12.266;290782;3823491;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.235;35;12;
True;Cpd 13: 12.891;12.891;91681;3727384;55;D:\g\temp\130C_1ml-min_6C-min_2.D;55;0.256;84;13;
True;Cpd 14: 13.284;13.284;605248;8438542;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.243;37;14;
True;Cpd 15: 13.634;13.634;83662;3752207;55;D:\g\temp\130C_1ml-min_6C-min_2.D;55;0.181;91;15;
True;Cpd 16: 13.817;13.817;175242;8336542;55;D:\g\temp\130C_1ml-min_6C-min_2.D;55;0.239;94;16;
True;Cpd 17: 14.224;14.224;106132;3503554;67;D:\g\temp\130C_1ml-min_6C-min_2.D;67;0.264;54;17;
True;Cpd 18: 14.280;14.28;592016;8912467;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.251;36;18;
True;Cpd 19: 14.637;14.637;101486;3555547;67;D:\g\temp\130C_1ml-min_6C-min_2.D;67;0.26;75;19;
True;Cpd 20: 15.221;15.221;87131;2606217;79;D:\g\temp\130C_1ml-min_6C-min_2.D;79;0.276;39;20;
True;Cpd 21: 15.259;15.259;627526;9712915;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.251;36;21;
True;Cpd 22: 15.586;15.586;110399;2981849;79;D:\g\temp\130C_1ml-min_6C-min_2.D;79;0.198;61;22;
True;Cpd 23: 15.767;15.767;97716;4298928;55;D:\g\temp\130C_1ml-min_6C-min_2.D;55;0.256;98;23;
True;Cpd 24: 16.206;16.206;303380;4646454;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.243;38;24;
True;Cpd 25: 16.560;16.56;105808;3791118;67;D:\g\temp\130C_1ml-min_6C-min_2.D;67;0.256;72;25;
True;Cpd 26: 17.119;17.119;96793;3033722;67;D:\g\temp\130C_1ml-min_6C-min_2.D;67;0.268;44;26;
True;Cpd 27: 17.139;17.139;607043;10142886;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.247;34;27;
True;Cpd 28: 17.464;17.464;112939;3229787;79;D:\g\temp\130C_1ml-min_6C-min_2.D;79;0.235;46;28;
True;Cpd 29: 17.529;17.529;98276;3422368;79;D:\g\temp\130C_1ml-min_6C-min_2.D;79;0.309;56;29;
True;Cpd 30: 17.621;17.621;102891;4481966;55;D:\g\temp\130C_1ml-min_6C-min_2.D;55;0.26;86;30;
True;Cpd 31: 18.027;18.027;270521;4827582;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.268;43;31;
True;Cpd 32: 18.376;18.376;102379;3964338;67;D:\g\temp\130C_1ml-min_6C-min_2.D;67;0.251;62;32;
True;Cpd 33: 18.456;18.456;91953;3012136;79;D:\g\temp\130C_1ml-min_6C-min_2.D;79;0.264;61;33;
True;Cpd 34: 18.468;18.468;30901;385667;77;D:\g\temp\130C_1ml-min_6C-min_2.D;77;0.033;19;34;
True;Cpd 35: 18.910;18.91;512464;9702633;74;D:\g\temp\130C_1ml-min_6C-min_2.D;74;0.251;39;35;
True;Cpd 36: 19.366;19.366;97457;4717909;55;D:\g\temp\130C_1ml-min_6C-min_2.D;55;0.268;101;36;
True;Cpd 37: 19.746;19.746;43005;212110;149;D:\g\temp\130C_1ml-min_6C-min_2.D;149;0.235;9;37;
True;Cpd 38: 20.637;20.637;66663;2639105;79;D:\g\temp\130C_1ml-min_6C-min_2.D;79;0.289;75;38;

