#Compound List: 7225 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 1: 5.134;5.134;345010;5846765;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.392;18;1;
True;Cpd 2: 5.459;5.459;179969;2990652;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.35;21;2;
True;Cpd 3: 5.861;5.861;386047;6737344;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.408;23;3;
True;Cpd 4: 6.344;6.344;211888;3366227;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.383;21;4;
True;Cpd 5: 6.899;6.899;453708;7115412;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.387;24;5;
True;Cpd 6: 7.383;7.383;77786;3182678;55;D:\g\temp\150C_1ml-min_7C-min_3.D;55;0.367;58;6;
True;Cpd 7: 7.525;7.525;243774;3724977;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.35;28;7;
True;Cpd 8: 8.054;8.054;91384;3180730;55;D:\g\temp\150C_1ml-min_7C-min_3.D;55;0.194;61;8;
True;Cpd 9: 8.207;8.207;804193;12014177;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.309;33;9;
True;Cpd 10: 8.677;8.677;77545;3757719;55;D:\g\temp\150C_1ml-min_7C-min_3.D;55;0.227;82;10;
True;Cpd 11: 8.929;8.929;282298;3844938;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.289;31;11;
True;Cpd 12: 9.420;9.42;92549;3939874;55;D:\g\temp\150C_1ml-min_7C-min_3.D;55;0.243;79;12;
True;Cpd 13: 9.685;9.685;632959;8998791;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.264;36;13;
True;Cpd 14: 9.969;9.969;86872;3840966;55;D:\g\temp\150C_1ml-min_7C-min_3.D;55;0.157;80;14;
True;Cpd 15: 10.120;10.12;187135;8585866;55;D:\g\temp\150C_1ml-min_7C-min_3.D;55;0.243;89;15;
True;Cpd 16: 10.429;10.429;124334;3612125;67;D:\g\temp\150C_1ml-min_7C-min_3.D;67;0.28;51;16;
True;Cpd 17: 10.450;10.45;650560;9184480;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.264;34;17;
True;Cpd 18: 10.777;10.777;108613;3689964;67;D:\g\temp\150C_1ml-min_7C-min_3.D;67;0.243;68;18;
True;Cpd 19: 11.223;11.223;711024;10329305;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.247;35;19;
True;Cpd 20: 11.248;11.248;93806;3076816;79;D:\g\temp\150C_1ml-min_7C-min_3.D;79;0.264;48;20;
True;Cpd 21: 11.541;11.541;115751;2999075;79;D:\g\temp\150C_1ml-min_7C-min_3.D;79;0.251;59;21;
True;Cpd 22: 11.654;11.654;112470;4555551;55;D:\g\temp\150C_1ml-min_7C-min_3.D;55;0.235;88;22;
True;Cpd 23: 11.986;11.986;343756;4894125;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.235;37;23;
True;Cpd 24: 12.312;12.312;116140;3966323;67;D:\g\temp\150C_1ml-min_7C-min_3.D;67;0.227;68;24;
True;Cpd 25: 12.750;12.75;683716;11043171;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.243;37;25;
True;Cpd 26: 12.783;12.783;96071;3435042;79;D:\g\temp\150C_1ml-min_7C-min_3.D;79;0.256;47;26;
True;Cpd 27: 13.067;13.067;121591;3008906;79;D:\g\temp\150C_1ml-min_7C-min_3.D;79;0.235;50;27;
True;Cpd 28: 13.134;13.134;103277;2824661;79;D:\g\temp\150C_1ml-min_7C-min_3.D;79;0.309;38;28;
True;Cpd 29: 13.168;13.168;131548;5338887;55;D:\g\temp\150C_1ml-min_7C-min_3.D;55;0.309;76;29;
True;Cpd 30: 13.486;13.486;306817;4962493;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.235;39;30;
True;Cpd 31: 13.805;13.805;112215;3688124;67;D:\g\temp\150C_1ml-min_7C-min_3.D;67;0.235;59;31;
True;Cpd 32: 13.910;13.91;94555;2955790;79;D:\g\temp\150C_1ml-min_7C-min_3.D;79;0.256;62;32;
True;Cpd 33: 14.224;14.224;604484;10272688;74;D:\g\temp\150C_1ml-min_7C-min_3.D;74;0.243;40;33;
True;Cpd 34: 14.629;14.629;104895;4749970;55;D:\g\temp\150C_1ml-min_7C-min_3.D;55;0.264;91;34;
True;Cpd 35: 15.078;15.078;43994;218187;149;D:\g\temp\150C_1ml-min_7C-min_3.D;149;0.223;8;35;
True;Cpd 36: 15.830;15.83;60722;2248738;79;D:\g\temp\150C_1ml-min_7C-min_3.D;79;0.297;60;36;

