#Compound List: 7225 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 1: 5.452;5.452;16385;400980;86;D:\g\temp\110C_1ml-min_5C-min_2.D;86;0.977;8;1;
True;Cpd 2: 6.275;6.275;328764;4822127;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.445;16;2;
True;Cpd 3: 8.029;8.029;412312;5827296;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.404;18;3;
True;Cpd 4: 9.160;9.16;232634;3213465;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.363;22;4;
True;Cpd 5: 10.414;10.414;515354;7033263;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.301;23;5;
True;Cpd 6: 11.746;11.746;282412;3650924;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.276;23;6;
True;Cpd 7: 13.119;13.119;615102;8251524;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.28;28;7;
True;Cpd 8: 14.077;14.077;96781;3813812;55;D:\g\temp\110C_1ml-min_5C-min_2.D;55;0.301;68;8;
True;Cpd 9: 14.493;14.493;311752;4124062;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.272;28;9;
True;Cpd 10: 15.457;15.457;105471;4082018;55;D:\g\temp\110C_1ml-min_5C-min_2.D;55;0.276;72;10;
True;Cpd 11: 15.861;15.861;957081;13849542;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.272;34;11;
True;Cpd 12: 16.632;16.632;87888;4167711;55;D:\g\temp\110C_1ml-min_5C-min_2.D;55;0.28;80;12;
True;Cpd 13: 17.186;17.186;317953;4646284;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.256;34;13;
True;Cpd 14: 17.949;17.949;97031;4522524;55;D:\g\temp\110C_1ml-min_5C-min_2.D;55;0.284;83;14;
True;Cpd 15: 18.488;18.488;656677;10307926;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.276;36;15;
True;Cpd 16: 18.910;18.91;89388;4646985;55;D:\g\temp\110C_1ml-min_5C-min_2.D;55;0.214;88;16;
True;Cpd 17: 19.126;19.126;180893;10012952;55;D:\g\temp\110C_1ml-min_5C-min_2.D;55;0.28;94;17;
True;Cpd 18: 19.640;19.64;111574;4529340;67;D:\g\temp\110C_1ml-min_5C-min_2.D;67;0.268;68;18;
True;Cpd 19: 19.737;19.737;601850;9832763;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.276;36;19;
True;Cpd 20: 20.128;20.128;105014;4004294;67;D:\g\temp\110C_1ml-min_5C-min_2.D;67;0.264;68;20;
True;Cpd 21: 20.831;20.831;86577;3645239;79;D:\g\temp\110C_1ml-min_5C-min_2.D;79;0.268;73;21;
True;Cpd 22: 20.930;20.93;36426;321956;88;D:\g\temp\110C_1ml-min_5C-min_2.D;88;0.021;12;22;
True;Cpd 23: 20.950;20.95;603676;10253606;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.26;36;23;
True;Cpd 24: 21.286;21.286;111492;3536300;79;D:\g\temp\110C_1ml-min_5C-min_2.D;79;0.26;57;24;
True;Cpd 25: 21.545;21.545;93607;4759326;55;D:\g\temp\110C_1ml-min_5C-min_2.D;55;0.284;89;25;
True;Cpd 26: 22.108;22.108;269655;4725019;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.276;37;26;
True;Cpd 27: 22.503;22.503;96723;4129643;67;D:\g\temp\110C_1ml-min_5C-min_2.D;67;0.268;72;27;
True;Cpd 28: 23.168;23.168;83289;3777406;79;D:\g\temp\110C_1ml-min_5C-min_2.D;79;0.268;53;28;
True;Cpd 29: 23.246;23.246;510226;10025695;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.289;38;29;
True;Cpd 30: 23.593;23.593;108415;3575428;79;D:\g\temp\110C_1ml-min_5C-min_2.D;79;0.239;38;30;
True;Cpd 31: 23.655;23.655;99836;3660225;79;D:\g\temp\110C_1ml-min_5C-min_2.D;79;0.363;52;31;
True;Cpd 32: 23.811;23.811;86447;4247238;55;D:\g\temp\110C_1ml-min_5C-min_2.D;55;0.276;90;32;
True;Cpd 33: 24.322;24.322;216579;4434742;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.301;43;33;
True;Cpd 34: 24.716;24.716;85333;3908224;67;D:\g\temp\110C_1ml-min_5C-min_2.D;67;0.309;47;34;
True;Cpd 35: 24.768;24.768;91196;3264896;79;D:\g\temp\110C_1ml-min_5C-min_2.D;79;0.33;51;35;
True;Cpd 36: 25.387;25.387;415938;9121035;74;D:\g\temp\110C_1ml-min_5C-min_2.D;74;0.284;43;36;
True;Cpd 37: 25.926;25.926;75202;4136432;55;D:\g\temp\110C_1ml-min_5C-min_2.D;55;0.289;90;37;
True;Cpd 38: 26.244;26.244;45080;244541;149;D:\g\temp\110C_1ml-min_5C-min_2.D;149;0.218;8;38;
True;Cpd 39: 27.385;27.385;59761;2385415;79;D:\g\temp\110C_1ml-min_5C-min_2.D;79;0.297;67;39;

