#Compound List: 7225 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 1: 4.978;4.978;17320;296335;91;D:\g\temp\130C_1ml-min_1C-min_3.D;91;0.486;10;1;
True;Cpd 2: 5.731;5.731;317730;6006384;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.598;15;2;
True;Cpd 3: 7.420;7.42;314342;5480883;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.565;15;3;
True;Cpd 4: 8.789;8.789;147367;3717381;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.68;21;4;
True;Cpd 5: 10.642;10.642;283610;6576614;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.758;12;5;
True;Cpd 6: 13.058;13.058;130823;3573949;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.73;18;6;
True;Cpd 7: 13.082;13.082;23489;643759;143;D:\g\temp\130C_1ml-min_1C-min_3.D;143;0.008;10;7;
True;Cpd 8: 16.104;16.104;256994;7305950;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.824;19;8;
True;Cpd 9: 16.111;16.111;169809;4472821;87;D:\g\temp\130C_1ml-min_1C-min_3.D;87;0.68;18;9;
True;Cpd 10: 18.486;18.486;37384;2823146;55;D:\g\temp\130C_1ml-min_1C-min_3.D;55;0.622;42;10;
True;Cpd 11: 19.777;19.777;118197;4121882;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.746;28;11;
True;Cpd 12: 22.537;22.537;15035;1422243;83;D:\g\temp\130C_1ml-min_1C-min_3.D;83;0.54;32;12;
True;Cpd 13: 24.050;24.05;344633;13087948;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.82;24;13;
True;Cpd 14: 26.462;26.462;28067;2165587;55;D:\g\temp\130C_1ml-min_1C-min_3.D;55;0.594;42;14;
True;Cpd 15: 28.757;28.757;102001;2366422;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.812;13;15;
True;Cpd 16: 31.348;31.348;30616;2259534;55;D:\g\temp\130C_1ml-min_1C-min_3.D;55;0.919;38;16;
True;Cpd 17: 33.832;33.832;204451;5390057;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.808;17;17;
True;Cpd 18: 35.369;35.369;27450;2281158;55;D:\g\temp\130C_1ml-min_1C-min_3.D;55;0.664;39;18;
True;Cpd 19: 36.085;36.085;53825;6402308;55;D:\g\temp\130C_1ml-min_1C-min_3.D;55;0.878;42;19;
True;Cpd 20: 38.391;38.391;29125;2776618;67;D:\g\temp\130C_1ml-min_1C-min_3.D;67;0.569;40;20;
True;Cpd 21: 38.407;38.407;13729;733405;96;D:\g\temp\130C_1ml-min_1C-min_3.D;96;0.412;19;21;
True;Cpd 22: 39.120;39.12;186826;8383260;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.981;25;22;
True;Cpd 23: 39.101;39.101;42744;1693930;143;D:\g\temp\130C_1ml-min_1C-min_3.D;143;0.758;20;23;
True;Cpd 24: 40.069;40.069;29044;2751024;67;D:\g\temp\130C_1ml-min_1C-min_3.D;67;0.87;38;24;
True;Cpd 25: 42.851;42.851;22962;1711375;79;D:\g\temp\130C_1ml-min_1C-min_3.D;79;0.639;34;25;
True;Cpd 26: 44.505;44.505;15064;786810;97;D:\g\temp\130C_1ml-min_1C-min_3.D;97;0.738;19;26;
True;Cpd 27: 44.518;44.518;190198;6852098;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.923;19;27;
True;Cpd 28: 44.879;44.879;17491;1076106;67;D:\g\temp\130C_1ml-min_1C-min_3.D;67;0.684;21;28;
True;Cpd 29: 46.737;46.737;18264;2251418;83;D:\g\temp\130C_1ml-min_1C-min_3.D;83;0.651;37;29;
True;Cpd 30: 49.883;49.883;85745;4040340;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.602;23;30;
True;Cpd 31: 49.903;49.903;85745;2485550;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.783;14;31;
True;Cpd 32: 50.819;50.819;28000;3205665;67;D:\g\temp\130C_1ml-min_1C-min_3.D;67;0.894;32;32;
True;Cpd 33: 53.568;53.568;21742;2129557;79;D:\g\temp\130C_1ml-min_1C-min_3.D;79;0.622;37;33;
True;Cpd 34: 55.312;55.312;134266;6470924;87;D:\g\temp\130C_1ml-min_1C-min_3.D;87;1.022;21;34;
True;Cpd 35: 55.323;55.323;43936;2387003;354;D:\g\temp\130C_1ml-min_1C-min_3.D;354;0.903;14;35;
True;Cpd 36: 55.574;55.574;11293;805704;105;D:\g\temp\130C_1ml-min_1C-min_3.D;105;1.03;16;36;
True;Cpd 37: 55.597;55.597;28665;2975314;67;D:\g\temp\130C_1ml-min_1C-min_3.D;67;1.072;18;37;
True;Cpd 38: 55.632;55.632;44634;3293294;79;D:\g\temp\130C_1ml-min_1C-min_3.D;79;1.031;17;38;
True;Cpd 39: 57.454;57.454;28075;2954311;55;D:\g\temp\130C_1ml-min_1C-min_3.D;55;0.903;46;39;
True;Cpd 40: 60.519;60.519;82643;4013970;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;0.012;23;40;
True;Cpd 41: 60.534;60.534;24956;2060806;55;D:\g\temp\130C_1ml-min_1C-min_3.D;55;0.923;24;41;
True;Cpd 42: 61.464;61.464;26894;2172185;67;D:\g\temp\130C_1ml-min_1C-min_3.D;67;0.911;30;42;
True;Cpd 43: 65.769;65.769;143864;8824086;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;1.063;23;43;
True;Cpd 44: 67.830;67.83;16414;684130;74;D:\g\temp\130C_1ml-min_1C-min_3.D;74;1.088;17;44;
True;Cpd 45: 67.831;67.831;23797;2383970;55;D:\g\temp\130C_1ml-min_1C-min_3.D;55;0.915;26;45;
True;Cpd 46: 73.171;73.171;15460;1653404;79;D:\g\temp\130C_1ml-min_1C-min_3.D;79;0.944;28;46;

