#Compound List: 5149 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 1: 5.614;5.614;205227;2409388;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.28;14;1;
True;Cpd 2: 6.841;6.841;362408;3995025;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.342;17;2;
True;Cpd 3: 8.471;8.471;544647;5021191;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.243;22;3;
True;Cpd 4: 9.357;9.357;302928;2594556;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.214;23;4;
True;Cpd 5: 10.246;10.246;669962;5583596;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.206;23;5;
True;Cpd 6: 11.123;11.123;347381;2915837;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.206;25;6;
True;Cpd 7: 11.978;11.978;734683;6331530;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.19;28;7;
True;Cpd 8: 12.571;12.571;114072;3066708;55;D:\g\temp\90C_1ml-min_9C-min_2.D;55;0.181;72;8;
True;Cpd 9: 12.801;12.801;377795;3230047;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.177;29;9;
True;Cpd 10: 13.383;13.383;131648;3229123;55;D:\g\temp\90C_1ml-min_9C-min_2.D;55;0.177;75;10;
True;Cpd 11: 13.596;13.596;1174592;10669894;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.181;32;11;
True;Cpd 12: 14.059;14.059;104783;3441411;55;D:\g\temp\90C_1ml-min_9C-min_2.D;55;0.202;84;12;
True;Cpd 13: 14.353;14.353;386737;3683917;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.181;34;13;
True;Cpd 14: 14.807;14.807;117944;3720937;55;D:\g\temp\90C_1ml-min_9C-min_2.D;55;0.194;87;14;
True;Cpd 15: 15.087;15.087;808355;8294298;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.185;37;15;
True;Cpd 16: 15.336;15.336;111578;3849537;55;D:\g\temp\90C_1ml-min_9C-min_2.D;55;0.136;92;16;
True;Cpd 17: 15.468;15.468;230177;8210480;55;D:\g\temp\90C_1ml-min_9C-min_2.D;55;0.181;94;17;
True;Cpd 18: 15.747;15.747;139334;3401167;67;D:\g\temp\90C_1ml-min_9C-min_2.D;67;0.218;52;18;
True;Cpd 19: 15.785;15.785;791146;8860816;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.206;36;19;
True;Cpd 20: 16.045;16.045;132061;3476161;67;D:\g\temp\90C_1ml-min_9C-min_2.D;67;0.202;74;20;
True;Cpd 21: 16.459;16.459;832500;12155325;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.198;60;21;
True;Cpd 22: 16.708;16.708;145475;2921761;79;D:\g\temp\90C_1ml-min_9C-min_2.D;79;0.128;62;22;
True;Cpd 23: 16.814;16.814;127497;4431300;55;D:\g\temp\90C_1ml-min_9C-min_2.D;55;0.198;100;23;
True;Cpd 24: 17.100;17.1;406349;4679526;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.177;38;24;
True;Cpd 25: 17.362;17.362;138156;3775339;67;D:\g\temp\90C_1ml-min_9C-min_2.D;67;0.194;74;25;
True;Cpd 26: 17.731;17.731;814872;10511982;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.198;37;26;
True;Cpd 27: 17.747;17.747;120477;3522324;67;D:\g\temp\90C_1ml-min_9C-min_2.D;67;0.21;55;27;
True;Cpd 28: 17.984;17.984;147139;3018200;79;D:\g\temp\90C_1ml-min_9C-min_2.D;79;0.202;51;28;
True;Cpd 29: 18.040;18.04;123284;3310517;79;D:\g\temp\90C_1ml-min_9C-min_2.D;79;0.251;49;29;
True;Cpd 30: 18.069;18.069;146713;5209667;55;D:\g\temp\90C_1ml-min_9C-min_2.D;55;0.231;74;30;
True;Cpd 31: 18.336;18.336;346052;4905483;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.206;43;31;
True;Cpd 32: 18.611;18.611;124982;3983032;67;D:\g\temp\90C_1ml-min_9C-min_2.D;67;0.206;68;32;
True;Cpd 33: 18.709;18.709;103944;2980537;79;D:\g\temp\90C_1ml-min_9C-min_2.D;79;0.202;66;33;
True;Cpd 34: 18.972;18.972;631029;10276401;74;D:\g\temp\90C_1ml-min_9C-min_2.D;74;0.214;43;34;
True;Cpd 35: 19.333;19.333;112589;4833625;55;D:\g\temp\90C_1ml-min_9C-min_2.D;55;0.235;99;35;
True;Cpd 36: 19.799;19.799;45896;202922;149;D:\g\temp\90C_1ml-min_9C-min_2.D;149;0.239;8;36;
True;Cpd 37: 20.444;20.444;67893;2436981;79;D:\g\temp\90C_1ml-min_9C-min_2.D;79;0.264;73;37;

