#Compound List: 5149 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 1: 6.522;6.522;62741;1006083;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.437;8;1;
True;Cpd 2: 7.140;7.14;29913;446672;91;D:\g\temp\60C_1ml-min_3C-min_3.D;91;0.519;9;2;
True;Cpd 3: 8.503;8.503;13075;183174;71;D:\g\temp\60C_1ml-min_3C-min_3.D;71;0.474;7;3;
True;Cpd 4: 9.857;9.857;121650;1645626;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.54;10;4;
True;Cpd 5: 9.865;9.865;121650;1978627;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.507;12;5;
True;Cpd 6: 15.125;15.125;172119;2988216;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.511;14;6;
True;Cpd 7: 21.201;21.201;201794;3558279;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.449;19;7;
True;Cpd 8: 24.219;24.219;104884;1921908;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.466;23;8;
True;Cpd 9: 27.130;27.13;226969;3899106;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.462;18;9;
True;Cpd 10: 29.921;29.921;112798;2003827;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.396;21;10;
True;Cpd 11: 32.597;32.597;250406;4477916;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.412;20;11;
True;Cpd 12: 34.259;34.259;36806;1961835;55;D:\g\temp\60C_1ml-min_3C-min_3.D;55;0.338;59;12;
True;Cpd 13: 35.142;35.142;127065;2503869;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.425;27;13;
True;Cpd 14: 36.765;36.765;41377;1547094;55;D:\g\temp\60C_1ml-min_3C-min_3.D;55;0.247;50;14;
True;Cpd 15: 37.583;37.583;412549;9019905;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.425;30;15;
True;Cpd 16: 38.827;38.827;32797;1740903;55;D:\g\temp\60C_1ml-min_3C-min_3.D;55;0.313;55;16;
True;Cpd 17: 39.897;39.897;129178;2456910;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.383;25;17;
True;Cpd 18: 41.117;41.117;27474;1688822;69;D:\g\temp\60C_1ml-min_3C-min_3.D;69;0.305;52;18;
True;Cpd 19: 42.135;42.135;285292;6680508;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.42;32;19;
True;Cpd 20: 42.803;42.803;35991;2312137;55;D:\g\temp\60C_1ml-min_3C-min_3.D;55;0.293;61;20;
True;Cpd 21: 43.129;43.129;76132;5235284;55;D:\g\temp\60C_1ml-min_3C-min_3.D;55;0.416;68;21;
True;Cpd 22: 44.040;44.04;42117;2126190;67;D:\g\temp\60C_1ml-min_3C-min_3.D;67;0.355;59;22;
True;Cpd 23: 44.247;44.247;57316;1162432;55;D:\g\temp\60C_1ml-min_3C-min_3.D;55;0.194;21;23;
True;Cpd 24: 44.263;44.263;275542;5941343;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.42;24;24;
True;Cpd 25: 44.778;44.778;40351;2172812;67;D:\g\temp\60C_1ml-min_3C-min_3.D;67;0.392;58;25;
True;Cpd 26: 45.922;45.922;32419;1942673;79;D:\g\temp\60C_1ml-min_3C-min_3.D;79;0.313;68;26;
True;Cpd 27: 46.296;46.296;63404;856151;55;D:\g\temp\60C_1ml-min_3C-min_3.D;55;0.016;15;27;
True;Cpd 28: 46.309;46.309;294125;7548161;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.433;34;28;
True;Cpd 29: 46.687;46.687;41417;1955157;79;D:\g\temp\60C_1ml-min_3C-min_3.D;79;0.301;52;29;
True;Cpd 30: 47.236;47.236;41119;2735643;55;D:\g\temp\60C_1ml-min_3C-min_3.D;55;0.433;59;30;
True;Cpd 31: 48.260;48.26;133889;2949187;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.012;21;31;
True;Cpd 32: 48.801;48.801;43149;2560889;67;D:\g\temp\60C_1ml-min_3C-min_3.D;67;0.363;61;32;
True;Cpd 33: 49.865;49.865;31782;1956469;79;D:\g\temp\60C_1ml-min_3C-min_3.D;79;0.322;59;33;
True;Cpd 34: 50.180;50.18;280687;6858259;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.425;25;34;
True;Cpd 35: 50.605;50.605;40902;1984312;67;D:\g\temp\60C_1ml-min_3C-min_3.D;67;0.367;29;35;
True;Cpd 36: 50.622;50.622;62328;2406597;79;D:\g\temp\60C_1ml-min_3C-min_3.D;79;0.412;34;36;
True;Cpd 37: 50.633;50.633;32468;1040600;91;D:\g\temp\60C_1ml-min_3C-min_3.D;91;0.346;32;37;
True;Cpd 38: 51.055;51.055;42388;3043660;55;D:\g\temp\60C_1ml-min_3C-min_3.D;55;0.449;63;38;
True;Cpd 39: 51.992;51.992;118529;2690492;74;D:\g\temp\60C_1ml-min_3C-min_3.D;74;0.433;30;39;
