#Compound List: 7225 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 1: 5.742;5.742;468103;6376368;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.367;18;1;
True;Cpd 2: 6.208;6.208;247570;3382108;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.363;21;2;
True;Cpd 3: 6.750;6.75;563715;7345453;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.363;22;3;
True;Cpd 4: 7.352;7.352;314879;3870443;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.301;24;4;
True;Cpd 5: 7.999;7.999;715540;8376772;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.26;28;5;
True;Cpd 6: 8.504;8.504;123470;4104322;55;D:\g\temp\130C_1ml-min_9C-min_2.D;55;0.223;72;6;
True;Cpd 7: 8.673;8.673;396137;4233670;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.227;28;7;
True;Cpd 8: 9.193;9.193;150273;4250146;55;D:\g\temp\130C_1ml-min_9C-min_2.D;55;0.177;75;8;
True;Cpd 9: 9.360;9.36;1281904;13813224;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.214;35;9;
True;Cpd 10: 9.794;9.794;122575;4448588;55;D:\g\temp\130C_1ml-min_9C-min_2.D;55;0.202;85;10;
True;Cpd 11: 10.045;10.045;450603;4709051;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.202;36;11;
True;Cpd 12: 10.482;10.482;142035;4747973;55;D:\g\temp\130C_1ml-min_9C-min_2.D;55;0.202;89;12;
True;Cpd 13: 10.728;10.728;970351;10048584;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.185;37;13;
True;Cpd 14: 10.972;10.972;133428;4798309;55;D:\g\temp\130C_1ml-min_9C-min_2.D;55;0.136;94;14;
True;Cpd 15: 11.102;11.102;275919;10060764;55;D:\g\temp\130C_1ml-min_9C-min_2.D;55;0.185;93;15;
True;Cpd 16: 11.368;11.368;179257;4166309;67;D:\g\temp\130C_1ml-min_9C-min_2.D;67;0.223;52;16;
True;Cpd 17: 11.395;11.395;918303;10344936;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.181;36;17;
True;Cpd 18: 11.662;11.662;163773;4269232;67;D:\g\temp\130C_1ml-min_9C-min_2.D;67;0.177;74;18;
True;Cpd 19: 12.048;12.048;928730;10915241;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.206;38;19;
True;Cpd 20: 12.060;12.06;143294;3770675;79;D:\g\temp\130C_1ml-min_9C-min_2.D;79;0.202;55;20;
True;Cpd 21: 12.308;12.308;174117;3608825;79;D:\g\temp\130C_1ml-min_9C-min_2.D;79;0.12;63;21;
True;Cpd 22: 12.402;12.402;148367;4968097;55;D:\g\temp\130C_1ml-min_9C-min_2.D;55;0.177;99;22;
True;Cpd 23: 12.676;12.676;419666;4878488;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.194;38;23;
True;Cpd 24: 12.940;12.94;151939;4357421;67;D:\g\temp\130C_1ml-min_9C-min_2.D;67;0.198;73;24;
True;Cpd 25: 13.297;13.297;794435;10562696;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.206;37;25;
True;Cpd 26: 13.324;13.324;132638;4026767;79;D:\g\temp\130C_1ml-min_9C-min_2.D;79;0.218;58;26;
True;Cpd 27: 13.556;13.556;163285;3481222;79;D:\g\temp\130C_1ml-min_9C-min_2.D;79;0.181;57;27;
True;Cpd 28: 13.617;13.617;138792;3700822;79;D:\g\temp\130C_1ml-min_9C-min_2.D;79;0.28;52;28;
True;Cpd 29: 13.636;13.636;153055;4694508;55;D:\g\temp\130C_1ml-min_9C-min_2.D;55;0.198;70;29;
True;Cpd 30: 13.898;13.898;329187;4606081;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.206;40;30;
True;Cpd 31: 14.174;14.174;123241;3906137;67;D:\g\temp\130C_1ml-min_9C-min_2.D;67;0.14;69;31;
True;Cpd 32: 14.277;14.277;118115;3417080;79;D:\g\temp\130C_1ml-min_9C-min_2.D;79;0.231;70;32;
True;Cpd 33: 14.530;14.53;566728;9338801;74;D:\g\temp\130C_1ml-min_9C-min_2.D;74;0.227;41;33;
True;Cpd 34: 14.893;14.893;99947;4488770;55;D:\g\temp\130C_1ml-min_9C-min_2.D;55;0.239;102;34;
True;Cpd 35: 15.372;15.372;54633;256797;149;D:\g\temp\130C_1ml-min_9C-min_2.D;149;0.243;9;35;
True;Cpd 36: 16.003;16.003;67582;2641339;79;D:\g\temp\130C_1ml-min_9C-min_2.D;79;0.28;78;36;

