#Compound List: 7225 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 1: 5.607;5.607;274854;5673979;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.54;15;1;
True;Cpd 2: 7.053;7.053;293304;5102100;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.701;17;2;
True;Cpd 3: 8.179;8.179;138813;3350792;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.532;19;3;
True;Cpd 4: 9.599;9.599;285997;3848083;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.486;10;4;
True;Cpd 5: 9.609;9.609;285997;7164374;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.589;22;5;
True;Cpd 6: 11.366;11.366;145128;2960844;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.631;15;6;
True;Cpd 7: 11.381;11.381;93509;1280245;87;D:\g\temp\130C_1ml-min_2C-min_2.D;87;0.256;8;7;
True;Cpd 8: 13.463;13.463;205067;3737263;87;D:\g\temp\130C_1ml-min_2C-min_2.D;87;0.458;19;8;
True;Cpd 9: 13.461;13.461;303712;7287647;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.536;21;9;
True;Cpd 10: 15.060;15.06;49421;3411055;55;D:\g\temp\130C_1ml-min_2C-min_2.D;55;0.449;54;10;
True;Cpd 11: 15.831;15.831;147012;3146684;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.408;18;11;
True;Cpd 12: 17.583;17.583;51900;2972514;55;D:\g\temp\130C_1ml-min_2C-min_2.D;55;0.503;46;12;
True;Cpd 13: 18.426;18.426;439965;11429614;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.523;29;13;
True;Cpd 14: 19.918;19.918;39344;2555539;55;D:\g\temp\130C_1ml-min_2C-min_2.D;55;0.499;46;14;
True;Cpd 15: 21.155;21.155;132362;3102042;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.375;24;15;
True;Cpd 16: 22.702;22.702;39816;2241829;55;D:\g\temp\130C_1ml-min_2C-min_2.D;55;0.404;43;16;
True;Cpd 17: 23.979;23.979;268767;6780809;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.54;26;17;
True;Cpd 18: 24.870;24.87;36615;2366295;55;D:\g\temp\130C_1ml-min_2C-min_2.D;55;0.379;55;18;
True;Cpd 19: 25.303;25.303;73571;5716033;55;D:\g\temp\130C_1ml-min_2C-min_2.D;55;0.519;56;19;
True;Cpd 20: 26.520;26.52;41169;2385976;67;D:\g\temp\130C_1ml-min_2C-min_2.D;67;0.326;50;20;
True;Cpd 21: 26.825;26.825;241197;6718177;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.515;28;21;
True;Cpd 22: 27.514;27.514;39863;2584142;67;D:\g\temp\130C_1ml-min_2C-min_2.D;67;0.499;43;22;
True;Cpd 23: 29.073;29.073;33980;2157537;79;D:\g\temp\130C_1ml-min_2C-min_2.D;79;0.359;52;23;
True;Cpd 24: 29.670;29.67;247971;7337762;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.524;30;24;
True;Cpd 25: 30.140;30.14;43690;2048081;79;D:\g\temp\130C_1ml-min_2C-min_2.D;79;0.383;34;25;
True;Cpd 26: 30.141;30.141;43690;2129768;79;D:\g\temp\130C_1ml-min_2C-min_2.D;79;0.35;38;26;
True;Cpd 27: 30.949;30.949;37226;2498457;55;D:\g\temp\130C_1ml-min_2C-min_2.D;55;0.511;53;27;
True;Cpd 28: 32.455;32.455;114701;3145268;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.515;26;28;
True;Cpd 29: 33.147;33.147;37990;2734682;67;D:\g\temp\130C_1ml-min_2C-min_2.D;67;0.396;54;29;
True;Cpd 30: 34.638;34.638;30049;2263679;79;D:\g\temp\130C_1ml-min_2C-min_2.D;79;0.363;53;30;
True;Cpd 31: 35.229;35.229;230229;7673738;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.556;31;31;
True;Cpd 32: 35.714;35.714;72837;4241951;79;D:\g\temp\130C_1ml-min_2C-min_2.D;79;0.4;45;32;
True;Cpd 33: 36.459;36.459;38303;2561250;55;D:\g\temp\130C_1ml-min_2C-min_2.D;55;0.523;58;33;
True;Cpd 34: 37.891;37.891;102205;3642894;74;D:\g\temp\130C_1ml-min_2C-min_2.D;74;0.544;36;34;
True;Cpd 35: 38.357;38.357;26073;1332061;91;D:\g\temp\130C_1ml-min_2C-min_2.D;91;0.561;36;35;
True;Cpd 36: 38.572;38.572;37707;2284036;81;D:\g\temp\130C_1ml-min_2C-min_2.D;81;0.458;48;36;
True;Cpd 37: 40.529;40.529;63824;1892807;382;D:\g\temp\130C_1ml-min_2C-min_2.D;382;0.602;23;37;
True;Cpd 38: 40.544;40.544;163130;3567306;87;D:\g\temp\130C_1ml-min_2C-min_2.D;87;0.523;25;38;
True;Cpd 39: 41.185;41.185;18312;176406;149;D:\g\temp\130C_1ml-min_2C-min_2.D;149;0.346;4;39;
True;Cpd 40: 41.700;41.7;37392;3250041;55;D:\g\temp\130C_1ml-min_2C-min_2.D;55;0.577;64;40;
True;Cpd 41: 41.713;41.713;19760;1342891;348;D:\g\temp\130C_1ml-min_2C-min_2.D;348;0.511;41;41;
True;Cpd 42: 44.786;44.786;24902;1459533;79;D:\g\temp\130C_1ml-min_2C-min_2.D;79;0.523;41;42;

