#Compound List: 7225 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 1: 5.334;5.334;17520;208584;86;D:\g\temp\110C_1ml-min_9C-min_3.D;86;0.573;3;1;
True;Cpd 2: 5.737;5.737;423363;5473223;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.354;16;2;
True;Cpd 3: 6.875;6.875;577974;6709636;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.33;19;3;
True;Cpd 4: 7.571;7.571;331653;3647322;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.289;24;4;
True;Cpd 5: 8.316;8.316;759283;7775108;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.26;23;5;
True;Cpd 6: 9.091;9.091;432221;3980202;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.227;22;6;
True;Cpd 7: 9.876;9.876;918007;8619798;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.202;27;7;
True;Cpd 8: 10.442;10.442;147259;4253849;55;D:\g\temp\110C_1ml-min_9C-min_3.D;55;0.198;74;8;
True;Cpd 9: 10.651;10.651;468978;4396223;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.206;30;9;
True;Cpd 10: 11.216;11.216;164847;4378308;55;D:\g\temp\110C_1ml-min_9C-min_3.D;55;0.202;77;10;
True;Cpd 11: 11.417;11.417;1459123;14201587;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.19;34;11;
True;Cpd 12: 11.873;11.873;129681;4545436;55;D:\g\temp\110C_1ml-min_9C-min_3.D;55;0.198;86;12;
True;Cpd 13: 12.153;12.153;486657;4796753;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.202;35;13;
True;Cpd 14: 12.604;12.604;150747;4794875;55;D:\g\temp\110C_1ml-min_9C-min_3.D;55;0.202;84;14;
True;Cpd 15: 12.876;12.876;1008743;10624577;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.202;37;15;
True;Cpd 16: 13.124;13.124;136529;4930673;55;D:\g\temp\110C_1ml-min_9C-min_3.D;55;0.136;93;16;
True;Cpd 17: 13.256;13.256;279412;10489256;55;D:\g\temp\110C_1ml-min_9C-min_3.D;55;0.206;95;17;
True;Cpd 18: 13.531;13.531;173041;4248257;67;D:\g\temp\110C_1ml-min_9C-min_3.D;67;0.202;51;18;
True;Cpd 19: 13.566;13.566;944665;11096569;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.21;36;19;
True;Cpd 20: 13.830;13.83;157615;4351692;67;D:\g\temp\110C_1ml-min_9C-min_3.D;67;0.198;73;20;
True;Cpd 21: 14.236;14.236;1010073;15010378;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.198;60;21;
True;Cpd 22: 14.488;14.488;167659;3528779;79;D:\g\temp\110C_1ml-min_9C-min_3.D;79;0.124;60;22;
True;Cpd 23: 14.591;14.591;152843;5375585;55;D:\g\temp\110C_1ml-min_9C-min_3.D;55;0.185;93;23;
True;Cpd 24: 14.874;14.874;479516;5688762;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.206;38;24;
True;Cpd 25: 15.137;15.137;158610;4640519;67;D:\g\temp\110C_1ml-min_9C-min_3.D;67;0.202;74;25;
True;Cpd 26: 15.504;15.504;917268;12563546;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.21;38;26;
True;Cpd 27: 15.521;15.521;138966;4053258;79;D:\g\temp\110C_1ml-min_9C-min_3.D;79;0.223;50;27;
True;Cpd 28: 15.757;15.757;166593;3586455;79;D:\g\temp\110C_1ml-min_9C-min_3.D;79;0.198;54;28;
True;Cpd 29: 15.815;15.815;138938;3487321;79;D:\g\temp\110C_1ml-min_9C-min_3.D;79;0.247;47;29;
True;Cpd 30: 15.841;15.841;170544;5668230;55;D:\g\temp\110C_1ml-min_9C-min_3.D;55;0.21;70;30;
True;Cpd 31: 16.105;16.105;405033;5735397;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.21;41;31;
True;Cpd 32: 16.381;16.381;145959;4609641;67;D:\g\temp\110C_1ml-min_9C-min_3.D;67;0.227;70;32;
True;Cpd 33: 16.480;16.48;116468;3514726;79;D:\g\temp\110C_1ml-min_9C-min_3.D;79;0.231;67;33;
True;Cpd 34: 16.741;16.741;701975;11590161;74;D:\g\temp\110C_1ml-min_9C-min_3.D;74;0.223;41;34;
True;Cpd 35: 17.102;17.102;122518;5583886;55;D:\g\temp\110C_1ml-min_9C-min_3.D;55;0.239;102;35;
True;Cpd 36: 17.571;17.571;53260;253927;149;D:\g\temp\110C_1ml-min_9C-min_3.D;149;0.256;8;36;
True;Cpd 37: 18.212;18.212;71437;2929922;79;D:\g\temp\110C_1ml-min_9C-min_3.D;79;0.293;73;37;

