#Compound List: 7225 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 1: 4.983;4.983;279749;4314417;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.458;11;1;
True;Cpd 2: 5.724;5.724;323993;5641048;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.466;17;2;
True;Cpd 3: 6.254;6.254;168112;2836133;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.458;19;3;
True;Cpd 4: 6.909;6.909;360003;6341175;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.441;22;4;
True;Cpd 5: 7.683;7.683;191734;3130771;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.375;21;5;
True;Cpd 6: 8.576;8.576;426814;7020983;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.359;28;6;
True;Cpd 7: 9.299;9.299;71265;2875816;55;D:\g\temp\140C_1ml-min_5C-min_2.D;55;0.251;59;7;
True;Cpd 8: 9.563;9.563;219707;3366211;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.317;29;8;
True;Cpd 9: 10.343;10.343;81710;3063751;55;D:\g\temp\140C_1ml-min_5C-min_2.D;55;0.264;63;9;
True;Cpd 10: 10.619;10.619;734387;11104038;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.297;34;10;
True;Cpd 11: 11.290;11.29;66012;2464046;55;D:\g\temp\140C_1ml-min_5C-min_2.D;55;0.297;56;11;
True;Cpd 12: 11.293;11.293;66012;2422066;55;D:\g\temp\140C_1ml-min_5C-min_2.D;55;0.297;54;12;
True;Cpd 13: 11.720;11.72;247358;3410161;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.305;28;13;
True;Cpd 14: 12.412;12.412;78353;3663345;55;D:\g\temp\140C_1ml-min_5C-min_2.D;55;0.272;77;14;
True;Cpd 15: 12.849;12.849;523838;8151527;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.28;36;15;
True;Cpd 16: 13.248;13.248;71594;3725990;55;D:\g\temp\140C_1ml-min_5C-min_2.D;55;0.202;92;16;
True;Cpd 17: 13.454;13.454;152112;7827419;55;D:\g\temp\140C_1ml-min_5C-min_2.D;55;0.26;89;17;
True;Cpd 18: 13.920;13.92;89849;3203280;67;D:\g\temp\140C_1ml-min_5C-min_2.D;67;0.293;46;18;
True;Cpd 19: 13.981;13.981;507383;8622711;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.28;35;19;
True;Cpd 20: 14.389;14.389;87086;3350502;67;D:\g\temp\140C_1ml-min_5C-min_2.D;67;0.268;67;20;
True;Cpd 21: 15.057;15.057;74841;2920564;79;D:\g\temp\140C_1ml-min_5C-min_2.D;79;0.367;49;21;
True;Cpd 22: 15.110;15.11;545170;9406393;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.272;36;22;
True;Cpd 23: 15.480;15.48;91948;2838027;79;D:\g\temp\140C_1ml-min_5C-min_2.D;79;0.239;58;23;
True;Cpd 24: 15.698;15.698;83014;4072133;55;D:\g\temp\140C_1ml-min_5C-min_2.D;55;0.28;92;24;
True;Cpd 25: 16.217;16.217;252798;4429638;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.272;37;25;
True;Cpd 26: 16.624;16.624;88155;3505191;67;D:\g\temp\140C_1ml-min_5C-min_2.D;67;0.272;61;26;
True;Cpd 27: 17.276;17.276;76953;3108288;79;D:\g\temp\140C_1ml-min_5C-min_2.D;79;0.297;42;27;
True;Cpd 28: 17.315;17.315;512672;10154592;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.289;37;28;
True;Cpd 29: 17.684;17.684;97575;3216075;79;D:\g\temp\140C_1ml-min_5C-min_2.D;79;0.235;42;29;
True;Cpd 30: 17.752;17.752;86108;3047112;79;D:\g\temp\140C_1ml-min_5C-min_2.D;79;0.35;50;30;
True;Cpd 31: 17.881;17.881;89345;4226480;55;D:\g\temp\140C_1ml-min_5C-min_2.D;55;0.293;81;31;
True;Cpd 32: 18.368;18.368;235101;4619769;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.293;38;32;
True;Cpd 33: 18.768;18.768;85603;3928359;81;D:\g\temp\140C_1ml-min_5C-min_2.D;81;0.289;55;33;
True;Cpd 34: 18.841;18.841;79447;2969926;79;D:\g\temp\140C_1ml-min_5C-min_2.D;79;0.346;56;34;
True;Cpd 35: 19.409;19.409;23947;541239;56;D:\g\temp\140C_1ml-min_5C-min_2.D;56;0.058;26;35;
True;Cpd 36: 19.419;19.419;445752;9439310;74;D:\g\temp\140C_1ml-min_5C-min_2.D;74;0.284;40;36;
True;Cpd 37: 19.964;19.964;55045;2667121;97;D:\g\temp\140C_1ml-min_5C-min_2.D;97;0.264;82;37;
True;Cpd 38: 20.311;20.311;38380;201871;149;D:\g\temp\140C_1ml-min_5C-min_2.D;149;0.231;8;38;
True;Cpd 39: 21.415;21.415;63038;2309767;79;D:\g\temp\140C_1ml-min_5C-min_2.D;79;0.305;61;39;

