#Compound List: 7225 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 1: 5.074;5.074;79437;1792177;74;D:\g\temp\150C_1ml-min_8C-min_1.D;74;0.271;28;1;
True;Cpd 2: 5.379;5.379;47268;995592;74;D:\g\temp\150C_1ml-min_8C-min_1.D;74;0.2;25;2;
True;Cpd 3: 5.756;5.756;117640;1775214;74;D:\g\temp\150C_1ml-min_8C-min_1.D;74;0.338;20;3;
True;Cpd 4: 6.192;6.192;65402;1534291;74;D:\g\temp\150C_1ml-min_8C-min_1.D;74;0.315;31;4;
True;Cpd 5: 6.695;6.695;149489;3430492;74;D:\g\temp\150C_1ml-min_8C-min_1.D;74;0.395;34;5;
True;Cpd 6: 7.137;7.137;32618;1344724;55;D:\g\temp\150C_1ml-min_8C-min_1.D;55;0.2;51;6;
True;Cpd 7: 7.261;7.261;80965;1489787;74;D:\g\temp\150C_1ml-min_8C-min_1.D;74;0.253;26;7;
True;Cpd 8: 7.738;7.738;41143;1299047;55;D:\g\temp\150C_1ml-min_8C-min_1.D;55;0.169;54;8;
True;Cpd 9: 7.872;7.872;281187;5721575;74;D:\g\temp\150C_1ml-min_8C-min_1.D;74;0.302;43;9;
True;Cpd 10: 8.290;8.29;24732;1480423;69;D:\g\temp\150C_1ml-min_8C-min_1.D;69;0.209;68;10;
True;Cpd 11: 8.515;8.515;102958;1750321;74;D:\g\temp\150C_1ml-min_8C-min_1.D;74;0.275;35;11;
True;Cpd 12: 8.953;8.953;44459;1792264;55;D:\g\temp\150C_1ml-min_8C-min_1.D;55;0.178;81;12;
True;Cpd 13: 9.184;9.184;236884;3971561;74;D:\g\temp\150C_1ml-min_8C-min_1.D;74;0.24;45;13;
True;Cpd 14: 9.436;9.436;41735;1797909;55;D:\g\temp\150C_1ml-min_8C-min_1.D;55;0.142;91;14;
True;Cpd 15: 9.572;9.572;87538;3775632;55;D:\g\temp\150C_1ml-min_8C-min_1.D;55;0.2;92;15;
True;Cpd 16: 9.842;9.842;50827;1703881;67;D:\g\temp\150C_1ml-min_8C-min_1.D;67;0.164;80;16;
True;Cpd 17: 10.151;10.151;50726;1674887;67;D:\g\temp\150C_1ml-min_8C-min_1.D;67;0.191;80;17;
True;Cpd 18: 10.538;10.538;264680;4444448;74;D:\g\temp\150C_1ml-min_8C-min_1.D;74;0.218;45;18;
True;Cpd 19: 10.571;10.571;47369;1248116;79;D:\g\temp\150C_1ml-min_8C-min_1.D;79;0.204;50;19;
True;Cpd 20: 10.830;10.83;58185;1410684;79;D:\g\temp\150C_1ml-min_8C-min_1.D;79;0.182;62;20;
True;Cpd 21: 10.921;10.921;51469;1838255;55;D:\g\temp\150C_1ml-min_8C-min_1.D;55;0.187;92;21;
True;Cpd 22: 11.209;11.209;128875;1976951;74;D:\g\temp\150C_1ml-min_8C-min_1.D;74;0.191;47;22;
True;Cpd 23: 11.502;11.502;52924;1660812;67;D:\g\temp\150C_1ml-min_8C-min_1.D;67;0.178;83;23;
True;Cpd 24: 11.880;11.88;255700;4526471;74;D:\g\temp\150C_1ml-min_8C-min_1.D;74;0.195;44;24;
True;Cpd 25: 11.918;11.918;47626;1372217;79;D:\g\temp\150C_1ml-min_8C-min_1.D;79;0.213;52;25;
True;Cpd 26: 12.165;12.165;60034;1346507;79;D:\g\temp\150C_1ml-min_8C-min_1.D;79;0.191;51;26;
True;Cpd 27: 12.230;12.23;51250;1422829;79;D:\g\temp\150C_1ml-min_8C-min_1.D;79;0.249;59;27;
True;Cpd 28: 12.249;12.249;59612;2144524;55;D:\g\temp\150C_1ml-min_8C-min_1.D;55;0.182;87;28;
True;Cpd 29: 12.525;12.525;121771;2036553;74;D:\g\temp\150C_1ml-min_8C-min_1.D;74;0.191;53;29;
True;Cpd 30: 12.815;12.815;50813;1614190;67;D:\g\temp\150C_1ml-min_8C-min_1.D;67;0.191;80;30;
True;Cpd 31: 12.921;12.921;46328;1284812;79;D:\g\temp\150C_1ml-min_8C-min_1.D;79;0.173;71;31;
True;Cpd 32: 13.195;13.195;212541;4199541;74;D:\g\temp\150C_1ml-min_8C-min_1.D;74;0.2;51;32;
True;Cpd 33: 13.574;13.574;47061;1923750;55;D:\g\temp\150C_1ml-min_8C-min_1.D;55;0.218;103;33;
True;Cpd 34: 14.718;14.718;32996;1118108;79;D:\g\temp\150C_1ml-min_8C-min_1.D;79;0.24;70;34;

