D:\MassHunter\GCMS\1\data\Amal\Constant flow\70C\70C_1ml-min_7C-min_Air.D Mon Sep 23 12:10:38 2024
Start of data points
0,18575	17921
0,18987	21593
0,19400	24762
0,19812	28879
0,20223	31782
0,20637	33614
0,21048	36606
0,21460	43834
0,21873	46316
0,22285	48567
0,22697	49747
0,23110	53320
0,23522	56736
0,23933	55870
0,24345	56039
0,24758	60258
0,25170	60418
0,25582	59488
0,25995	60154
0,26407	59830
0,26818	59681
0,27232	60069
0,27643	59106
0,28055	58629
0,28468	55853
0,28880	56079
0,29292	52441
0,29705	50131
0,30117	50306
0,30528	47874
0,30942	45995
0,31353	45207
0,31765	44938
0,32178	41657
0,32590	42416
0,33002	40877
0,33413	38999
0,33827	35676
0,34238	36162
0,34650	34571
0,35063	32231
0,35475	30634
0,35887	30204
0,36300	28895
0,36712	26807
0,37123	26548
0,37537	23989
0,37948	24990
0,38360	23390
0,38773	23827
0,39185	22313
0,39597	22443
0,40010	21584
0,40422	19662
0,40833	21555
0,41247	18000
0,41658	19165
0,42070	18403
0,42482	18983
0,42895	16221
0,43307	16689
0,43718	17613
0,44132	14901
0,44543	15148
0,44955	13098
0,45368	13365
0,45780	13719
0,46192	12150
0,46605	13462
0,47017	13300
0,47428	12693
0,47842	13181
0,48253	11237
0,48665	9793
0,49078	10633
0,49490	11806
0,49902	10642
0,50315	10452
0,50727	10411
0,51138	9828
0,51550	10079
0,51963	9016
0,52375	8429
0,52787	8219
0,53200	7785
0,53612	8391
0,54023	7874
0,54437	7918
0,54848	8378
0,55260	6683
0,55673	7284
0,56085	6819
0,56497	7748
0,56910	6223
0,57322	6826
0,57733	5864
0,58147	6298
0,58558	6361
0,58970	6431
0,59383	5590
0,59795	5823
0,60207	6342
0,60620	5563
0,61032	6895
0,61443	6074
0,61855	4920
0,62268	5743
0,62680	5109
0,63092	4677
0,63505	4605
0,63917	4271
0,64328	5225
0,64742	4216
0,65153	4657
0,65565	4618
0,65978	3754
0,66390	5192
0,66802	4591
0,67215	4377
0,67627	3986
0,68038	4127
0,68452	4330
0,68863	4447
0,69275	3724
0,69688	3635
0,70100	4751
0,70512	4160
0,70923	3829
0,71337	4170
0,71748	4298
0,72160	2992
0,72573	4233
0,72985	3619
0,73397	3171
0,73810	3049
0,74222	3666
0,74633	3854
0,75047	3233
0,75458	3918
0,75870	2886
0,76283	3249
0,76695	2717
0,77107	3722
0,77520	2899
0,77932	2805
0,78343	3668
0,78757	3029
0,79168	2709
0,79580	3103
0,79992	2918
0,80405	2759
0,80817	2613
0,81228	2920
0,81642	3582
0,82053	3178
0,82465	3073
0,82878	2642
0,83290	3191
0,83702	3075
0,84115	1996
0,84527	3128
0,84938	2509
0,85352	2033
0,85763	3941
0,86175	2511
0,86588	3142
0,87000	2450
0,87412	2821
0,87825	2215
0,88237	2044
0,88648	2124
0,89060	2447
0,89473	2816
0,89885	2521
0,90297	2314
0,90710	2677
0,91122	2510
0,91533	3200
0,91947	2938
0,92358	2968
0,92770	2512
0,93183	2572
0,93595	2045
0,94007	2152
0,94420	2770
0,94832	2589
0,95243	2738
0,95657	2821
0,96068	1770
0,96480	2045
0,96893	2286
0,97305	2481
0,97717	1979
0,98128	2002
0,98542	2240
0,98953	2572
0,99365	1826
0,99778	2089
1,00190	1428
1,00602	2590
1,01015	1817
1,01427	2016
1,01838	2592
1,02252	2692
1,02663	2847
1,03075	2459
1,03488	1839
1,03900	1960
1,04312	2380
1,04725	2088
1,05137	2026
1,05548	1428
1,05962	1760
1,06373	2041
1,06785	2392
1,07197	1618
1,07610	1947
1,08022	2158
1,08433	2037
1,08847	2345
1,09258	1505
1,09670	1324
1,10083	2100
1,10495	2742
1,10907	1976
1,11320	2203
1,11732	1435
1,12143	2270
1,12557	2000
1,12968	1974
1,13380	2132
1,13793	2239
1,14205	1090
1,14617	2466
1,15030	2431
1,15442	1420
1,15853	1145
1,16265	1591
1,16678	1893
1,17090	1446
1,17502	1634
1,17915	1495
1,18327	1973
1,18738	2446
1,19152	1418
1,19563	2074
1,19975	1323
1,20388	2316
1,20800	1481
1,21212	1983
1,21625	1776
1,22037	1535
1,22448	2284
1,22862	1629
1,23273	1777
1,23685	2535
1,24098	1846
1,24510	1863
1,24922	1888
1,25333	1920
1,25747	1694
1,26158	2274
1,26570	2382
1,26983	1291
1,27395	2183
1,27807	1675
1,28220	1801
1,28632	1944
1,29043	2285
1,29457	2330
1,29868	1814
1,30280	1856
1,30693	1596
1,31105	2231
1,31517	1634
1,31930	1431
1,32342	1973
1,32753	1544
1,33167	1917
1,33578	1952
1,33990	1513
1,34402	1379
1,34815	1820
1,35227	2046
1,35638	1402
1,36052	1807
1,36463	1702
1,36875	1319
1,37288	1384
1,37700	1583
1,38112	1443
1,38525	2522
1,38937	1699
1,39348	1908
1,39762	1506
1,40173	1774
1,40585	1310
1,40998	1365
1,41410	1401
1,41822	2292
1,42235	1264
1,42647	1450
1,43058	1480
1,43470	1644
1,43883	1919
1,44295	1621
1,44707	2282
1,45120	1583
1,45532	1873
1,45943	1014
1,46357	1292
1,46768	2277
1,47180	1461
1,47593	1855
