#Compound List: 39 found
#
Show/Hide,Label,Mass,RT,RI,Width,Height,Area,Score,Base Peak,Ions,Saturated,Algorithm,ID Source,FV,CE,MS/MS Count,File,Volume,Formula,Precursor,Score (Lib),Flags,RI Diff (Lib),RI Diff % (Lib),Lib/DB,RI (Lib),Cpd,Name,Hit Count,CAS ID,Notes,Diff (ppm),Score (Tgt),Flags (Tgt),Target Retention Time Difference,Score (Frag Coelution),FIs Conf.,FIs Conf. %,Score (Frag Ratio),FragMassDiff(ppm),Source,Score (MFG),Relative Mass Difference (MFG),Tgt MFG Hit,Vol %,Std Dev,Score (DB),RT Diff,Relative Reference Mass difference,Purity Value,Purity Comments,TIC% Area,EIC/TIC% Area,UVA% Area,ADC% Area
True,Cpd 23: 26.928,,26.928,,0.284,426797,7497231,,74,38,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,23,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 24: 27.262,,27.262,,0.223,66860,2009027,,79,53,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,79,,,,,,,24,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 25: 27.526,,27.526,,0.28,64201,3194057,,55,95,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,55,,,,,,,25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 26: 28.098,,28.098,,0.284,203810,3682991,,74,38,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,26,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 27: 28.491,,28.491,,0.268,67676,2568629,,67,64,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,67,,,,,,,27,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 28: 29.158,,29.158,,0.28,53658,2532818,,79,50,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,79,,,,,,,28,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 29: 29.239,,29.239,,0.28,421166,8519798,,74,40,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,29,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 30: 29.587,,29.587,,0.239,70653,2295868,,79,38,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,79,,,,,,,30,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 31: 29.647,,29.647,,0.33,69779,2299609,,79,41,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,79,,,,,,,31,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 32: 29.804,,29.804,,0.293,69405,3612662,,55,88,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,55,,,,,,,32,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 33: 30.320,,30.32,,0.293,194098,3926458,,74,40,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,33,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 34: 30.710,,30.71,,0.338,69098,2586731,,81,36,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,81,,,,,,,34,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 35: 30.763,,30.763,,0.309,62476,2124524,,79,38,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,79,,,,,,,35,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 36: 31.387,,31.387,,0.284,387483,8843642,,74,43,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,74,,,,,,,36,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 37: 31.929,,31.929,,0.297,69154,3905704,,55,101,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,55,,,,,,,37,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 38: 32.237,,32.237,,0.28,28325,149696,,149,6,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,149,,,,,,,38,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cpd 39: 33.384,,33.384,,0.293,45384,1824707,,79,57,,Find by Chromatogram Deconvolution,,,,,D:\g\temp\80C_1ml-min_5C-min_2.D,,,79,,,,,,,39,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,

