D:\MassHunter\GCMS\1\data\Amal\Constant flow\70C\70C_1ml-min_6C-min_3.D Fri Sep 20 19:31:49 2024
Start of data points
5,99095	189672
5,99508	186550
5,99920	181249
6,00332	176177
6,00745	173880
6,01157	173656
6,01568	170002
6,01982	166044
6,02393	163514
6,02805	158534
6,03218	151645
6,03630	157214
6,04042	148710
6,04455	146768
6,04867	147183
6,05278	142574
6,05690	138531
6,06103	133657
6,06515	132913
6,06927	132761
6,07340	129648
6,07752	127418
6,08163	129431
6,08577	126837
6,08988	123082
6,09400	121958
6,09813	117478
6,10225	116296
6,10637	117051
6,11050	113765
6,11462	113069
6,11873	110961
6,12287	110308
6,12698	110220
6,13110	107592
6,13523	107028
6,13935	106464
6,14347	102172
6,14758	100339
6,15172	103335
6,15583	99820
6,15995	102845
6,16408	101172
6,16820	100352
6,17232	95400
6,17645	98408
6,18057	94722
6,18468	97487
6,18882	92842
6,19293	91168
6,19705	89824
6,20118	90041
6,20530	91879
6,20942	90634
6,21355	86820
6,21767	90716
6,22178	87546
6,22592	85463
6,23003	84771
6,23415	83790
6,23827	82854
6,24240	83554
6,24652	81255
6,25063	83456
6,25477	82068
6,25888	81915
6,26300	81944
6,26713	82357
6,27125	80651
6,27537	80805
6,27950	81964
6,28362	82064
6,28773	80662
6,29187	78307
6,29598	80337
6,30010	76401
6,30423	77660
6,30835	75849
6,31247	78255
6,31660	75744
6,32072	75533
6,32483	79111
6,32895	75100
6,33308	75741
6,33720	75089
6,34132	75061
6,34545	73029
6,34957	72966
6,35368	72149
6,35782	72911
6,36193	70528
6,36605	73121
6,37018	70534
6,37430	72067
6,37842	70214
6,38255	70952
6,38667	72021
6,39078	69892
6,39492	68042
6,39903	70183
6,40315	66978
6,40728	68445
6,41140	66708
6,41552	66813
6,41963	66112
6,42377	64910
6,42788	65160
6,43200	64228
6,43613	65958
6,44025	66354
6,44437	65725
6,44850	61907
6,45262	63905
6,45673	63971
6,46087	61273
6,46498	62657
6,46910	63097
6,47323	62377
6,47735	59213
6,48147	61558
6,48560	61567
6,48972	61007
6,49383	59851
6,49797	59475
6,50208	60732
6,50620	58571
6,51033	60059
6,51445	59311
6,51857	57261
6,52268	60407
6,52682	58790
6,53093	59787
6,53505	60737
6,53918	62460
6,54330	66106
6,54742	67836
6,55155	74267
6,55567	73049
6,55978	78819
6,56392	80293
6,56803	80682
6,57215	83432
6,57628	84190
6,58040	84939
6,58452	84001
6,58865	85220
6,59277	84123
6,59688	80448
6,60102	82943
6,60513	81663
6,60925	80744
6,61337	79537
6,61750	78424
6,62162	75979
6,62573	76755
6,62987	75037
6,63398	71883
6,63810	70803
6,64223	70262
6,64635	68218
6,65047	66896
6,65460	69266
6,65872	67788
6,66283	66693
6,66697	67491
6,67108	65651
6,67520	62662
6,67933	62510
6,68345	62585
6,68757	60890
6,69170	59214
6,69582	60751
6,69993	61090
6,70405	60558
6,70818	62125
6,71230	61062
6,71642	59637
6,72055	60552
6,72467	61684
6,72878	60938
6,73292	61450
6,73703	61578
6,74115	59727
6,74528	60852
6,74940	58398
6,75352	59713
6,75765	57450
6,76177	58051
6,76588	57486
6,77002	55902
6,77413	57031
6,77825	57578
6,78238	53351
6,78650	53989
6,79062	54464
6,79473	51572
6,79887	50759
6,80298	51891
6,80710	53032
6,81123	51993
6,81535	50408
6,81947	49032
6,82360	48823
6,82772	47840
6,83183	48511
6,83597	48326
6,84008	46543
6,84420	47670
6,84833	45577
6,85245	48691
6,85657	45161
6,86070	46082
6,86482	44377
6,86893	44225
6,87307	44492
6,87718	43869
6,88130	44648
6,88542	44253
6,88955	43770
6,89367	42858
6,89778	44239
6,90192	42448
6,90603	43017
6,91015	42761
6,91428	43917
6,91840	41136
6,92252	40403
6,92665	39785
6,93077	41377
6,93488	41066
6,93902	40153
6,94313	41410
6,94725	41070
6,95138	40463
6,95550	39315
6,95962	38886
6,96375	39418
6,96787	38201
6,97198	39084
6,97610	39010
6,98023	38752
6,98435	39947
6,98847	38137
6,99260	37194
6,99672	38308
7,00083	39370
7,00497	39369
7,00908	38837
7,01320	37681
7,01733	38547
7,02145	39599
7,02557	37583
7,02970	38530
7,03382	39404
7,03793	34930
7,04207	37945
7,04618	36761
7,05030	37093
7,05443	35218
7,05855	35532
7,06267	37607
7,06678	37056
7,07092	35660
7,07503	35608
7,07915	35321
7,08328	34842
7,08740	36099
7,09152	36105
7,09565	34724
7,09977	35333
7,10388	34243
7,10802	35772
7,11213	34419
7,11625	34762
7,12038	34983
7,12450	34169
7,12862	33086
7,13275	35376
7,13687	33839
7,14098	34527
7,14512	35096
7,14923	33136
7,15335	35262
7,15747	34085
7,16160	35473
7,16572	34993
7,16983	35614
7,17397	38257
7,17808	42177
7,18220	47378
7,18633	59093
7,19045	72729
7,19457	91606
7,19870	121145
7,20282	158802
7,20693	199671
7,21107	243093
7,21518	292345
7,21930	340387
7,22343	381675
7,22755	419778
7,23167	450925
7,23580	460890
7,23992	474005
7,24403	474563
7,24815	469578
7,25228	454874
7,25640	435529
7,26052	417664
7,26465	408973
7,26877	393520
7,27288	377189
7,27702	376499
7,28113	371191
7,28525	359495
7,28938	347165
7,29350	348377
7,29762	343159
7,30175	335947
7,30587	329820
7,30998	310364
7,31412	302527
7,31823	289188
7,32235	270219
7,32648	260477
7,33060	242688
7,33472	224214
7,33883	211292
7,34297	200270
7,34708	184862
7,35120	173816
7,35533	162387
7,35945	150067
7,36357	138644
7,36770	133639
7,37182	125157
7,37593	114560
7,38007	105494
7,38418	102026
7,38830	91918
7,39243	88949
7,39655	86088
7,40067	77807
7,40480	73664
7,40892	70424
7,41303	65912
7,41717	63259
7,42128	58932
7,42540	58112
7,42952	54785
7,43365	53357
7,43777	52439
7,44188	48471
7,44602	47378
7,45013	44133
7,45425	44165
7,45838	42452
7,46250	41692
7,46662	41518
7,47075	39375
7,47487	39638
7,47898	37876
7,48312	37643
7,48723	37240
7,49135	36569
7,49548	35108
7,49960	36134
7,50372	34156
7,50785	34489
7,51197	32895
7,51608	32127
7,52020	33805
7,52433	33642
7,52845	32001
7,53257	31620
