#Compound List: 4326 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;5.92;40632;263782;84;0.231;;Cpd 1: 5.920;
2;6.328;584384;3408618;74.1;0.323;;Cpd 2: 6.328;
3;8.183;1112136;5075721;74.1;0.346;;Cpd 3: 8.183;
4;10.512;1717254;6324676;74.1;0.247;;Cpd 4: 10.512;
5;11.723;965885;3389687;74.1;0.243;;Cpd 5: 11.723;
6;12.921;2139693;7249198;74.1;0.239;;Cpd 6: 12.921;
7;14.081;1152091;3780266;74.1;0.234;;Cpd 7: 14.081;
8;15.202;2522851;8018746;74.1;0.237;;Cpd 8: 15.202;
9;15.962;1149331;3769238;55.1;0.243;C15 H28 O2;"Cpd 9: Methyl myristoleate; C15 H28 O2; 15.962";
10;16.279;1323231;4109835;74.1;0.2;;Cpd 10: 16.279;
11;17.019;1223045;3924593;55.1;0.221;C16 H30 O2;"Cpd 11: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 17.019";
12;17.313;4315905;13476187;74.1;0.222;;Cpd 12: 17.313;
13;17.898;1286820;4146305;55.1;0.213;C17 H32 O2;"Cpd 13: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 17.898";
14;18.294;1498929;4688796;74.1;0.21;;Cpd 14: 18.294;
15;18.867;1420817;4360821;55.1;0.206;C18 H34 O2;"Cpd 15: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 18.867";
16;19.245;3427994;10558675;74.1;0.222;C37 H77 N O2;"Cpd 16: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 19.245";
17;19.559;1520660;4794989;55.1;0.161;C19 H36 O2;"Cpd 17: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 19.559";
18;19.72;3184135;10209256;55.1;0.239;C19 H36 O2;"Cpd 18: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 19.720";
19;20.087;1396020;3277424;67.1;0.081;C19 H34 O2;"Cpd 19: Methyl 9,10-octadecadienoate; C19 H34 O2; 20.087";
20;20.145;3605015;12046915;74.1;0.214;;Cpd 20: 20.145;
21;20.458;1323233;4227927;67.1;0.206;C19 H34 O2;"Cpd 21: Methyl 9,10-octadecadienoate; C19 H34 O2; 20.458";
22;21.018;4188166;16342370;74.1;0.256;;Cpd 22: 21.018;
23;21.304;1075940;3113445;79.1;0.134;C19 H34 O2;"Cpd 23: Methyl 8,9-octadecadienoate; C19 H34 O2; 21.304";
24;21.46;1695884;5399164;55.1;0.227;C21 H40 O2;"Cpd 24: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 21.460";
25;21.847;2023416;6420289;74.1;0.214;;Cpd 25: 21.847;
26;22.162;1445715;4736414;67.1;0.211;C15 H26 O2;"Cpd 26: Methyl 12,13-tetradecadienoate; C15 H26 O2; 22.162";
27;22.659;5321740;18278603;74.1;0.247;;Cpd 27: 22.659;
28;22.952;1324634;3484391;79.1;0.082;C19 H34 O2;"Cpd 28: Methyl 8,9-octadecadienoate; C19 H34 O2; 22.952";
29;23.009;1228533;3463773;79.1;0.062;C19 H34 O2;"Cpd 29: Methyl 7,8-octadecadienoate; C19 H34 O2; 23.009";
30;23.079;1930678;6476190;55.1;0.198;;Cpd 30: 23.079;
31;23.427;2084401;6866940;74.1;0.21;;Cpd 31: 23.427;
32;23.735;1585559;4551011;67.1;0.095;C15 H26 O2;"Cpd 32: Methyl 12,13-tetradecadienoate; C15 H26 O2; 23.735";
33;23.817;1179237;4481626;79.1;0.239;C13 H20 N2;"Cpd 33: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 23.817";
34;24.188;4101362;14033252;74.1;0.227;;Cpd 34: 24.188;
35;24.591;1796304;6472377;55.1;0.215;;Cpd 35: 24.591;
36;24.996;61939;204841;149;0.125;;Cpd 36: 24.996;
37;25.788;771283;3377039;79.1;0.264;C13 H18 O;"Cpd 37: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 25.788";

