#Compound List: 4326 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;6.997;486233;2460095;74.1;0.296;;Cpd 1: 6.997;
2;9.227;908196;3729608;74.1;0.284;;Cpd 2: 9.227;
3;11.79;1323578;4674478;74.1;0.247;;Cpd 3: 11.790;
4;13.064;734379;2439517;74.1;0.239;;Cpd 4: 13.065;
5;14.3;1656590;5334878;74.1;0.221;;Cpd 5: 14.300;
6;15.484;880705;2774246;74.1;0.235;;Cpd 6: 15.484;
7;16.622;1932151;5962846;74.1;0.21;;Cpd 7: 16.622;
8;17.38;875713;2801192;55.1;0.239;C15 H28 O2;"Cpd 8: Methyl myristoleate; C15 H28 O2; 17.380";
9;17.702;1022795;3071781;74.1;0.204;;Cpd 9: 17.702;
10;18.444;947577;2934963;55.1;0.21;C16 H30 O2;"Cpd 10: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 18.444";
11;18.74;3440938;10375941;74.1;0.206;;Cpd 11: 18.740;
12;19.326;1016342;3174652;55.1;0.212;C17 H32 O2;"Cpd 12: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 19.326";
13;19.727;1206207;3657785;74.1;0.214;;Cpd 13: 19.727;
14;20.294;1130094;3399714;55.1;0.2;C18 H34 O2;"Cpd 14: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 20.294";
15;20.677;2755222;8337548;74.1;0.21;C37 H77 N O2;"Cpd 15: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 20.677";
16;20.991;1247429;3731767;55.1;0.158;C19 H36 O2;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 20.991";
17;21.155;2533291;7804891;55.1;0.21;C19 H36 O2;"Cpd 17: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 21.155";
18;21.523;1124402;2683413;67.1;0.081;C19 H34 O2;"Cpd 18: Methyl 9,10-octadecadienoate; C19 H34 O2; 21.523";
19;21.58;2957132;9448947;74.1;0.19;;Cpd 19: 21.581;
20;21.89;1062780;3306521;67.1;0.221;C19 H34 O2;"Cpd 20: Methyl 9,10-octadecadienoate; C19 H34 O2; 21.890";
21;22.454;3364847;12870322;74.1;0.254;;Cpd 21: 22.454;
22;22.739;921818;2808819;79.1;0.15;C19 H34 O2;"Cpd 22: Methyl 8,9-octadecadienoate; C19 H34 O2; 22.739";
23;22.9;1394890;4433891;55.1;0.214;C21 H40 O2;"Cpd 23: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 22.900";
24;23.284;1584172;5004161;74.1;0.214;;Cpd 24: 23.284;
25;23.596;1182794;3838750;67.1;0.232;C15 H26 O2;"Cpd 25: Methyl 12,13-tetradecadienoate; C15 H26 O2; 23.596";
26;24.095;4310634;14294592;74.1;0.217;;Cpd 26: 24.095;
27;24.388;1086078;2822378;79.1;0.086;C19 H34 O2;"Cpd 27: Methyl 8,9-octadecadienoate; C19 H34 O2; 24.388";
28;24.445;1104116;3351020;79.1;0.066;C19 H34 O2;"Cpd 28: Methyl 7,8-octadecadienoate; C19 H34 O2; 24.445";
29;24.515;1614096;5723430;55.1;0.21;;Cpd 29: 24.515;
30;24.862;1585636;5373828;74.1;0.226;;Cpd 30: 24.862;
31;25.175;1266414;3707548;67.1;0.107;C19 H34 O2;"Cpd 31: Methyl 9,10-octadecadienoate; C19 H34 O2; 25.175";
32;25.257;1004512;3669553;79.1;0.21;C13 H20 N2;"Cpd 32: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 25.257";
33;25.624;3224189;10987050;74.1;0.214;;Cpd 33: 25.624;
34;26.028;1359134;4971664;55.1;0.23;;Cpd 34: 26.028;
35;26.428;54080;172388;149;0.123;;Cpd 35: 26.428;
36;27.223;627453;2730758;79.1;0.289;C13 H18 O;"Cpd 36: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 27.223";

