#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;5.851;102102;526396;74.06;0.242;;Cpd 1: 5.851;
2;7.108;558352;2379102;74.09;0.264;;Cpd 2: 7.108;
3;7.883;387833;1436494;74.09;0.215;;Cpd 3: 7.883;
4;8.719;1006843;3276544;74.1;0.21;;Cpd 4: 8.719;
5;9.585;605540;1766484;74.1;0.21;;Cpd 5: 9.585;
6;10.467;1424170;3819528;74.1;0.177;;Cpd 6: 10.467;
7;11.098;676015;1809150;55.1;0.206;C15 H28 O2;"Cpd 7: Methyl myristoleate; C15 H28 O2; 11.098";
8;11.341;765809;1953028;74.09;0.169;;Cpd 8: 11.341;
9;11.972;748187;1918194;55.1;0.179;C16 H30 O2;"Cpd 9: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 11.972";
10;12.203;2531247;6393503;74.1;0.206;;Cpd 10: 12.203;
11;12.71;781521;2029913;55.1;0.204;C17 H32 O2;"Cpd 11: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 12.710";
12;13.035;886012;2181948;74.1;0.173;;Cpd 12: 13.035;
13;13.538;861168;2157745;55.1;0.19;C18 H34 O2;"Cpd 13: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 13.538";
14;13.851;1873179;4707651;74.1;0.185;C37 H77 N O2;"Cpd 14: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 13.851";
15;14.128;892190;2261787;55.1;0.138;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 14.128";
16;14.276;1788583;4569752;55.1;0.19;C19 H36 O2;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 14.276";
17;14.585;850058;2131418;67.1;0.177;C19 H34 O2;"Cpd 17: Methyl 9,10-octadecadienoate; C19 H34 O2; 14.585";
18;14.911;801793;2045213;67.1;0.199;C19 H34 O2;"Cpd 18: Methyl 9,10-octadecadienoate; C19 H34 O2; 14.911";
19;15.389;2422195;7196627;74.1;0.205;;Cpd 19: 15.389;
20;15.649;694902;1724235;79.1;0.125;C19 H34 O2;"Cpd 20: Methyl 8,9-octadecadienoate; C19 H34 O2; 15.649";
21;15.78;932304;2310739;55.1;0.164;C21 H40 O2;"Cpd 21: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 15.780";
22;16.11;1075733;2663961;74.1;0.164;;Cpd 22: 16.110;
23;16.39;856064;2110428;67.1;0.164;C19 H34 O2;"Cpd 23: Methyl 10,11-octadecadienoate; C19 H34 O2; 16.390";
24;16.823;2966266;7752992;74.1;0.19;;Cpd 24: 16.823;
25;17.083;776122;1755174;79.1;0.074;C19 H34 O2;"Cpd 25: Methyl 8,9-octadecadienoate; C19 H34 O2; 17.083";
26;17.141;741782;1688355;79.1;0.049;C13 H20 N2;"Cpd 26: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 17.141";
27;17.19;1060285;2932420;55.1;0.157;;Cpd 27: 17.190;
28;17.487;1084252;2801916;74.09;0.175;;Cpd 28: 17.487;
29;17.767;883513;2181695;67.1;0.101;C19 H34 O2;"Cpd 29: Methyl 9,10-octadecadienoate; C19 H34 O2; 17.767";
30;17.854;646055;1818692;79.1;0.185;C13 H20 N2;"Cpd 30: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 17.854";
31;18.175;1962198;5769191;74.1;0.193;C25 H50 O2;"Cpd 31: Tetracosanoic acid, methyl ester; C25 H50 O2; 18.175";
32;18.55;926901;2805046;55.1;0.213;;Cpd 32: 18.550;
33;19.692;478094;1639356;79.1;0.237;C13 H18 O;"Cpd 33: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 19.692";

