#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;5.007;1424708;8171030;74.1;0.251;;Cpd 1: 5.007;
2;5.288;730114;4070935;74.1;0.272;;Cpd 2: 5.288;
3;5.63;1638922;8499849;74.1;0.29;;Cpd 3: 5.630;
4;6.03;928184;4406617;74.1;0.259;;Cpd 4: 6.030;
5;6.487;2146051;9472165;74.1;0.27;;Cpd 5: 6.487;
6;6.887;1063900;4061834;55.1;0.119;C15 H28 O2;"Cpd 6: Methyl myristoleate; C15 H28 O2; 6.887";
7;7.001;1200093;5110320;74.1;0.196;;Cpd 7: 7.001;
8;7.435;1203030;4399390;55.1;0.126;C16 H30 O2;"Cpd 8: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 7.435";
9;7.549;4123573;15781202;74.1;0.243;;Cpd 9: 7.549;
10;7.931;1348540;4746487;55.1;0.197;C17 H32 O2;"Cpd 10: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 7.931";
11;8.124;1534940;5353389;74.1;0.251;;Cpd 11: 8.124;
12;8.522;1513024;5078652;55.1;0.193;C18 H34 O2;"Cpd 12: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 8.522";
13;8.721;3583573;10982418;74.1;0.201;C37 H77 N O2;"Cpd 13: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 8.721";
14;8.948;1699968;5087972;55.1;0.136;C19 H36 O2;"Cpd 14: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 8.948";
15;9.073;3558999;10756976;55.1;0.202;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 9.073";
16;9.319;5221615;15716168;74.1;0.199;;Cpd 16: 9.319;
17;9.595;1594967;4671717;67.1;0.206;C19 H34 O2;"Cpd 17: Methyl 9,10-octadecadienoate; C19 H34 O2; 9.595";
18;9.929;4348687;16202960;74.1;0.256;;Cpd 18: 9.929;
19;10.201;1403977;3524613;79.1;0.084;C19 H34 O2;"Cpd 19: Methyl 8,9-octadecadienoate; C19 H34 O2; 10.201";
20;10.275;2029280;5970157;55.1;0.185;C21 H40 O2;"Cpd 20: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 10.275";
21;10.523;2115855;5959916;74.1;0.202;;Cpd 21: 10.523;
22;10.795;1682687;4851283;67.1;0.206;C15 H26 O2;"Cpd 22: Methyl 12,13-tetradecadienoate; C15 H26 O2; 10.795";
23;11.12;4444988;10447110;74.1;0.086;C23 H46 O2;"Cpd 23: Methyl 20-methyl-heneicosanoate; C23 H46 O2; 11.120";
24;11.166;2097459;6120346;74.1;0.182;;Cpd 24: 11.166;
25;11.392;1472715;3490603;79.1;0.074;C19 H34 O2;"Cpd 25: Methyl 8,9-octadecadienoate; C19 H34 O2; 11.392";
26;11.458;3456993;10674764;55.1;0.19;C19 H34 O2;"Cpd 26: Methyl 8,9-octadecadienoate; C19 H34 O2; 11.458";
27;11.706;1882482;5927867;74.1;0.231;;Cpd 27: 11.706;
28;11.99;1525330;4396759;67.1;0.114;C15 H26 O2;"Cpd 28: Methyl 12,13-tetradecadienoate; C15 H26 O2; 11.990";
29;12.101;1168163;3847172;79.1;0.178;C13 H20 N2;"Cpd 29: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 12.101";
30;12.328;3577556;11840251;74.1;0.213;;Cpd 30: 12.328;
31;12.695;1485524;5670271;55.1;0.24;;Cpd 31: 12.695;
32;13.198;73581;250668;149;0.155;;Cpd 32: 13.198;
33;13.804;676643;3032190;79.1;0.289;C13 H18 O;"Cpd 33: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 13.804";

