#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;4.973;1465975;10295682;84;0.366;;Cpd 1: 4.973;
2;5.719;1027160;7429544;74.1;0.353;;Cpd 2: 5.719;
3;6.251;566306;3877493;74.1;0.342;;Cpd 3: 6.251;
4;6.906;1305815;8491968;74.1;0.495;;Cpd 4: 6.906;
5;7.685;741668;4409305;74.1;0.377;;Cpd 5: 7.685;
6;8.575;1725034;9220094;74.1;0.381;;Cpd 6: 8.575;
7;9.297;838115;4155583;55.1;0.244;C15 H28 O2;"Cpd 7: Methyl myristoleate; C15 H28 O2; 9.297";
8;9.556;947096;4466849;74.1;0.25;;Cpd 8: 9.556;
9;10.34;952437;4288117;55.1;0.249;C16 H30 O2;"Cpd 9: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 10.340";
10;10.616;3298498;14555442;74.1;0.308;;Cpd 10: 10.616;
11;11.288;1007876;4550061;55.1;0.309;C17 H32 O2;"Cpd 11: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 11.288";
12;11.715;1148536;4905802;74.1;0.278;;Cpd 12: 11.715;
13;12.409;1118776;4711812;55.1;0.276;C18 H34 O2;"Cpd 13: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 12.409";
14;12.846;2647646;10621490;74.1;0.256;C37 H77 N O2;"Cpd 14: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 12.846";
15;13.243;1209415;4901433;55.1;0.206;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 13.243";
16;13.448;2508816;10372189;55.1;0.276;C19 H36 O2;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 13.448";
17;13.975;2872364;15226206;74.1;0.334;;Cpd 17: 13.975;
18;14.383;1051535;4261456;67.1;0.268;C19 H34 O2;"Cpd 18: Methyl 9,10-octadecadienoate; C19 H34 O2; 14.383";
19;15.105;3174143;15734273;74.1;0.305;;Cpd 19: 15.105;
20;15.476;913547;3603806;79.1;0.203;C19 H34 O2;"Cpd 20: Methyl 8,9-octadecadienoate; C19 H34 O2; 15.476";
21;15.693;1314551;5368644;55.1;0.256;C21 H40 O2;"Cpd 21: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 15.693";
22;16.21;1481648;5940186;74.1;0.275;;Cpd 22: 16.210;
23;16.618;1135687;4697828;67.1;0.284;C15 H26 O2;"Cpd 23: Methyl 12,13-tetradecadienoate; C15 H26 O2; 16.618";
24;17.306;3441271;16881437;74.1;0.313;;Cpd 24: 17.306;
25;17.681;1016354;3315934;79.1;0.104;C19 H34 O2;"Cpd 25: Methyl 9,10-octadecadienoate; C19 H34 O2; 17.681";
26;17.747;955058;3642281;79.1;0.103;C19 H34 O2;"Cpd 26: Methyl 7,8-octadecadienoate; C19 H34 O2; 17.747";
27;17.87;1329685;5396554;55.1;0.239;;Cpd 27: 17.870;
28;18.361;1455016;6179122;74.1;0.284;;Cpd 28: 18.361;
29;18.762;1148224;3868488;67.1;0.107;C19 H34 O2;"Cpd 29: Methyl 9,10-octadecadienoate; C19 H34 O2; 18.762";
30;18.831;908434;3879018;79.1;0.201;C12 H18 O;"Cpd 30: (7R,8S)-cis-anti-cis-7,8-Epoxytricyclo[7.3.0.0(2,6)]dodecane; C12 H18 O; 18.831";
31;19.412;2883350;12454094;74.1;0.264;;Cpd 31: 19.412;
32;19.948;1307331;5840264;55.1;0.275;;Cpd 32: 19.948;
33;20.311;71665;350423;149;0.222;;Cpd 33: 20.311;
34;21.407;692280;3180194;79.1;0.292;C13 H18 O;"Cpd 34: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 21.407";

