#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;5.374;1492309;11399910;74.1;0.338;;Cpd 1: 5.374;
2;5.815;821621;5889867;74.09;0.3;;Cpd 2: 5.815;
3;6.363;1848554;12819031;74.1;0.347;;Cpd 3: 6.363;
4;7.043;1040719;6771953;74.1;0.343;;Cpd 4: 7.043;
5;7.859;2368388;14427109;74.1;0.453;;Cpd 5: 7.859;
6;8.562;1159200;6722103;55.1;0.251;C15 H28 O2;"Cpd 6: Methyl myristoleate; C15 H28 O2; 8.562";
7;8.805;1292208;7404502;74.1;0.404;;Cpd 7: 8.805;
8;9.599;1299032;7017740;55.1;0.272;C16 H30 O2;"Cpd 8: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 9.599";
9;9.871;4283181;22862779;74.1;0.371;;Cpd 9: 9.871;
10;10.583;1356953;7128911;55.1;0.367;C17 H32 O2;"Cpd 10: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 10.583";
11;11.029;1502408;7578087;74.1;0.34;;Cpd 11: 11.029;
12;11.784;1474089;7372355;55.1;0.355;C18 H34 O2;"Cpd 12: Methyl 8-heptadecenoate; C18 H34 O2; 11.784";
13;12.266;3304978;15852128;74.1;0.33;C37 H77 N O2;"Cpd 13: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 12.266";
14;12.715;1563028;7464412;55.1;0.239;C19 H36 O2;"Cpd 14: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 12.715";
15;12.947;3213519;15544993;55.1;0.313;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 12.947";
16;13.548;3527454;22317537;74.1;0.362;;Cpd 16: 13.548;
17;14.011;1412055;6738849;67.1;0.333;C19 H34 O2;"Cpd 17: Methyl 9,10-octadecadienoate; C19 H34 O2; 14.011";
18;14.85;3687068;22683071;74.1;0.383;;Cpd 18: 14.850;
19;15.275;1249937;5696746;79.1;0.25;C19 H34 O2;"Cpd 19: Methyl 8,9-octadecadienoate; C19 H34 O2; 15.275";
20;15.539;1612664;7454736;55.1;0.305;C21 H40 O2;"Cpd 20: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 15.539";
21;16.161;1702660;8041673;74.1;0.319;;Cpd 21: 16.161;
22;16.632;1398355;6797990;67.1;0.329;C19 H34 O2;"Cpd 22: Methyl 10,11-octadecadienoate; C19 H34 O2; 16.632";
23;17.48;3546771;22681489;74.1;0.392;;Cpd 23: 17.480;
24;17.901;1302073;4864875;79.1;0.115;C19 H34 O2;"Cpd 24: Methyl 8,9-octadecadienoate; C19 H34 O2; 17.901";
25;17.971;1413718;6836861;79.1;0.14;C19 H34 O2;"Cpd 25: Methyl 7,8-octadecadienoate; C19 H34 O2; 17.971";
26;18.152;1556902;8157104;55.1;0.326;;Cpd 26: 18.152;
27;18.754;1578830;7902183;74.1;0.338;;Cpd 27: 18.754;
28;19.269;1554883;12565706;67.1;0.457;C19 H34 O2;"Cpd 28: Methyl 9,10-octadecadienoate; C19 H34 O2; 19.269";
29;20.048;2956735;15622869;74.1;0.334;;Cpd 29: 20.048;
30;20.691;1353577;7013981;55.1;0.331;;Cpd 30: 20.691;
31;21.008;70670;301312;149;0.154;;Cpd 31: 21.008;
32;22.431;887340;4780604;79.1;0.362;C13 H18 O;"Cpd 32: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 22.431";

