#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;6.18;624299;4736645;74.09;0.352;;Cpd 1: 6.180;
2;8.237;758127;6321293;74.09;0.61;;Cpd 2: 8.237;
3;9.783;403828;3376143;74.08;0.635;;Cpd 3: 9.783;
4;11.72;894668;7188896;74.1;0.569;;Cpd 4: 11.720;
5;14.016;469277;3668679;74.09;0.518;;Cpd 5: 14.016;
6;16.621;1028516;7844752;74.1;0.506;;Cpd 6: 16.621;
7;18.48;461321;3612546;55.1;0.523;C15 H28 O2;"Cpd 7: Methyl myristoleate; C15 H28 O2; 18.480";
8;19.445;520483;3919360;74.09;0.503;;Cpd 8: 19.445;
9;21.423;470870;3705942;55.1;0.498;C16 H30 O2;"Cpd 9: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 21.423";
10;22.412;1626929;12677100;74.1;0.532;;Cpd 10: 22.412;
11;24.036;472266;3762337;55.1;0.507;C17 H32 O2;"Cpd 11: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 24.036";
12;25.43;524193;4073645;74.09;0.536;;Cpd 12: 25.430;
13;27.074;490344;3945468;55.1;0.532;C18 H34 O2;"Cpd 13: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 27.074";
14;28.488;1159216;9168594;74.1;0.527;C37 H77 N O2;"Cpd 14: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 28.488";
15;29.412;514236;3954800;55.1;0.407;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 29.412";
16;29.853;1074042;8567820;55.1;0.536;C19 H36 O2;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 29.853";
17;31.143;443714;3217591;67.1;0.321;C19 H34 O2;"Cpd 17: Methyl 9,10-octadecadienoate; C19 H34 O2; 31.143";
18;31.489;1117469;8340610;74.09;0.42;;Cpd 18: 31.489;
19;32.157;439846;3612629;67.1;0.533;C19 H34 O2;"Cpd 19: Methyl 9,10-octadecadienoate; C19 H34 O2; 32.157";
20;33.764;380716;3183271;79.09;0.523;C19 H34 O2;"Cpd 20: Methyl 8,9-octadecadienoate; C19 H34 O2; 33.764";
21;34.446;1224380;9467615;74.09;0.432;;Cpd 21: 34.446;
22;34.869;365938;2764093;79.1;0.344;C19 H34 O2;"Cpd 22: Methyl 8,9-octadecadienoate; C19 H34 O2; 34.869";
23;35.743;540627;4473716;55.1;0.539;C21 H40 O2;"Cpd 23: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 35.743";
24;37.313;608028;4908493;74.09;0.515;;Cpd 24: 37.313;
25;37.981;454114;3821610;67.1;0.544;C15 H26 O2;"Cpd 25: Methyl 12,13-tetradecadienoate; C15 H26 O2; 37.981";
26;39.494;391103;3324559;79.09;0.523;C19 H34 O2;"Cpd 26: Methyl 7,8-octadecadienoate; C19 H34 O2; 39.494";
27;40.133;1275609;10029139;74.09;0.439;C23 H46 O2;"Cpd 27: Methyl 20-methyl-heneicosanoate; C23 H46 O2; 40.133";
28;40.586;776113;6448963;79.1;0.425;C19 H34 O2;"Cpd 28: Methyl 7,8-octadecadienoate; C19 H34 O2; 40.586";
29;41.365;562694;4891041;55.1;0.569;C23 H44 O2;"Cpd 29: Methyl 11-docosenoate; C23 H44 O2; 41.365";
30;42.82;594698;4722414;74.08;0.416;C24 H48 O2;"Cpd 30: Tricosanoic acid, methyl ester; C24 H48 O2; 42.820";
31;43.261;319447;2348078;79.1;0.238;C13 H20 N2;"Cpd 31: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 43.261";
32;43.496;483628;4087170;67.1;0.399;C19 H34 O2;"Cpd 32: Methyl 9,10-octadecadienoate; C19 H34 O2; 43.496";
33;45.495;1213236;10588992;74.1;0.54;;Cpd 33: 45.495;
34;46.073;20789;141572;149;0.206;;Cpd 34: 46.073;
35;46.666;541940;4962714;55.1;0.565;;Cpd 35: 46.666;
36;49.749;280072;2568033;79.1;0.556;C13 H18 O;"Cpd 36: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 49.749";

