#Compound List: 4326 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;6.694;388600;1802920;91.1;0.233;C8 H10;"Cpd 1: 1-Cycloocten-5-yne, (Z)-; C8 H10; 6.694";
2;8.413;143648;468091;74.09;0.167;;Cpd 2: 8.413;
3;10.425;762581;2119034;74.09;0.214;;Cpd 3: 10.425;
4;11.418;487371;1286118;74.09;0.181;;Cpd 4: 11.418;
5;12.379;1146439;2930014;74.1;0.198;;Cpd 5: 12.379;
6;13.302;636852;1574365;74.1;0.185;;Cpd 6: 13.302;
7;14.184;1442200;3457419;74.1;0.181;;Cpd 7: 14.184;
8;14.782;648869;1590586;55.1;0.176;C15 H28 O2;"Cpd 8: Methyl myristoleate; C15 H28 O2; 14.782";
9;15.021;738502;1751709;74.1;0.173;;Cpd 9: 15.021;
10;15.606;704143;1692848;55.1;0.172;C16 H30 O2;"Cpd 10: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 15.606";
11;15.833;2451246;5756367;74.1;0.161;;Cpd 11: 15.833;
12;16.29;724872;1808075;55.1;0.197;C17 H32 O2;"Cpd 12: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 16.290";
13;16.591;853792;2013242;74.1;0.18;;Cpd 13: 16.591;
14;17.045;810277;1926077;55.1;0.177;C18 H34 O2;"Cpd 14: Methyl 8-heptadecenoate; C18 H34 O2; 17.045";
15;17.333;1931339;4592124;74.1;0.186;C37 H77 N O2;"Cpd 15: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 17.333";
16;17.58;873076;2116865;55.1;0.128;C19 H36 O2;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 17.581";
17;17.712;1736794;4253004;55.1;0.181;C19 H36 O2;"Cpd 17: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 17.712";
18;17.989;812892;1925842;67.1;0.173;C19 H34 O2;"Cpd 18: Methyl 9,10-octadecadienoate; C19 H34 O2; 17.989";
19;18.289;749902;1794769;67.1;0.173;C19 H34 O2;"Cpd 19: Methyl 9,10-octadecadienoate; C19 H34 O2; 18.289";
20;18.71;2639918;6892265;74.1;0.179;;Cpd 20: 18.710;
21;18.949;627131;1421854;79.1;0.107;C19 H34 O2;"Cpd 21: Methyl 8,9-octadecadienoate; C19 H34 O2; 18.949";
22;19.06;972681;2235603;55.1;0.123;C21 H40 O2;"Cpd 22: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 19.060";
23;19.349;1158572;2750601;74.1;0.172;;Cpd 23: 19.349;
24;19.608;848415;2040908;67.1;0.171;C19 H34 O2;"Cpd 24: Methyl 10,11-octadecadienoate; C19 H34 O2; 19.609";
25;19.988;3057712;7804973;74.1;0.186;;Cpd 25: 19.988;
26;20.231;714463;1570536;79.1;0.066;C19 H34 O2;"Cpd 26: Methyl 8,9-octadecadienoate; C19 H34 O2; 20.231";
27;20.317;1176264;4400177;55.1;0.206;;Cpd 27: 20.317;
28;20.59;1126552;2918295;74.1;0.179;;Cpd 28: 20.590;
29;20.862;838133;2150968;67.1;0.103;C15 H26 O2;"Cpd 29: Methyl 12,13-tetradecadienoate; C15 H26 O2; 20.862";
30;20.956;550482;1623915;79.1;0.191;C13 H20 N2;"Cpd 30: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 20.956";
31;21.233;2036511;6066834;74.1;0.21;C25 H50 O2;"Cpd 31: Tetracosanoic acid, methyl ester; C25 H50 O2; 21.233";
32;21.591;915301;2773911;55.1;0.204;;Cpd 32: 21.591;
33;22.696;403330;1467334;79.1;0.249;C13 H18 O;"Cpd 33: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 22.696";

