#Compound List: 4326 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;7.7;211031;1685293;91.1;0.41;C8 H10;"Cpd 1: p-Xylene; C8 H10; 7.700";
2;11.835;53224;408065;74.06;0.429;;Cpd 2: 11.835;
3;18.376;230489;1725525;74.09;0.404;;Cpd 3: 18.376;
4;22.185;138133;986232;74.08;0.349;;Cpd 4: 22.185;
5;26.117;327015;2494601;74.1;0.511;;Cpd 5: 26.117;
6;30.05;167655;1218813;74.09;0.389;;Cpd 6: 30.050;
7;33.904;392175;2884358;74.09;0.498;;Cpd 7: 33.904;
8;36.265;172072;1246390;55.1;0.377;;Cpd 8: 36.265;
9;37.642;197012;1417569;74.09;0.408;C16 H32 O2;"Cpd 9: Methyl 13-methyltetradecanoate; C16 H32 O2; 37.642";
10;39.951;189715;1371380;55.1;0.491;C16 H30 O2;"Cpd 10: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 39.951";
11;41.257;696957;5066560;74.1;0.478;;Cpd 11: 41.257;
12;43.034;203940;1429590;55.1;0.415;C24 H46 O2;"Cpd 12: Octyl palmitoleate; C24 H46 O2; 43.034";
13;44.699;236695;1664458;74.09;0.424;;Cpd 13: 44.699;
14;46.443;223865;1613093;55.1;0.462;C18 H34 O2;"Cpd 14: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 46.443";
15;48.058;555052;4006015;74.1;0.466;;Cpd 15: 48.058;
16;49.006;242252;1737664;55.1;0.384;;Cpd 16: 49.007;
17;49.46;491641;3711765;55.1;0.482;C19 H36 O2;"Cpd 17: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 49.460";
18;50.828;225821;1572440;67.1;0.412;C19 H34 O2;"Cpd 18: Methyl 9,10-octadecadienoate; C19 H34 O2; 50.828";
19;51.855;206885;1498966;67.1;0.419;C19 H34 O2;"Cpd 19: Methyl 11,12-octadecadienoate; C19 H34 O2; 51.855";
20;53.512;179701;1295981;79.1;0.404;C19 H32 O2;"Cpd 20: Methyl .gamma.-linolenate; C19 H32 O2; 53.512";
21;54.332;634755;4587575;74.1;0.375;;Cpd 21: 54.332;
22;54.666;142520;852127;79.1;0.234;C12 H20;"Cpd 22: Cyclododecyne; C12 H20; 54.666";
23;55.614;277811;2039848;55.1;0.478;C21 H40 O2;"Cpd 23: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 55.614";
24;57.259;331230;2391661;74.09;0.467;;Cpd 24: 57.259;
25;57.902;230325;1678652;67.1;0.374;C15 H26 O2;"Cpd 25: Methyl 12,13-tetradecadienoate; C15 H26 O2; 57.902";
26;59.431;200412;1539921;79.09;0.519;C19 H34 O2;"Cpd 26: Methyl 7,8-octadecadienoate; C19 H34 O2; 59.431";
27;60.152;682886;5049278;74.1;0.394;;Cpd 27: 60.152;
28;60.532;381396;2757311;79.1;0.373;C19 H34 O2;"Cpd 28: Methyl 7,8-octadecadienoate; C19 H34 O2; 60.532";
29;61.364;314405;2387121;55.1;0.486;;Cpd 29: 61.364;
30;62.865;354270;2510472;74.1;0.382;;Cpd 30: 62.865;
31;63.236;152883;1049185;79.1;0.262;C13 H20 N2;"Cpd 31: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 63.236";
32;63.516;254141;1889079;67.1;0.404;C15 H26 O2;"Cpd 32: Methyl 12,13-tetradecadienoate; C15 H26 O2; 63.516";
33;65.569;688731;5648916;74.1;0.486;;Cpd 33: 65.569;
34;66.723;332088;2632163;55.1;0.523;;Cpd 34: 66.723;
35;69.781;151632;1180413;79.09;0.483;C15 H22;"Cpd 35: 1,8-Cyclopentadecadiyne; C15 H22; 69.781";

