#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;6.241;125690;565661;74.05;0.23;;Cpd 1: 6.241;
2;7.634;712859;2479115;74.1;0.199;;Cpd 2: 7.634;
3;8.434;503647;1537476;74.1;0.229;;Cpd 3: 8.434;
4;9.266;1303731;3530378;74.1;0.181;;Cpd 4: 9.266;
5;10.099;755375;1923463;74.09;0.193;;Cpd 5: 10.099;
6;10.932;1791486;4277661;74.1;0.183;;Cpd 6: 10.932;
7;11.513;834287;2014734;55.1;0.177;C15 H28 O2;"Cpd 7: Methyl myristoleate; C15 H28 O2; 11.513";
8;11.735;952939;2211163;74.09;0.173;;Cpd 8: 11.735;
9;12.312;924678;2152700;55.1;0.179;C16 H30 O2;"Cpd 9: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 12.312";
10;12.527;3040464;7127151;74.1;0.161;;Cpd 10: 12.527;
11;12.98;953278;2252152;55.1;0.177;C17 H32 O2;"Cpd 11: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 12.980";
12;13.273;1068858;2426777;74.1;0.173;;Cpd 12: 13.273;
13;13.726;1024179;2388290;55.1;0.176;C18 H34 O2;"Cpd 13: Methyl 8-heptadecenoate; C18 H34 O2; 13.726";
14;14.011;2208736;5265829;74.1;0.165;C37 H77 N O2;"Cpd 14: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 14.011";
15;14.254;1028213;2481111;55.1;0.131;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 14.254";
16;14.386;2093425;5003780;55.1;0.181;C19 H36 O2;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 14.386";
17;14.662;1003641;2288137;67.1;0.162;C19 H34 O2;"Cpd 17: Methyl 9,10-octadecadienoate; C19 H34 O2; 14.662";
18;14.963;939390;2202364;67.1;0.15;C19 H34 O2;"Cpd 18: Methyl 9,10-octadecadienoate; C19 H34 O2; 14.963";
19;15.379;3064413;7667271;74.1;0.168;;Cpd 19: 15.379;
20;15.622;822223;1879778;79.1;0.115;C19 H34 O2;"Cpd 20: Methyl 8,9-octadecadienoate; C19 H34 O2; 15.622";
21;15.73;1112492;2633533;55.1;0.173;C21 H40 O2;"Cpd 21: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 15.730";
22;16.018;1212883;2822223;74.1;0.173;;Cpd 22: 16.018;
23;16.278;995639;2324366;67.1;0.181;C19 H34 O2;"Cpd 23: Methyl 9,10-octadecadienoate; C19 H34 O2; 16.278";
24;16.657;3161864;8071437;74.1;0.181;;Cpd 24: 16.657;
25;16.9;846461;1833083;79.1;0.071;C19 H34 O2;"Cpd 25: Methyl 8,9-octadecadienoate; C19 H34 O2; 16.900";
26;16.983;1205445;4549689;55.1;0.185;;Cpd 26: 16.983;
27;17.259;1135025;2860409;74.09;0.153;;Cpd 27: 17.259;
28;17.527;902923;2231420;67.1;0.099;C19 H34 O2;"Cpd 28: Methyl 9,10-octadecadienoate; C19 H34 O2; 17.527";
29;17.622;670551;1911747;79.1;0.194;C13 H20 N2;"Cpd 29: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 17.622";
30;17.898;2022133;5811051;74.1;0.218;C25 H50 O2;"Cpd 30: Tetracosanoic acid, methyl ester; C25 H50 O2; 17.898";
31;18.256;937292;2747553;55.1;0.208;;Cpd 31: 18.256;
32;19.361;478738;1679784;79.1;0.239;C13 H18 O;"Cpd 32: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 19.361";

