#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;5.633;879245;4673440;74.1;0.286;;Cpd 1: 5.633;
2;6.689;1348341;5735251;74.1;0.242;;Cpd 2: 6.689;
3;7.319;848101;3026231;74.1;0.212;;Cpd 3: 7.319;
4;7.995;2093797;6565923;74.1;0.209;;Cpd 4: 7.995;
5;8.692;1237179;3435528;74.1;0.194;;Cpd 5: 8.692;
6;9.401;2821316;7248210;74.1;0.177;;Cpd 6: 9.401;
7;9.918;1333493;3442986;55.1;0.18;C15 H28 O2;"Cpd 7: Methyl myristoleate; C15 H28 O2; 9.918";
8;10.101;1511026;3798592;74.1;0.173;;Cpd 8: 10.101;
9;10.613;1434495;3481194;55.1;0.159;C16 H30 O2;"Cpd 9: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 10.613";
10;10.786;4947430;11945837;74.1;0.175;;Cpd 10: 10.786;
11;11.202;1502398;3637617;55.1;0.173;C17 H32 O2;"Cpd 11: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 11.202";
12;11.453;1712261;4074176;74.1;0.148;;Cpd 12: 11.453;
13;11.861;1637554;4003619;55.1;0.181;C18 H34 O2;"Cpd 13: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 11.861";
14;12.1;3849145;9303791;74.1;0.181;C37 H77 N O2;"Cpd 14: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 12.100";
15;12.327;1768318;4208535;55.1;0.12;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 12.327";
16;12.447;3632777;8844179;55.1;0.173;C19 H36 O2;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 12.447";
17;12.719;4431339;13374164;74.1;0.198;;Cpd 17: 12.719;
18;12.962;1525429;3858117;67.1;0.202;C19 H34 O2;"Cpd 18: Methyl 9,10-octadecadienoate; C19 H34 O2; 12.962";
19;13.325;5506333;14015391;74.1;0.184;;Cpd 19: 13.325;
20;13.56;1323570;3075584;79.1;0.087;C19 H34 O2;"Cpd 20: Methyl 8,9-octadecadienoate; C19 H34 O2; 13.560";
21;13.646;1986202;5049689;55.1;0.169;C21 H40 O2;"Cpd 21: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 13.646";
22;13.898;2216799;5425487;74.1;0.151;;Cpd 22: 13.898;
23;14.141;1633710;4047107;67.1;0.169;C15 H26 O2;"Cpd 23: Methyl 12,13-tetradecadienoate; C15 H26 O2; 14.141";
24;14.471;4672619;15805426;74.1;0.243;;Cpd 24: 14.471;
25;14.718;1365442;3091868;79.1;0.069;C19 H34 O2;"Cpd 25: Methyl 8,9-octadecadienoate; C19 H34 O2; 14.718";
26;14.784;2649127;6965319;55.1;0.1;C15 H26 O2;"Cpd 26: Methyl 12,13-tetradecadienoate; C15 H26 O2; 14.784";
27;15.035;2025986;5724045;74.1;0.177;;Cpd 27: 15.035;
28;15.303;1495920;4094234;67.1;0.105;C15 H26 O2;"Cpd 28: Methyl 12,13-tetradecadienoate; C15 H26 O2; 15.303";
29;15.406;1053551;3238394;79.1;0.159;C13 H20 N2;"Cpd 29: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 15.406";
30;15.633;3781084;11851611;74.1;0.208;;Cpd 30: 15.633;
31;15.979;1630354;5740758;55.1;0.235;;Cpd 31: 15.979;
32;16.474;58150;187745;149;0.134;;Cpd 32: 16.474;
33;17.059;678526;2861449;79.1;0.27;C13 H18 O;"Cpd 33: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 17.059";

