#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;5.653;981882;5240977;74.1;0.23;;Cpd 1: 5.653;
2;6.689;1674315;6709371;74.1;0.289;;Cpd 2: 6.689;
3;7.32;1008420;3517143;74.09;0.226;;Cpd 3: 7.320;
4;8;2490019;7531319;74.1;0.21;;Cpd 4: 8.000;
5;8.696;1434246;3861813;74.1;0.198;;Cpd 5: 8.696;
6;9.405;3273434;8087052;74.1;0.18;;Cpd 6: 9.405;
7;9.921;1556026;3802588;55.1;0.172;C15 H28 O2;"Cpd 7: Methyl myristoleate; C15 H28 O2; 9.921";
8;10.106;1738642;4086521;74.1;0.173;;Cpd 8: 10.106;
9;10.617;1651593;3873161;55.1;0.159;C16 H30 O2;"Cpd 9: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 10.617";
10;10.794;5637716;12978781;74.1;0.157;;Cpd 10: 10.794;
11;11.207;1729980;4083958;55.1;0.173;C17 H32 O2;"Cpd 11: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 11.207";
12;11.458;1955349;4521035;74.09;0.148;;Cpd 12: 11.458;
13;11.866;1877168;4371470;55.1;0.173;C18 H34 O2;"Cpd 13: Methyl 8-heptadecenoate; C18 H34 O2; 11.866";
14;12.105;4274341;9912535;74.1;0.174;C37 H77 N O2;"Cpd 14: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 12.105";
15;12.332;1997690;4515165;55.1;0.112;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 12.332";
16;12.451;4027111;9165648;55.1;0.174;C19 H36 O2;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 12.451";
17;12.724;4753952;14281404;74.1;0.2;;Cpd 17: 12.724;
18;12.971;1738672;4186376;67.1;0.173;C19 H34 O2;"Cpd 18: Methyl 9,10-octadecadienoate; C19 H34 O2; 12.971";
19;13.329;6091314;14846244;74.1;0.177;;Cpd 19: 13.329;
20;13.564;1545262;3483674;79.1;0.095;C19 H34 O2;"Cpd 20: Methyl 8,9-octadecadienoate; C19 H34 O2; 13.564";
21;13.651;2147532;5279815;55.1;0.165;C21 H40 O2;"Cpd 21: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 13.651";
22;13.902;2368995;5626352;74.1;0.17;;Cpd 22: 13.902;
23;14.146;1850671;4516778;67.1;0.169;C19 H34 O2;"Cpd 23: Methyl 9,10-octadecadienoate; C19 H34 O2; 14.146";
24;14.479;4914804;16138173;74.1;0.238;;Cpd 24: 14.479;
25;14.723;1554458;3419240;79.1;0.074;C19 H34 O2;"Cpd 25: Methyl 8,9-octadecadienoate; C19 H34 O2; 14.723";
26;14.793;3121393;10122317;55.1;0.194;C19 H34 O2;"Cpd 26: Methyl 8,9-octadecadienoate; C19 H34 O2; 14.793";
27;15.044;2029253;5724744;74.1;0.176;;Cpd 27: 15.044;
28;15.308;1620564;4448314;67.1;0.111;C15 H26 O2;"Cpd 28: Methyl 12,13-tetradecadienoate; C15 H26 O2; 15.308";
29;15.411;1260943;3754895;79.1;0.177;C13 H20 N2;"Cpd 29: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 15.411";
30;15.641;3778230;11842244;74.1;0.21;;Cpd 30: 15.641;
31;15.988;1620479;5546405;55.1;0.228;;Cpd 31: 15.988;
32;16.479;68916;219547;149;0.13;;Cpd 32: 16.479;
33;17.068;777216;3200708;79.1;0.266;C13 H18 O;"Cpd 33: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 17.068";

