#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;7.016;71506;421829;74.07;0.284;;Cpd 1: 7.016;
2;9.242;401542;1954260;74.09;0.341;;Cpd 2: 9.242;
3;10.59;274221;1180687;74.09;0.256;;Cpd 3: 10.590;
4;12.024;693905;2778647;74.1;0.275;;Cpd 4: 12.024;
5;13.491;403553;1498173;74.09;0.247;;Cpd 5: 13.491;
6;14.959;930004;3303811;74.1;0.249;;Cpd 6: 14.959;
7;15.956;427095;1532300;55.1;0.243;C15 H28 O2;"Cpd 7: Methyl myristoleate; C15 H28 O2; 15.956";
8;16.402;493508;1703938;74.09;0.251;;Cpd 8: 16.402;
9;17.391;460769;1641621;55.1;0.246;C16 H30 O2;"Cpd 9: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 17.391";
10;17.82;1598584;5558381;74.1;0.235;;Cpd 10: 17.820;
11;18.599;477810;1701923;55.1;0.243;C17 H32 O2;"Cpd 11: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 18.599";
12;19.172;542573;1887997;74.09;0.247;;Cpd 12: 19.172;
13;19.942;526538;1887493;55.1;0.251;C18 H34 O2;"Cpd 13: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 19.942";
14;20.499;1174802;4203334;74.1;0.235;C37 H77 N O2;"Cpd 14: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 20.499";
15;20.919;549897;1904929;55.1;0.202;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 20.919";
16;21.134;1098577;3869540;55.1;0.242;C19 H36 O2;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 21.134";
17;21.653;514530;1819897;67.1;0.24;C19 H34 O2;"Cpd 17: Methyl 9,10-octadecadienoate; C19 H34 O2; 21.653";
18;22.139;483834;1708183;67.1;0.238;C19 H34 O2;"Cpd 18: Methyl 9,10-octadecadienoate; C19 H34 O2; 22.139";
19;22.848;432600;1490977;79.1;0.136;C19 H34 O2;"Cpd 19: Methyl 8,9-octadecadienoate; C19 H34 O2; 22.848";
20;22.984;1328542;4846921;74.1;0.227;;Cpd 20: 22.984;
21;23.306;415342;1484313;79.1;0.228;C19 H34 O2;"Cpd 21: Methyl 8,9-octadecadienoate; C19 H34 O2; 23.306";
22;23.574;596757;2105394;55.1;0.235;C21 H40 O2;"Cpd 22: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 23.574";
23;24.147;691894;2438257;74.1;0.222;;Cpd 23: 24.147;
24;24.534;520375;1861076;67.1;0.232;C15 H26 O2;"Cpd 24: Methyl 12,13-tetradecadienoate; C15 H26 O2; 24.534";
25;25.198;470059;1508136;79.1;0.107;C19 H34 O2;"Cpd 25: Methyl 7,8-octadecadienoate; C19 H34 O2; 25.198";
26;25.293;1422611;5508875;74.09;0.235;;Cpd 26: 25.293;
27;25.627;473349;1538938;79.1;0.098;C15 H26;"Cpd 27: 2-Pentadecen-4-yne, (Z)-; C15 H26; 25.627";
28;25.688;481978;1691127;79.1;0.128;C13 H20 N2;"Cpd 28: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 25.688";
29;25.849;652918;2438236;55.1;0.231;C23 H44 O2;"Cpd 29: Methyl 11-docosenoate; C23 H44 O2; 25.849";
30;26.369;736632;2701532;74.1;0.251;;Cpd 30: 26.369;
31;26.756;592699;3606316;67.1;0.368;C19 H34 O2;"Cpd 31: Methyl 8,9-octadecadienoate; C19 H34 O2; 26.756";
32;27.444;1462962;5709625;74.1;0.26;C25 H50 O2;"Cpd 32: Tetracosanoic acid, methyl ester; C25 H50 O2; 27.444";
33;27.972;691266;2658345;55.1;0.247;;Cpd 33: 27.972;
34;29.423;382444;1461153;79.1;0.244;C13 H18 O;"Cpd 34: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 29.423";

