#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;5.386;656641;4381290;74.1;0.317;;Cpd 1: 5.386;
2;6.503;854311;5843576;74.1;0.371;;Cpd 2: 6.503;
3;7.307;471308;3240230;74.1;0.515;;Cpd 3: 7.307;
4;8.292;1087368;6884834;74.1;0.468;;Cpd 4: 8.292;
5;9.434;618370;3584033;74.1;0.412;;Cpd 5: 9.434;
6;10.715;1418428;7770071;74.1;0.367;;Cpd 6: 10.715;
7;11.693;664539;3510103;55.1;0.35;C15 H28 O2;"Cpd 7: Methyl myristoleate; C15 H28 O2; 11.693";
8;12.097;782604;3924488;74.1;0.359;;Cpd 8: 12.097;
9;13.136;737440;3699298;55.1;0.325;C16 H30 O2;"Cpd 9: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 13.136";
10;13.552;2638079;12794750;74.1;0.321;;Cpd 10: 13.552;
11;14.417;788572;3927737;55.1;0.363;C17 H32 O2;"Cpd 11: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 14.417";
12;15.032;916394;4367928;74.1;0.33;;Cpd 12: 15.032;
13;15.914;857944;4242938;55.1;0.342;C18 H34 O2;"Cpd 13: Methyl 8-heptadecenoate; C18 H34 O2; 15.914";
14;16.532;2019526;9644247;74.1;0.322;C37 H77 N O2;"Cpd 14: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 16.532";
15;17.031;909790;4153743;55.1;0.241;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 17.031";
16;17.282;1870935;8890788;55.1;0.333;C19 H36 O2;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 17.282";
17;17.901;815761;3277651;67.1;0.14;C19 H34 O2;"Cpd 17: Methyl 9,10-octadecadienoate; C19 H34 O2; 17.901";
18;18.008;2108365;10473701;74.1;0.289;;Cpd 18: 18.008;
19;18.474;784075;3808663;67.1;0.304;C19 H34 O2;"Cpd 19: Methyl 9,10-octadecadienoate; C19 H34 O2; 18.474";
20;19.314;688881;3090919;79.1;0.169;C19 H34 O2;"Cpd 20: Methyl 8,9-octadecadienoate; C19 H34 O2; 19.314";
21;19.467;2259424;11177870;74.1;0.305;;Cpd 21: 19.467;
22;19.863;651903;3131601;79.1;0.268;C19 H34 O2;"Cpd 22: Methyl 8,9-octadecadienoate; C19 H34 O2; 19.863";
23;20.187;982683;4810005;55.1;0.31;C21 H40 O2;"Cpd 23: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 20.187";
24;20.881;1130225;5432784;74.1;0.336;;Cpd 24: 20.881;
25;21.347;834679;4237148;67.1;0.342;C15 H26 O2;"Cpd 25: Methyl 12,13-tetradecadienoate; C15 H26 O2; 21.347";
26;22.154;727149;3081213;79.1;0.148;C19 H34 O2;"Cpd 26: Methyl 7,8-octadecadienoate; C19 H34 O2; 22.154";
27;22.282;2401789;12335992;74.1;0.301;;Cpd 27: 22.282;
28;22.682;768574;2623922;79.1;0.097;C19 H34 O2;"Cpd 28: Methyl 8,9-octadecadienoate; C19 H34 O2; 22.682";
29;22.74;866172;4350860;79.1;0.181;C19 H34 O2;"Cpd 29: Methyl 7,8-octadecadienoate; C19 H34 O2; 22.740";
30;22.966;1049458;5301566;55.1;0.33;C23 H44 O2;"Cpd 30: Methyl 11-docosenoate; C23 H44 O2; 22.966";
31;23.615;1125469;5695706;74.1;0.334;;Cpd 31: 23.615;
32;24.088;1269262;8027220;67.1;0.419;C19 H34 O2;"Cpd 32: Methyl 8,9-octadecadienoate; C19 H34 O2; 24.088";
33;24.941;2255807;11684508;74.1;0.33;;Cpd 33: 24.941;
34;25.592;993116;4917516;55.1;0.276;;Cpd 34: 25.592;
35;27.348;505245;2822394;79.1;0.359;C13 H18 O;"Cpd 35: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 27.348";

