#Compound List: 4326 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;6.513;32202;277380;84;0.358;;Cpd 1: 6.513;
2;7.242;369656;2600028;74.09;0.357;;Cpd 2: 7.242;
3;10.602;578739;4109196;74.09;0.47;;Cpd 3: 10.602;
4;15.404;761443;5060897;74.09;0.453;;Cpd 4: 15.404;
5;18.079;410437;2624678;74.09;0.404;;Cpd 5: 18.079;
6;20.775;912467;5784114;74.09;0.42;;Cpd 6: 20.775;
7;23.446;483966;2974954;74.1;0.408;;Cpd 7: 23.446;
8;26.047;1101078;6588357;74.1;0.392;;Cpd 8: 26.047;
9;27.687;484121;3007113;55.1;0.404;C15 H28 O2;"Cpd 9: Methyl myristoleate; C15 H28 O2; 27.687";
10;28.549;578133;3418352;74.09;0.379;C16 H32 O2;"Cpd 10: Methyl 13-methyltetradecanoate; C16 H32 O2; 28.549";
11;30.152;525891;3192874;55.1;0.395;C16 H30 O2;"Cpd 11: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 30.152";
12;30.964;1928555;11442788;74.1;0.391;;Cpd 12: 30.964;
13;32.205;553208;3393491;55.1;0.412;C17 H32 O2;"Cpd 13: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 32.205";
14;33.268;662206;3868427;74.09;0.374;;Cpd 14: 33.268;
15;34.489;608455;3699991;55.1;0.383;C18 H34 O2;"Cpd 15: Methyl 8-heptadecenoate; C18 H34 O2; 34.489";
16;35.498;1515211;8879868;74.1;0.354;;Cpd 16: 35.498;
17;36.162;659968;3836503;55.1;0.307;C19 H36 O2;"Cpd 17: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 36.162";
18;36.488;1370643;8012246;55.1;0.349;C19 H36 O2;"Cpd 18: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 36.488";
19;37.39;594900;3398058;67.1;0.235;C19 H34 O2;"Cpd 19: Methyl 10,11-octadecadienoate; C19 H34 O2; 37.390";
20;37.617;1533228;9402471;74.09;0.4;;Cpd 20: 37.617;
21;38.132;575983;3540939;67.1;0.425;C19 H34 O2;"Cpd 21: Methyl 9,10-octadecadienoate; C19 H34 O2; 38.132";
22;39.274;483618;2906730;79.1;0.344;C19 H32 O2;"Cpd 22: Methyl .gamma.-linolenate; C19 H32 O2; 39.274";
23;39.67;1711919;10242555;74.09;0.387;;Cpd 23: 39.670;
24;40.049;504084;3208142;79.1;0.371;C19 H34 O2;"Cpd 24: Methyl 8,9-octadecadienoate; C19 H34 O2; 40.049";
25;40.593;739719;4612762;55.1;0.396;C21 H40 O2;"Cpd 25: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 40.593";
26;41.62;842168;5149538;74.09;0.404;;Cpd 26: 41.620;
27;42.155;639578;3969784;67.1;0.407;C15 H26 O2;"Cpd 27: Methyl 12,13-tetradecadienoate; C15 H26 O2; 42.155";
28;43.215;537194;3114909;79.1;0.284;C19 H34 O2;"Cpd 28: Methyl 7,8-octadecadienoate; C19 H34 O2; 43.215";
29;43.537;1801069;10862153;74.1;0.39;C23 H46 O2;"Cpd 29: Methyl 20-methyl-heneicosanoate; C23 H46 O2; 43.537";
30;43.969;870183;6743376;79.1;0.379;C19 H34 O2;"Cpd 30: Methyl 7,8-octadecadienoate; C19 H34 O2; 43.969";
31;44.41;786272;5015400;55.1;0.415;C23 H44 O2;"Cpd 31: Methyl 11-docosenoate; C23 H44 O2; 44.410";
32;45.342;856243;5408030;74.08;0.424;;Cpd 32: 45.342;
33;45.873;873638;7045034;67.1;0.371;C19 H34 O2;"Cpd 33: Methyl 8,9-octadecadienoate; C19 H34 O2; 45.873";
34;47.132;1761640;11619284;74.1;0.42;;Cpd 34: 47.132;
35;47.959;792852;5661493;55.1;0.482;;Cpd 35: 47.959;
36;50.185;394896;2744703;79.1;0.46;C13 H18 O;"Cpd 36: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 50.185";

