#Compound List: 4326 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;5.882;49968;398224;83.99;0.305;;Cpd 1: 5.882;
2;6.335;472635;2552601;74.08;0.282;;Cpd 2: 6.335;
3;8.19;889995;3944892;74.1;0.292;;Cpd 3: 8.190;
4;10.516;1396259;5026500;74.1;0.247;;Cpd 4: 10.516;
5;11.727;794586;2694149;74.09;0.235;;Cpd 5: 11.727;
6;12.926;1804548;5827795;74.1;0.214;;Cpd 6: 12.927;
7;14.089;994027;3096207;74.1;0.218;;Cpd 7: 14.089;
8;15.211;2263572;6862760;74.1;0.214;;Cpd 8: 15.211;
9;15.967;1011288;3172843;55.1;0.202;C15 H28 O2;"Cpd 9: Methyl myristoleate; C15 H28 O2; 15.967";
10;16.285;1167799;3528615;74.1;0.214;;Cpd 10: 16.285;
11;17.024;1109267;3366191;55.1;0.214;C16 H30 O2;"Cpd 11: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 17.024";
12;17.316;3854789;11546551;74.1;0.214;;Cpd 12: 17.316;
13;17.903;1163698;3562562;55.1;0.21;C17 H32 O2;"Cpd 13: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 17.903";
14;18.3;1312963;3945316;74.1;0.218;;Cpd 14: 18.300;
15;18.873;1230868;3803980;55.1;0.223;C18 H34 O2;"Cpd 15: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 18.873";
16;19.25;2926921;8746165;74.1;0.214;C37 H77 N O2;"Cpd 16: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 19.250";
17;19.563;1315155;4008879;55.1;0.155;C19 H36 O2;"Cpd 17: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 19.563";
18;19.727;2756467;8454680;55.1;0.218;C19 H36 O2;"Cpd 18: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 19.727";
19;20.095;1212682;2910337;67.1;0.086;C19 H34 O2;"Cpd 19: Methyl 9,10-octadecadienoate; C19 H34 O2; 20.095";
20;20.152;3069668;9703782;74.1;0.19;;Cpd 20: 20.152;
21;20.461;1160974;3543037;67.1;0.222;C19 H34 O2;"Cpd 21: Methyl 9,10-octadecadienoate; C19 H34 O2; 20.461";
22;21.022;3452194;13145384;74.1;0.246;;Cpd 22: 21.022;
23;21.31;978404;2869185;79.1;0.142;C19 H34 O2;"Cpd 23: Methyl 8,9-octadecadienoate; C19 H34 O2; 21.310";
24;21.467;1430999;4234514;55.1;0.174;C21 H40 O2;"Cpd 24: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 21.467";
25;21.851;1600277;5038095;74.1;0.235;;Cpd 25: 21.851;
26;22.168;1252744;3954970;67.1;0.21;C15 H26 O2;"Cpd 26: Methyl 12,13-tetradecadienoate; C15 H26 O2; 22.168";
27;22.663;4414164;14397631;74.1;0.239;;Cpd 27: 22.663;
28;22.959;1124027;2983090;79.1;0.082;C19 H34 O2;"Cpd 28: Methyl 8,9-octadecadienoate; C19 H34 O2; 22.959";
29;23.017;1155747;3287574;79.1;0.062;C19 H34 O2;"Cpd 29: Methyl 7,8-octadecadienoate; C19 H34 O2; 23.017";
30;23.087;1623854;5531910;55.1;0.185;;Cpd 30: 23.087;
31;23.433;1571872;5211333;74.1;0.207;;Cpd 31: 23.433;
32;23.745;1283665;3707571;67.1;0.11;C15 H26 O2;"Cpd 32: Methyl 12,13-tetradecadienoate; C15 H26 O2; 23.745";
33;23.825;1049320;3788378;79.1;0.214;C13 H20 N2;"Cpd 33: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 23.825";
34;24.192;3208490;10606214;74.1;0.212;;Cpd 34: 24.192;
35;24.596;1368105;4938196;55.1;0.23;;Cpd 35: 24.596;
36;24.996;59170;188781;149;0.121;;Cpd 36: 24.996;
37;25.795;654143;2752088;79.1;0.266;C13 H18 O;"Cpd 37: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 25.795";

