#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;6.119;87890;493207;74.07;0.252;;Cpd 1: 6.119;
2;7.677;454997;2177581;74.09;0.259;;Cpd 2: 7.677;
3;8.654;307933;1341664;74.09;0.322;;Cpd 3: 8.654;
4;9.734;788274;3016860;74.1;0.263;;Cpd 4: 9.734;
5;10.863;471002;1629938;74.1;0.268;;Cpd 5: 10.863;
6;12.026;1105970;3568235;74.1;0.243;;Cpd 6: 12.026;
7;12.842;515437;1656441;55.1;0.224;C15 H28 O2;"Cpd 7: Methyl myristoleate; C15 H28 O2; 12.842";
8;13.184;581566;1797424;74.09;0.214;C16 H32 O2;"Cpd 8: Methyl 13-methyltetradecanoate; C16 H32 O2; 13.184";
9;14;561044;1762943;55.1;0.235;C16 H30 O2;"Cpd 9: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 14.000";
10;14.33;1895755;5860373;74.1;0.22;;Cpd 10: 14.330;
11;14.985;600563;1824300;55.1;0.205;C17 H32 O2;"Cpd 11: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 14.985";
12;15.439;667666;2019424;74.09;0.214;;Cpd 12: 15.439;
13;16.086;641359;1939101;55.1;0.2;C18 H34 O2;"Cpd 13: Methyl 8-heptadecenoate; C18 H34 O2; 16.086";
14;16.527;1446309;4494558;74.09;0.226;C37 H77 N O2;"Cpd 14: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 16.527";
15;16.885;685255;2116244;55.1;0.181;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 16.885";
16;17.071;1342767;4233374;55.1;0.223;C19 H36 O2;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 17.071";
17;17.491;644721;1979224;67.1;0.229;C19 H34 O2;"Cpd 17: Methyl 8,9-octadecadienoate; C19 H34 O2; 17.491";
18;17.912;603481;1866529;67.1;0.216;C19 H34 O2;"Cpd 18: Methyl 8,9-octadecadienoate; C19 H34 O2; 17.912";
19;18.505;555204;1482861;79.1;0.095;C19 H34 O2;"Cpd 19: Methyl 7,8-octadecadienoate; C19 H34 O2; 18.505";
20;18.584;1627755;5292561;74.1;0.177;;Cpd 20: 18.584;
21;18.884;529482;1605166;79.1;0.191;C12 H20;"Cpd 21: Cyclododecyne; C12 H20; 18.884";
22;19.086;734468;2272583;55.1;0.218;C21 H40 O2;"Cpd 22: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 19.086";
23;19.544;837901;2560723;74.1;0.21;;Cpd 23: 19.544;
24;19.894;651866;2053712;67.1;0.218;C19 H34 O2;"Cpd 24: Methyl 10,11-octadecadienoate; C19 H34 O2; 19.894";
25;20.5;1789744;7475963;74.1;0.264;;Cpd 25: 20.500;
26;20.805;601612;1596546;79.1;0.082;C19 H34 O2;"Cpd 26: Methyl 8,9-octadecadienoate; C19 H34 O2; 20.805";
27;20.867;576342;1861607;79.1;0.091;C13 H20 N2;"Cpd 27: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 20.867";
28;20.974;802488;2645573;55.1;0.202;;Cpd 28: 20.974;
29;21.391;887534;2808618;74.1;0.214;;Cpd 29: 21.391;
30;21.733;683667;1946418;67.1;0.101;C15 H26 O2;"Cpd 30: Methyl 12,13-tetradecadienoate; C15 H26 O2; 21.733";
31;21.799;475582;1430915;79.1;0.115;C13 H20 N2;"Cpd 31: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 21.799";
32;22.289;1702805;5779693;74.1;0.214;C25 H50 O2;"Cpd 32: Tetracosanoic acid, methyl ester; C25 H50 O2; 22.289";
33;22.734;833522;2751712;55.1;0.218;;Cpd 33: 22.734;
34;24;440433;1606436;79.1;0.243;C13 H18 O;"Cpd 34: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 24.000";

