#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;5.414;1099061;6404409;74.1;0.307;;Cpd 1: 5.414;
2;5.81;630015;3392423;74.1;0.279;;Cpd 2: 5.810;
3;6.284;1476190;7312148;74.1;0.291;;Cpd 3: 6.284;
4;6.832;856327;3843598;74.1;0.27;;Cpd 4: 6.832;
5;7.449;1963018;8110762;74.1;0.262;;Cpd 5: 7.449;
6;7.95;980638;3703071;55.1;0.165;C15 H28 O2;"Cpd 6: Methyl myristoleate; C15 H28 O2; 7.950";
7;8.108;1130295;4182862;74.1;0.227;;Cpd 7: 8.108;
8;8.644;1111579;3932928;55.1;0.173;C16 H30 O2;"Cpd 8: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 8.644";
9;8.802;4084663;13411900;74.1;0.239;;Cpd 9: 8.802;
10;9.263;1239120;4038210;55.1;0.212;C17 H32 O2;"Cpd 10: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 9.263";
11;9.519;1469641;4516929;74.1;0.2;;Cpd 11: 9.519;
12;9.985;1422430;4361235;55.1;0.201;C18 H34 O2;"Cpd 12: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 9.985";
13;10.245;3379705;10010984;74.1;0.188;C37 H77 N O2;"Cpd 13: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 10.245";
14;10.509;1598039;4584398;55.1;0.142;C19 H36 O2;"Cpd 14: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 10.509";
15;10.649;3289847;9656578;55.1;0.206;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 10.649";
16;10.958;4237422;14376236;74.1;0.222;;Cpd 16: 10.958;
17;11.259;1395869;4080631;67.1;0.199;C19 H34 O2;"Cpd 17: Methyl 9,10-octadecadienoate; C19 H34 O2; 11.259";
18;11.679;4771836;15036090;74.1;0.21;;Cpd 18: 11.679;
19;11.962;1218828;3292035;79.1;0.101;C19 H34 O2;"Cpd 19: Methyl 8,9-octadecadienoate; C19 H34 O2; 11.962";
20;12.067;1822853;5280834;55.1;0.177;C21 H40 O2;"Cpd 20: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 12.067";
21;12.368;2074750;5837074;74.1;0.202;;Cpd 21: 12.368;
22;12.66;1552615;4548066;67.1;0.204;C15 H26 O2;"Cpd 22: Methyl 12,13-tetradecadienoate; C15 H26 O2; 12.660";
23;13.06;4645029;16644046;74.1;0.264;;Cpd 23: 13.060;
24;13.34;1387200;3336459;79.1;0.079;C19 H34 O2;"Cpd 24: Methyl 8,9-octadecadienoate; C19 H34 O2; 13.340";
25;13.427;2535420;10255671;55.1;0.21;C19 H34 O2;"Cpd 25: Methyl 8,9-octadecadienoate; C19 H34 O2; 13.427";
26;13.711;2103300;6097101;74.1;0.2;;Cpd 26: 13.711;
27;14.003;1621205;4531886;67.1;0.11;C15 H26 O2;"Cpd 27: Methyl 12,13-tetradecadienoate; C15 H26 O2; 14.003";
28;14.103;1165124;3935108;79.1;0.218;C13 H20 N2;"Cpd 28: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 14.103";
29;14.387;3874030;12653457;74.1;0.223;;Cpd 29: 14.387;
30;14.769;1707149;5909150;55.1;0.233;;Cpd 30: 14.769;
31;15.232;67694;210572;149;0.132;;Cpd 31: 15.232;
32;15.913;749817;3141961;79.1;0.289;C13 H18 O;"Cpd 32: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 15.913";

