#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;5.276;733785;5223069;74.09;0.299;;Cpd 1: 5.276;
2;6.435;876204;7354772;74.1;0.437;;Cpd 2: 6.435;
3;7.366;429116;3806187;74.09;0.399;;Cpd 3: 7.366;
4;8.632;883545;8516475;74.1;0.671;;Cpd 4: 8.632;
5;10.297;439283;4512382;74.09;0.697;;Cpd 5: 10.297;
6;12.461;919481;9670445;74.1;0.721;;Cpd 6: 12.461;
7;14.275;409767;4397174;55.1;0.696;C15 H28 O2;"Cpd 7: Methyl myristoleate; C15 H28 O2; 14.275";
8;15.169;453344;4877012;74.09;0.704;;Cpd 8: 15.169;
9;17.35;414180;4632116;55.1;0.717;C16 H30 O2;"Cpd 9: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 17.350";
10;18.438;1445040;16040475;74.1;0.73;;Cpd 10: 18.438;
11;20.449;407162;4773856;55.1;0.737;C17 H32 O2;"Cpd 11: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 20.449";
12;22.226;449945;5202907;74.09;0.708;;Cpd 12: 22.226;
13;24.464;417084;5032238;55.1;0.769;C18 H34 O2;"Cpd 13: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 24.464";
14;26.476;964790;11559801;74.09;0.758;;Cpd 14: 26.476;
15;27.844;381817;3789083;55.1;0.349;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 27.844";
16;28.5;873370;10886901;55.1;0.816;C19 H36 O2;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 28.500";
17;30.503;359200;4147540;67.1;0.522;C19 H34 O2;"Cpd 17: Methyl 9,10-octadecadienoate; C19 H34 O2; 30.503";
18;31.076;884096;10889649;74.1;0.803;;Cpd 18: 31.076;
19;32.057;349936;4556251;67.1;0.832;C19 H34 O2;"Cpd 19: Methyl 11,12-octadecadienoate; C19 H34 O2; 32.057";
20;34.604;295567;3912159;79.1;0.857;C18 H32 O;"Cpd 20: 9,12,15-Octadecatrien-1-ol, (Z,Z,Z)-; C18 H32 O; 34.604";
21;35.936;893587;10619215;74.09;0.556;;Cpd 21: 35.936;
22;36.434;264186;3082104;79.1;0.505;C19 H34 O2;"Cpd 22: Methyl 8,9-octadecadienoate; C19 H34 O2; 36.434";
23;38.054;395160;5296219;55.1;0.885;C21 H40 O2;"Cpd 23: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 38.054";
24;40.911;411633;5384209;74.09;0.799;;Cpd 24: 40.911;
25;41.892;330370;4553661;67.1;0.916;C15 H26 O2;"Cpd 25: Methyl 12,13-tetradecadienoate; C15 H26 O2; 41.892";
26;44.509;285505;4024665;79.09;0.919;C19 H34 O2;"Cpd 26: Methyl 7,8-octadecadienoate; C19 H34 O2; 44.509";
27;46.006;810562;10384563;74.09;0.491;;Cpd 27: 46.006;
28;46.438;451390;5702963;79.1;0.487;C19 H34 O2;"Cpd 28: Methyl 7,8-octadecadienoate; C19 H34 O2; 46.438";
29;48.133;355560;5234673;55.1;0.977;;Cpd 29: 48.133;
30;51.043;382316;7705143;74.09;0.655;;Cpd 30: 51.043;
31;52.011;286961;3780810;67.1;0.591;C15 H26 O2;"Cpd 31: Methyl 12,13-tetradecadienoate; C15 H26 O2; 52.011";
32;56.117;706265;10434793;74.09;0.949;;Cpd 32: 56.117;
33;58.178;311142;4787280;55.1;1.035;;Cpd 33: 58.178;
34;63.491;160786;2441038;79.09;0.931;C13 H18 O;"Cpd 34: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 63.491";

