#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;5.065;1119508;7516502;74.07;0.301;;Cpd 1: 5.065;
2;5.366;579693;3560262;74.07;0.253;;Cpd 2: 5.366;
3;5.741;1325026;7880159;74.09;0.329;;Cpd 3: 5.741;
4;6.174;754173;4105529;74.08;0.267;;Cpd 4: 6.174;
5;6.676;1805164;8888240;74.09;0.272;;Cpd 5: 6.676;
6;7.113;897256;3954349;55.1;0.14;C15 H28 O2;"Cpd 6: Methyl myristoleate; C15 H28 O2; 7.113";
7;7.246;1035016;4795560;74.09;0.229;;Cpd 7: 7.246;
8;7.719;1051040;4274392;55.1;0.143;C16 H30 O2;"Cpd 8: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 7.719";
9;7.853;3630837;14710585;74.1;0.272;;Cpd 9: 7.853;
10;8.272;1181375;4439286;55.1;0.204;C17 H32 O2;"Cpd 10: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 8.272";
11;8.496;1334919;4895541;74.1;0.235;;Cpd 11: 8.496;
12;8.931;1368001;4728058;55.1;0.213;C18 H34 O2;"Cpd 12: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 8.931";
13;9.158;3179042;10336774;74.1;0.23;C37 H77 N O2;"Cpd 13: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 9.158";
14;9.413;1507058;4709654;55.1;0.132;C19 H36 O2;"Cpd 14: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 9.413";
15;9.548;3189781;10089045;55.1;0.21;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 9.548";
16;9.83;4455565;14631978;74.1;0.232;;Cpd 16: 9.830;
17;10.13;1423864;4400648;67.1;0.21;C19 H34 O2;"Cpd 17: Methyl 9,10-octadecadienoate; C19 H34 O2; 10.130";
18;10.518;3741518;15077387;74.1;0.293;;Cpd 18: 10.518;
19;10.807;1282434;3563282;79.1;0.099;C19 H34 O2;"Cpd 19: Methyl 8,9-octadecadienoate; C19 H34 O2; 10.807";
20;10.897;1718686;5373379;55.1;0.19;C21 H40 O2;"Cpd 20: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 10.897";
21;11.182;1787498;5357826;74.1;0.202;;Cpd 21: 11.182;
22;11.478;1480791;4357009;67.1;0.193;C19 H34 O2;"Cpd 22: Methyl 9,10-octadecadienoate; C19 H34 O2; 11.478";
23;11.849;3721761;15295953;74.09;0.284;;Cpd 23: 11.849;
24;12.142;1362907;3400561;79.1;0.08;C19 H34 O2;"Cpd 24: Methyl 8,9-octadecadienoate; C19 H34 O2; 12.142";
25;12.215;2683797;9795454;55.1;0.223;C19 H34 O2;"Cpd 25: Methyl 8,9-octadecadienoate; C19 H34 O2; 12.215";
26;12.497;1583281;5162434;74.09;0.207;;Cpd 26: 12.497;
27;12.789;1405267;4076726;67.1;0.113;C15 H26 O2;"Cpd 27: Methyl 12,13-tetradecadienoate; C15 H26 O2; 12.789";
28;12.892;1192927;3944783;79.1;0.206;C13 H20 N2;"Cpd 28: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 12.892";
29;13.16;2977061;10357051;74.09;0.218;;Cpd 29: 13.160;
30;13.544;1252532;5051129;55.1;0.263;;Cpd 30: 13.544;
31;14.022;72532;221555;149;0.115;;Cpd 31: 14.022;
32;14.685;698325;2986846;79.1;0.295;C13 H18 O;"Cpd 32: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 14.685";

