#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;5.5;1385566;8427976;74.1;0.322;;Cpd 1: 5.500;
2;5.933;759259;4483525;74.1;0.297;;Cpd 2: 5.933;
3;6.461;1754421;9836918;74.1;0.398;;Cpd 3: 6.461;
4;7.071;1009576;5196899;74.1;0.344;;Cpd 4: 7.071;
5;7.751;2372200;10995114;74.1;0.367;;Cpd 5: 7.751;
6;8.316;1175958;5071576;55.1;0.198;C15 H28 O2;"Cpd 6: Methyl myristoleate; C15 H28 O2; 8.316";
7;8.497;1367878;5794804;74.1;0.313;;Cpd 7: 8.497;
8;9.097;1354443;5383789;55.1;0.198;C16 H30 O2;"Cpd 8: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 9.097";
9;9.287;4782678;18196114;74.1;0.243;;Cpd 9: 9.287;
10;9.795;1543038;5504422;55.1;0.251;C17 H32 O2;"Cpd 10: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 9.795";
11;10.094;1763541;6105047;74.1;0.247;;Cpd 11: 10.094;
12;10.616;1752249;5982916;55.1;0.239;C18 H34 O2;"Cpd 12: Methyl 8-heptadecenoate; C18 H34 O2; 10.616";
13;10.917;4065071;13599021;74.1;0.239;C37 H77 N O2;"Cpd 13: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 10.917";
14;11.218;1951733;6153279;55.1;0.151;C19 H36 O2;"Cpd 14: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 11.218";
15;11.374;4017101;12946873;55.1;0.214;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 11.374";
16;11.737;4839782;19152085;74.1;0.25;;Cpd 16: 11.737;
17;12.063;1708752;5469068;67.1;0.21;C19 H34 O2;"Cpd 17: Methyl 9,10-octadecadienoate; C19 H34 O2; 12.063";
18;12.553;6220779;19501215;74.1;0.218;;Cpd 18: 12.553;
19;12.861;1483995;4514872;79.1;0.136;C19 H34 O2;"Cpd 19: Methyl 8,9-octadecadienoate; C19 H34 O2; 12.861";
20;12.99;2148651;6857707;55.1;0.206;C21 H40 O2;"Cpd 20: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 12.990";
21;13.344;2362496;7325462;74.1;0.205;;Cpd 21: 13.344;
22;13.666;1848728;5865336;67.1;0.206;C15 H26 O2;"Cpd 22: Methyl 12,13-tetradecadienoate; C15 H26 O2; 13.666";
23;14.135;6065252;20296030;74.1;0.227;;Cpd 23: 14.135;
24;14.437;1650215;4452473;79.1;0.082;C19 H34 O2;"Cpd 24: Methyl 8,9-octadecadienoate; C19 H34 O2; 14.437";
25;14.503;1720779;4189089;79.1;0.049;C19 H34 O2;"Cpd 25: Methyl 7,8-octadecadienoate; C19 H34 O2; 14.503";
26;14.548;2468033;8757704;55.1;0.206;;Cpd 26: 14.548;
27;14.878;2223952;7275952;74.1;0.23;;Cpd 27: 14.878;
28;15.195;1852381;5394291;67.1;0.106;C19 H34 O2;"Cpd 28: Methyl 9,10-octadecadienoate; C19 H34 O2; 15.195";
29;15.29;1389182;4602116;79.1;0.191;C13 H20 N2;"Cpd 29: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 15.290";
30;15.632;4230267;14232057;74.1;0.224;;Cpd 30: 15.632;
31;16.034;1879682;6635249;55.1;0.213;;Cpd 31: 16.034;
32;16.465;84000;268655;149;0.125;;Cpd 32: 16.465;
33;17.232;933361;3921308;79.1;0.271;C13 H18 O;"Cpd 33: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 17.232";

