#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;5.843;1083607;5907795;74.1;0.259;;Cpd 1: 5.843;
2;7.092;1644143;7644355;74.1;0.363;;Cpd 2: 7.092;
3;7.863;1007497;4093385;74.1;0.293;;Cpd 3: 7.863;
4;8.696;2444410;8668035;74.1;0.241;;Cpd 4: 8.696;
5;9.561;1402565;4485329;74.1;0.213;;Cpd 5: 9.561;
6;10.439;3192019;9503579;74.1;0.214;;Cpd 6: 10.439;
7;11.07;1467406;4407079;55.1;0.21;C15 H28 O2;"Cpd 7: Methyl myristoleate; C15 H28 O2; 11.070";
8;11.313;1652540;4743715;74.1;0.186;;Cpd 8: 11.313;
9;11.944;1569221;4494491;55.1;0.208;C16 H30 O2;"Cpd 9: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 11.944";
10;12.175;5315718;15031656;74.1;0.188;;Cpd 10: 12.175;
11;12.682;1619753;4731219;55.1;0.198;C17 H32 O2;"Cpd 11: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 12.682";
12;13.003;1876860;5182513;74.1;0.185;;Cpd 12: 13.003;
13;13.506;1747993;4966748;55.1;0.19;C18 H34 O2;"Cpd 13: Methyl 8-heptadecenoate; C18 H34 O2; 13.506";
14;13.815;4032740;11374681;74.1;0.214;C37 H77 N O2;"Cpd 14: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 13.815";
15;14.091;1834782;5151907;55.1;0.14;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 14.091";
16;14.24;3813237;10883160;55.1;0.185;C19 H36 O2;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 14.240";
17;14.594;4270108;16054881;74.1;0.225;;Cpd 17: 14.594;
18;14.879;1596578;4541312;67.1;0.199;C19 H34 O2;"Cpd 18: Methyl 9,10-octadecadienoate; C19 H34 O2; 14.879";
19;15.349;5513607;16383117;74.1;0.193;;Cpd 19: 15.349;
20;15.617;1334627;3642817;79.1;0.12;C19 H34 O2;"Cpd 20: Methyl 8,9-octadecadienoate; C19 H34 O2; 15.617";
21;15.744;1983496;5672103;55.1;0.194;C21 H40 O2;"Cpd 21: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 15.744";
22;16.066;2228448;6369555;74.1;0.198;;Cpd 22: 16.066;
23;16.354;1690335;4943031;67.1;0.201;C15 H26 O2;"Cpd 23: Methyl 12,13-tetradecadienoate; C15 H26 O2; 16.354";
24;16.779;5978817;18001140;74.1;0.214;;Cpd 24: 16.779;
25;17.051;1479920;3634271;79.1;0.07;C19 H34 O2;"Cpd 25: Methyl 8,9-octadecadienoate; C19 H34 O2; 17.051";
26;17.146;2379211;10772482;55.1;0.243;C15 H26 O2;"Cpd 26: Methyl 12,13-tetradecadienoate; C15 H26 O2; 17.146";
27;17.443;2207280;6591686;74.1;0.21;;Cpd 27: 17.443;
28;17.727;1718589;4743872;67.1;0.099;C15 H26 O2;"Cpd 28: Methyl 12,13-tetradecadienoate; C15 H26 O2; 17.727";
29;17.821;1263156;4228664;79.1;0.185;C13 H20 N2;"Cpd 29: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 17.821";
30;18.123;4070485;13059217;74.1;0.21;;Cpd 30: 18.123;
31;18.502;1769488;6115715;55.1;0.229;;Cpd 31: 18.502;
32;18.947;71499;234403;149;0.128;;Cpd 32: 18.947;
33;19.652;799507;3358223;79.1;0.263;C13 H18 O;"Cpd 33: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 19.652";

