#Compound List: 6163 found
#
Cpd;RT;Height;Area;Base Peak;Width;Formula;Label
1;6.419;405613;1959569;74.09;0.284;;Cpd 1: 6.419;
2;7.062;276780;1189943;74.09;0.232;;Cpd 2: 7.063;
3;7.784;727262;2734205;74.1;0.224;;Cpd 3: 7.784;
4;8.559;445169;1481080;74.09;0.22;;Cpd 4: 8.559;
5;9.371;1106571;3270082;74.1;0.209;;Cpd 5: 9.371;
6;9.973;537725;1541549;55.1;0.2;C15 H28 O2;"Cpd 6: Methyl myristoleate; C15 H28 O2; 9.973";
7;10.195;620268;1687167;74.1;0.177;;Cpd 7: 10.195;
8;10.805;618687;1634356;55.1;0.172;C16 H30 O2;"Cpd 8: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 10.805";
9;11.02;2132170;5464789;74.1;0.185;;Cpd 9: 11.020;
10;11.518;664133;1704140;55.1;0.177;C17 H32 O2;"Cpd 10: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 11.518";
11;11.828;745618;1870551;74.1;0.176;;Cpd 11: 11.828;
12;12.322;735552;1842234;55.1;0.18;C18 H34 O2;"Cpd 12: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 12.322";
13;12.627;1629173;4146489;74.1;0.185;C19 H38 O2;"Cpd 13: Methyl stearate; C19 H38 O2; 12.627";
14;12.899;771466;1932327;55.1;0.139;C19 H36 O2;"Cpd 14: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 12.899";
15;13.048;1530639;3913716;55.1;0.185;C19 H36 O2;"Cpd 15: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 13.048";
16;13.353;736903;1823706;67.1;0.171;C19 H34 O2;"Cpd 16: Methyl 9,10-octadecadienoate; C19 H34 O2; 13.353";
17;13.682;693579;1765074;67.1;0.181;C19 H34 O2;"Cpd 17: Methyl 9,10-octadecadienoate; C19 H34 O2; 13.682";
18;14.144;2308151;6208570;74.1;0.181;;Cpd 18: 14.144;
19;14.412;611504;1435220;79.1;0.116;C19 H34 O2;"Cpd 19: Methyl 8,9-octadecadienoate; C19 H34 O2; 14.412";
20;14.54;824413;2085084;55.1;0.181;C21 H40 O2;"Cpd 20: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 14.540";
21;14.861;940084;2322450;74.1;0.165;;Cpd 21: 14.861;
22;15.146;746817;1862932;67.1;0.169;C15 H26 O2;"Cpd 22: Methyl 12,13-tetradecadienoate; C15 H26 O2; 15.146";
23;15.574;2594888;6800780;74.1;0.169;;Cpd 23: 15.574;
24;15.834;661056;1538118;79.1;0.077;C19 H34 O2;"Cpd 24: Methyl 9,10-octadecadienoate; C19 H34 O2; 15.834";
25;15.896;626018;1445964;79.1;0.049;C19 H34 O2;"Cpd 25: Methyl 7,8-octadecadienoate; C19 H34 O2; 15.896";
26;15.941;933152;2390788;55.1;0.148;;Cpd 26: 15.941;
27;16.234;977653;2485201;74.1;0.175;;Cpd 27: 16.234;
28;16.518;777863;1889445;67.1;0.093;C19 H34 O2;"Cpd 28: Methyl 9,10-octadecadienoate; C19 H34 O2; 16.518";
29;16.605;548180;1615192;79.1;0.181;C13 H20 N2;"Cpd 29: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 16.605";
30;16.922;1780093;5203263;74.09;0.196;C25 H50 O2;"Cpd 30: Tetracosanoic acid, methyl ester; C25 H50 O2; 16.922";
31;17.297;836310;2497594;55.1;0.214;;Cpd 31: 17.297;
32;18.443;404054;1416755;79.1;0.239;C13 H18 O;"Cpd 32: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 18.443";

