#Compound List: 39 found
#
Show/Hide;Label;Mass;RT;RI;Width;Height;Area;Score;Base Peak;Ions;Saturated;Algorithm;ID Source;FV;CE;MS/MS Count;File;Volume;Formula;Precursor;Score (Lib);Flags;RI Diff (Lib);RI Diff % (Lib);Lib/DB;RI (Lib);Cpd;Name;Hit Count;CAS ID;Notes;Diff (ppm);Score (Tgt);Flags (Tgt);Target Retention Time Difference;Score (Frag Coelution);FIs Conf.;FIs Conf. %;Score (Frag Ratio);FragMassDiff(ppm);Source;Score (MFG);Relative Mass Difference (MFG);Tgt MFG Hit;Vol %;Std Dev;Score (DB);RT Diff;Relative Reference Mass difference;Purity Value;Purity Comments;TIC% Area;EIC/TIC% Area;UVA% Area;ADC% Area
True;Cpd 23: 18.319;;18.319;;0.177;798741;9861665;;74;46;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;74;;;;;;;23;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 24: 18.554;;18.554;;0.165;126820;2576868;;79;60;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;79;;;;;;;24;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 25: 18.643;;18.643;;0.194;118668;4045525;;55;95;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;55;;;;;;;25;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 26: 18.895;;18.895;;0.198;366402;4220891;;74;39;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;74;;;;;;;26;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 27: 19.139;;19.139;;0.177;120778;3349155;;67;76;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;67;;;;;;;27;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 28: 19.470;;19.47;;0.206;716655;9484217;;74;37;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;74;;;;;;;28;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 29: 19.499;;19.499;;0.218;96771;3030946;;67;57;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;67;;;;;;;29;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 30: 19.720;;19.72;;0.194;113855;2431452;;79;43;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;79;;;;;;;30;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 31: 19.776;;19.776;;0.239;107458;3354118;;79;57;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;79;;;;;;;31;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 32: 19.791;;19.791;;0.231;133315;4400766;;55;77;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;55;;;;;;;32;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 33: 20.037;;20.037;;0.21;282667;4180738;;74;40;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;74;;;;;;;33;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 34: 20.304;;20.304;;0.218;100455;3277740;;67;66;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;67;;;;;;;34;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 35: 20.409;;20.409;;0.181;80140;2413091;;79;64;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;79;;;;;;;35;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 36: 20.633;;20.633;;0.235;518232;8596077;;74;40;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;74;;;;;;;36;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 37: 20.983;;20.983;;0.256;87338;4112657;;55;101;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;55;;;;;;;37;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 38: 21.473;;21.473;;0.247;38652;183875;;149;8;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;149;;;;;;;38;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
True;Cpd 39: 22.067;;22.067;;0.289;46493;1941774;;79;74;;Find by Chromatogram Deconvolution;;;;;D:\g\temp\60C_1ml-min_10C-min_3.D;;;79;;;;;;;39;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
