#Compound List: 4326 found
#
Show/Hide;Label;RT;Height;Area;Ion Polarity;Base Peak;Formula;Width;Score;Cpd;Name;Hit Count;CAS ID;Reference mass;Reference Retention Time;RT Diff
True;Cpd 1: 7.079;7.079;39848;315194;Positive;84;;0.299;;1;;0;;;;;
True;Cpd 2: 7.825;7.825;640659;3844478;Positive;74.1;;0.32;;2;;0;;;;;
True;Cpd 3: 10.393;10.393;1110535;4488960;Positive;74.1;;0.28;;3;;0;;;;;
True;Cpd 4: 13.122;13.122;1561556;5650291;Positive;74.1;;0.239;;4;;0;;;;;
True;Cpd 5: 14.436;14.436;861725;3048362;Positive;74.1;;0.247;;5;;0;;;;;
True;Cpd 6: 15.695;15.695;1946586;6572942;Positive;74.1;;0.243;;6;;0;;;;;
True;Cpd 7: 16.893;16.893;1064514;3443524;Positive;74.1;;0.216;;7;;0;;;;;
True;Cpd 8: 18.035;18.035;2327184;7498328;Positive;74.1;;0.222;;8;;0;;;;;
True;"Cpd 9: Methyl myristoleate; C15 H28 O2; 18.798";18.798;1052312;3422041;Positive;55.1;C15 H28 O2;0.208;72.57;9;Methyl myristoleate;3;56219-06-8;240.209;28.133;9.336;
True;Cpd 10: 19.119;19.119;1218239;3884806;Positive;74.1;;0.234;;10;;0;;;;;
True;"Cpd 11: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 19.861";19.861;1143503;3670537;Positive;55.1;C16 H30 O2;0.235;76.84;11;Methyl (Z)-10-pentadecenoate;1;1000426-92-2;254.225;29.783;9.922;
True;Cpd 12: 20.162;20.162;4063723;12833698;Positive;74.1;;0.222;;12;;0;;;;;
True;"Cpd 13: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 20.747";20.747;1221389;3940426;Positive;55.1;C17 H32 O2;0.214;73.2;13;11-Hexadecenoic acid, methyl ester;6;55000-42-5;268.24;31.433;10.686;
True;Cpd 14: 21.147;21.147;1404974;4411335;Positive;74.1;;0.212;;14;;0;;;;;
True;"Cpd 15: Methyl 8-heptadecenoate; C18 H34 O2; 21.720";21.72;1296783;4208077;Positive;55.1;C18 H34 O2;0.204;73.76;15;Methyl 8-heptadecenoate;3;1000336-36-4;282.256;33.1;11.38;
True;Cpd 16: 21.905;21.905;35244;155596;Positive;74.08;;0.153;;16;;0;;;;;
True;"Cpd 17: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 22.101";22.101;3139948;9840027;Positive;74.1;C37 H77 N O2;0.214;71.52;17;1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate;2;124-23-2;567.595;;;
True;"Cpd 18: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 22.412";22.412;1410924;4472990;Positive;55.1;C19 H36 O2;0.161;73.79;18;13-Octadecenoic acid, methyl ester;7;56554-47-3;296.272;34.75;12.338;
True;"Cpd 19: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 22.578";22.578;2896955;9452482;Positive;55.1;C19 H36 O2;0.214;74.15;19;13-Octadecenoic acid, methyl ester;7;56554-47-3;296.272;34.75;12.172;
True;"Cpd 20: Methyl 9,10-octadecadienoate; C19 H34 O2; 22.944";22.944;1248722;3037097;Positive;67.1;C19 H34 O2;0.082;88.04;20;Methyl 9,10-octadecadienoate;10;1010336-45-7;294.256;;;
True;Cpd 21: 23.002;23.002;3295707;10987348;Positive;74.1;;0.19;;21;;0;;;;;
True;"Cpd 22: Methyl 9,10-octadecadienoate; C19 H34 O2; 23.315";23.315;1166301;3774528;Positive;67.1;C19 H34 O2;0.205;88.85;22;Methyl 9,10-octadecadienoate;10;1010336-45-7;294.256;;;
True;Cpd 23: 23.876;23.876;3667436;14530418;Positive;74.1;;0.251;;23;;0;;;;;
True;"Cpd 24: Methyl 8,9-octadecadienoate; C19 H34 O2; 24.162";24.162;975289;3090895;Positive;79.1;C19 H34 O2;0.147;76.47;24;Methyl 8,9-octadecadienoate;9;1000336-45-0;294.256;;;
True;"Cpd 25: cis-13-Eicosenoic acid, methyl ester; C21 H40 O2; 24.322";24.322;1507813;4873586;Positive;55.1;C21 H40 O2;0.214;74.18;25;cis-13-Eicosenoic acid, methyl ester;2;69120-02-1;324.303;38.067;13.745;
True;Cpd 26: 24.704;24.704;1656172;5501868;Positive;74.1;;0.213;;26;;0;;;;;
True;"Cpd 27: Methyl 12,13-tetradecadienoate; C15 H26 O2; 25.021";25.021;1237129;4178097;Positive;67.1;C15 H26 O2;0.201;80.74;27;Methyl 12,13-tetradecadienoate;10;1000336-33-7;238.193;;;
True;Cpd 28: 25.516;25.516;4551630;15446763;Positive;74.1;;0.221;;28;;0;;;;;
True;"Cpd 29: Methyl 8,9-octadecadienoate; C19 H34 O2; 25.809";25.809;1101071;2872051;Positive;79.1;C19 H34 O2;0.076;74.89;29;Methyl 8,9-octadecadienoate;8;1000336-45-0;294.256;;;
True;"Cpd 30: Methyl 7,8-octadecadienoate; C19 H34 O2; 25.871";25.871;1162709;3429659;Positive;79.1;C19 H34 O2;0.062;73.44;30;Methyl 7,8-octadecadienoate;2;1010336-44-6;294.256;;;
True;Cpd 31: 25.937;25.937;1681028;6239231;Positive;55.1;;0.21;;31;;0;;;;;
True;Cpd 32: 26.283;26.283;1622362;5594797;Positive;74.1;;0.224;;32;;0;;;;;
True;"Cpd 33: Methyl 12,13-tetradecadienoate; C15 H26 O2; 26.599";26.599;1214034;3688404;Positive;67.1;C15 H26 O2;0.095;78.32;33;Methyl 12,13-tetradecadienoate;10;1000336-33-7;238.193;;;
True;"Cpd 34: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 26.679";26.679;1004847;3839633;Positive;79.1;C13 H20 N2;0.225;72.75;34;1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-;2;1000221-85-9;204.163;;;
True;Cpd 35: 27.041;27.041;3224634;11309395;Positive;74.1;;0.234;;35;;0;;;;;
True;Cpd 36: 27.450;27.45;1348169;5124083;Positive;55.1;;0.224;;36;;0;;;;;
True;Cpd 37: 27.849;27.849;60593;190417;Positive;149;;0.122;;37;;0;;;;;
True;"Cpd 38: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 28.649";28.649;581496;2744399;Positive;79.1;C13 H18 O;0.297;73.22;38;Oxacyclotetradeca-4,11-diyne;2;6568-32-7;190.136;;;

