#Compound List: 4326 found
#
Show/Hide;Label;RT;Height;Area;Ion Polarity;Base Peak;Formula;Width;Score;Cpd;Name;Hit Count;CAS ID;Reference mass;Reference Retention Time;RT Diff
True;Cpd 1: 6.822;6.822;41490;276541;Positive;84;;0.212;;1;;0;;;;;
True;Cpd 2: 8.244;8.244;21142;275281;Positive;84;;0.47;;2;;0;;;;;
True;Cpd 3: 9.831;9.831;236206;2488921;Positive;74.1;;0.589;;3;;0;;;;;
True;Cpd 4: 17.836;17.836;292691;3792559;Positive;74.1;;0.783;;4;;0;;;;;
True;Cpd 5: 30.910;30.91;319194;4911976;Positive;74.1;;1.01;;5;;0;;;;;
True;Cpd 6: 38.614;38.614;157326;2374997;Positive;74.1;;0.923;;6;;0;;;;;
True;Cpd 7: 46.541;46.541;356792;5522325;Positive;74.1;;0.935;;7;;0;;;;;
True;Cpd 8: 54.447;54.447;175287;2693452;Positive;74.1;;0.922;;8;;0;;;;;
True;Cpd 9: 62.180;62.18;397886;6069742;Positive;74.1;;0.987;;9;;0;;;;;
True;Cpd 10: 66.648;66.648;169149;2545993;Positive;55.1;;0.851;;10;;0;;;;;
True;Cpd 11: 69.669;69.669;195330;2879494;Positive;74.09;;0.947;;11;;0;;;;;
True;"Cpd 12: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 74.043";74.043;178526;2732667;Positive;55.1;C16 H30 O2;0.985;77.51;12;Methyl (Z)-10-pentadecenoate;1;1000426-92-2;254.225;29.783;-44.259;
True;Cpd 13: 76.912;76.912;691263;10420752;Positive;74.1;;0.969;;13;;0;;;;;
True;"Cpd 14: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 80.185";80.185;186410;2798235;Positive;55.1;C17 H32 O2;0.942;70.52;14;11-Hexadecenoic acid, methyl ester;1;55000-42-5;268.24;31.433;-48.751;
True;Cpd 15: 83.816;83.816;217599;3113525;Positive;74.1;;0.781;;15;;0;;;;;
True;"Cpd 16: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 87.011";87.011;198545;2874841;Positive;55.1;C18 H34 O2;0.723;71.8;16;Methyl 9-heptadecenoate or 9-17:1;1;1000336-38-0;282.256;33.1;-53.911;
True;Cpd 17: 90.514;90.514;525729;7705350;Positive;74.1;;0.939;;17;;0;;;;;
True;Cpd 18: 92.241;92.241;202438;2454188;Positive;55.1;;0.43;;18;;0;;;;;
True;"Cpd 19: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 93.024";93.024;481438;7311431;Positive;55.1;C19 H36 O2;0.972;71.7;19;13-Octadecenoic acid, methyl ester;1;56554-47-3;296.272;34.75;-58.274;
True;"Cpd 20: Methyl 11,12-octadecadienoate; C19 H34 O2; 95.860";95.86;186676;2755764;Positive;67.1;C19 H34 O2;0.912;86.86;20;Methyl 11,12-octadecadienoate;10;1000336-45-8;294.256;;;
True;Cpd 21: 96.895;96.895;533895;7590532;Positive;74.1;;0.75;;21;;0;;;;;
True;"Cpd 22: Methyl 11,12-octadecadienoate; C19 H34 O2; 97.633";97.633;186695;2722778;Positive;67.1;C19 H34 O2;0.69;87.68;22;Methyl 11,12-octadecadienoate;10;1000336-45-8;294.256;;;
True;"Cpd 23: 1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-; C13 H20 N2; 100.803";100.803;153282;2381877;Positive;79.09;C13 H20 N2;1.005;71.09;23;1,4-Methanocycloocta[d]pyridazine, 1,4,4a,5,6,9,10,10a-octahydro-11,11-dimethyl-, (1.alpha.,4.alpha.,4a.alpha.,10a.alpha.)-;5;1000221-85-9;204.163;;;
True;Cpd 24: 103.070;103.07;767428;12024896;Positive;74.1;;1.026;;24;;0;;;;;
True;Cpd 25: 105.366;105.366;248790;3744943;Positive;55.1;;0.968;;25;;0;;;;;
True;Cpd 26: 108.939;108.939;283015;4101732;Positive;74.09;;0.783;;26;;0;;;;;
True;"Cpd 27: Methyl 12,13-tetradecadienoate; C15 H26 O2; 109.768";109.768;199677;3051328;Positive;67.1;C15 H26 O2;0.894;81.1;27;Methyl 12,13-tetradecadienoate;10;1000336-33-7;238.193;;;
True;"Cpd 28: Methyl 7,8-octadecadienoate; C19 H34 O2; 112.637";112.637;164643;2589206;Positive;79.09;C19 H34 O2;1.03;74.69;28;Methyl 7,8-octadecadienoate;8;1010336-44-6;294.256;;;
True;Cpd 29: 114.714;114.714;878713;17045068;Positive;74.1;;1.333;;29;;0;;;;;
True;Cpd 30: 116.895;116.895;270238;4314599;Positive;55.1;;1.014;;30;;0;;;;;
True;Cpd 31: 120.151;120.151;345320;6920067;Positive;74.09;;1.012;;31;;0;;;;;
True;"Cpd 32: Methyl 12,13-tetradecadienoate; C15 H26 O2; 121.009";121.009;215738;3110519;Positive;67.1;C15 H26 O2;0.604;78.5;32;Methyl 12,13-tetradecadienoate;9;1000336-33-7;238.193;;;
True;Cpd 33: 125.539;125.539;632692;10403279;Positive;74.1;;1.026;;33;;0;;;;;
True;Cpd 34: 127.616;127.616;249618;3787651;Positive;55.1;;0.699;;34;;0;;;;;
True;"Cpd 35: Oxacyclotetradeca-4,11-diyne; C13 H18 O; 132.954";132.954;108877;1819578;Positive;79.09;C13 H18 O;1.022;73.75;35;Oxacyclotetradeca-4,11-diyne;4;6568-32-7;190.136;;;

