#Compound List: 4326 found
#
Show/Hide;Label;RT;Height;Area;Ion Polarity;Base Peak;Formula;Width;Score;Cpd;Name;Hit Count;CAS ID;Reference mass;Reference Retention Time;RT Diff
True;Cpd 1: 6.686;6.686;42715;333874;Positive;84;;0.292;;1;;0;;;;;
True;Cpd 2: 7.280;7.28;673247;3730525;Positive;74.1;;0.277;;2;;0;;;;;
True;Cpd 3: 9.323;9.323;1262242;4326994;Positive;74.1;;0.223;;3;;0;;;;;
True;Cpd 4: 11.455;11.455;1818618;5492287;Positive;74.1;;0.217;;4;;0;;;;;
True;Cpd 5: 12.473;12.473;1027666;2978359;Positive;74.1;;0.204;;5;;0;;;;;
True;Cpd 6: 13.450;13.45;2289328;6425606;Positive;74.1;;0.206;;6;;0;;;;;
True;Cpd 7: 14.382;14.382;1247830;3377504;Positive;74.1;;0.185;;7;;0;;;;;
True;Cpd 8: 15.264;15.264;2750706;7368871;Positive;74.1;;0.206;;8;;0;;;;;
True;"Cpd 9: Methyl myristoleate; C15 H28 O2; 15.866";15.866;1247253;3413879;Positive;55.1;C15 H28 O2;0.206;72.53;9;Methyl myristoleate;3;56219-06-8;240.209;28.133;12.268;
True;Cpd 10: 16.105;16.105;1448532;3773404;Positive;74.1;;0.202;;10;;0;;;;;
True;"Cpd 11: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 16.694";16.694;1347708;3622433;Positive;55.1;C16 H30 O2;0.186;76.58;11;Methyl (Z)-10-pentadecenoate;1;1000426-92-2;254.225;29.783;13.089;
True;Cpd 12: 16.913;16.913;4673944;12274787;Positive;74.1;;0.186;;12;;0;;;;;
True;"Cpd 13: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 17.379";17.379;1408977;3762980;Positive;55.1;C17 H32 O2;0.178;72.54;13;11-Hexadecenoic acid, methyl ester;6;55000-42-5;268.24;31.433;14.055;
True;Cpd 14: 17.676;17.676;1619525;4181898;Positive;74.1;;0.181;;14;;0;;;;;
True;"Cpd 15: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 18.131";18.131;1489889;4021844;Positive;55.1;C18 H34 O2;0.185;73.6;15;Methyl 9-heptadecenoate or 9-17:1;3;1000336-38-0;282.256;33.1;14.969;
True;"Cpd 16: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 18.413";18.413;3588422;9333343;Positive;74.1;C37 H77 N O2;0.185;71.53;16;1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate;2;124-23-2;567.595;;;
True;"Cpd 17: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 18.661";18.661;1611882;4160985;Positive;55.1;C19 H36 O2;0.123;72.8;17;13-Octadecenoic acid, methyl ester;5;56554-47-3;296.272;34.75;16.089;
True;"Cpd 18: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 18.792";18.792;3328918;8927417;Positive;55.1;C19 H36 O2;0.198;74.08;18;13-Octadecenoic acid, methyl ester;6;56554-47-3;296.272;34.75;15.958;
True;Cpd 19: 19.110;19.11;3862968;13235487;Positive;74.1;;0.214;;19;;0;;;;;
