#Compound List: 4326 found
#
Show/Hide;Label;RT;Height;Area;Ion Polarity;Base Peak;Formula;Width;Score;Cpd;Name;Hit Count;CAS ID;Reference mass;Reference Retention Time;RT Diff
True;"Cpd 1: 1-Cycloocten-5-yne, (Z)-; C8 H10; 6.604";6.604;346018;1996717;Positive;91.1;C8 H10;0.353;72.73;1;1-Cycloocten-5-yne, (Z)-;10;66633-23-6;106.078;;;
True;Cpd 2: 8.615;8.615;116733;512571;Positive;74.08;;0.256;;2;;0;;;;;
True;Cpd 3: 11.286;11.286;625978;2330274;Positive;74.1;;0.271;;3;;0;;;;;
True;Cpd 4: 12.696;12.696;413959;1433896;Positive;74.09;;0.239;;4;;0;;;;;
True;Cpd 5: 14.090;14.09;1027802;3466678;Positive;74.1;;0.239;;5;;0;;;;;
True;Cpd 6: 15.445;15.445;591549;1937106;Positive;74.1;;0.239;;6;;0;;;;;
True;Cpd 7: 16.760;16.76;1385528;4420558;Positive;74.1;;0.227;;7;;0;;;;;
True;"Cpd 8: Methyl myristoleate; C15 H28 O2; 17.626";17.626;622352;2033357;Positive;55.1;C15 H28 O2;0.23;72.31;8;Methyl myristoleate;3;56219-06-8;240.209;28.133;10.507;
True;Cpd 9: 18.013;18.013;728264;2279217;Positive;74.1;;0.217;;9;;0;;;;;
True;"Cpd 10: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 18.863";18.863;685634;2186524;Positive;55.1;C16 H30 O2;0.231;77.51;10;Methyl (Z)-10-pentadecenoate;1;1000426-92-2;254.225;29.783;10.921;
True;Cpd 11: 19.228;19.228;2375288;7522231;Positive;74.1;;0.223;;11;;0;;;;;
True;"Cpd 12: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 19.897";19.897;721288;2293320;Positive;55.1;C17 H32 O2;0.206;73.05;12;11-Hexadecenoic acid, methyl ester;4;55000-42-5;268.24;31.433;11.536;
True;Cpd 13: 20.371;20.371;820216;2572848;Positive;74.1;;0.243;;13;;0;;;;;
True;"Cpd 14: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 21.027";21.027;769917;2450689;Positive;55.1;C18 H34 O2;0.177;72.2;14;Methyl 9-heptadecenoate or 9-17:1;3;1000336-38-0;282.256;33.1;12.073;
True;Cpd 15: 21.159;21.159;28415;105236;Positive;55.07;;0.165;;15;;0;;;;;
True;"Cpd 16: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 21.492";21.492;1698373;5449304;Positive;74.1;C37 H77 N O2;0.227;71.52;16;1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate;2;124-23-2;567.595;;;
True;"Cpd 17: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 21.847";21.847;788176;2553293;Positive;55.1;C19 H36 O2;0.185;73.35;17;13-Octadecenoic acid, methyl ester;2;56554-47-3;296.272;34.75;12.903;
True;"Cpd 18: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 22.032";22.032;1619302;5142278;Positive;55.1;C19 H36 O2;0.218;74.44;18;13-Octadecenoic acid, methyl ester;5;56554-47-3;296.272;34.75;12.718;
True;"Cpd 19: Methyl 9,10-octadecadienoate; C19 H34 O2; 22.461";22.461;737209;2293425;Positive;67.1;C19 H34 O2;0.229;87.65;19;Methyl 9,10-octadecadienoate;10;1010336-45-7;294.256;;;
True;"Cpd 20: Methyl 9,10-octadecadienoate; C19 H34 O2; 22.882";22.882;684537;2216630;Positive;67.1;C19 H34 O2;0.235;89.16;20;Methyl 9,10-octadecadienoate;10;1010336-45-7;294.256;;;
True;"Cpd 21: 1,5,9,13-Tetradecatetraene; C14 H22; 23.479";23.479;616335;1785481;Positive;79.1;C14 H22;0.102;76.47;21;1,5,9,13-Tetradecatetraene;10;51487-38-8;190.172;23.483;0.004;
