#Compound List: 4326 found
#
Show/Hide;Label;RT;Height;Area;Ion Polarity;Base Peak;Formula;Width;Score;Cpd;Name;Hit Count;CAS ID;Reference mass;Reference Retention Time;RT Diff
True;"Cpd 1: p-Xylene; C8 H10; 7.086";7.086;379588;2020438;Positive;91.1;C8 H10;0.341;73.57;1;p-Xylene;10;106-42-3;106.078;15.117;8.031;
True;Cpd 2: 9.246;9.246;133709;523896;Positive;74.09;;0.237;;2;;0;;;;;
True;Cpd 3: 11.810;11.81;705694;2311918;Positive;74.1;;0.223;;3;;0;;;;;
True;Cpd 4: 13.084;13.084;452801;1409923;Positive;74.1;;0.21;;4;;0;;;;;
True;Cpd 5: 14.320;14.32;1056125;3202564;Positive;74.1;;0.214;;5;;0;;;;;
True;Cpd 6: 15.507;15.507;579752;1705923;Positive;74.1;;0.209;;6;;0;;;;;
True;Cpd 7: 16.644;16.644;1272151;3688992;Positive;74.1;;0.21;;7;;0;;;;;
True;"Cpd 8: Methyl myristoleate; C15 H28 O2; 17.403";17.403;579001;1707457;Positive;55.1;C15 H28 O2;0.206;72.02;8;Methyl myristoleate;3;56219-06-8;240.209;28.133;10.73;
True;Cpd 9: 17.725;17.725;651641;1862013;Positive;74.1;;0.201;;9;;0;;;;;
True;"Cpd 10: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 18.467";18.467;630549;1791661;Positive;55.1;C16 H30 O2;0.198;77.85;10;Methyl (Z)-10-pentadecenoate;1;1000426-92-2;254.225;29.783;11.316;
True;Cpd 11: 18.768;18.768;2103243;5981539;Positive;74.1;;0.214;;11;;0;;;;;
True;"Cpd 12: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 19.349";19.349;642285;1874044;Positive;55.1;C17 H32 O2;0.21;72.94;12;11-Hexadecenoic acid, methyl ester;5;55000-42-5;268.24;31.433;12.084;
True;Cpd 13: 19.749;19.749;724403;2031135;Positive;74.09;;0.202;;13;;0;;;;;
