#Compound List: 4326 found
#
Show/Hide;Label;RT;Height;Area;Ion Polarity;Base Peak;Formula;Width;Score;Cpd;Name;Hit Count;CAS ID;Reference mass;Reference Retention Time;RT Diff
True;Cpd 1: 7.595;7.595;105128;504750;Positive;74.08;;0.211;;1;;0;;;;;
True;Cpd 2: 9.924;9.924;576149;2295746;Positive;74.1;;0.264;;2;;0;;;;;
True;Cpd 3: 11.219;11.219;385933;1391090;Positive;74.1;;0.263;;3;;0;;;;;
True;Cpd 4: 12.542;12.542;926424;3113474;Positive;74.1;;0.227;;4;;0;;;;;
True;Cpd 5: 13.848;13.848;501976;1624103;Positive;74.1;;0.235;;5;;0;;;;;
True;Cpd 6: 15.134;15.134;1096340;3482017;Positive;74.1;;0.218;;6;;0;;;;;
True;"Cpd 7: Methyl myristoleate; C15 H28 O2; 15.992";15.992;516802;1640071;Positive;55.1;C15 H28 O2;0.23;71.73;7;Methyl myristoleate;3;56219-06-8;240.209;28.133;12.141;
True;"Cpd 8: Methyl 13-methyltetradecanoate; C16 H32 O2; 16.371";16.371;558212;1725116;Positive;74.1;C16 H32 O2;0.214;70.18;8;Methyl 13-methyltetradecanoate;1;1000424-50-7;256.24;28.583;12.212;
True;"Cpd 9: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 17.216";17.216;529628;1688099;Positive;55.1;C16 H30 O2;0.243;77.81;9;Methyl (Z)-10-pentadecenoate;1;1000426-92-2;254.225;29.783;12.567;
True;Cpd 10: 17.571;17.571;1773529;5489778;Positive;74.1;;0.218;;10;;0;;;;;
True;"Cpd 11: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 18.238";18.238;542765;1652063;Positive;55.1;C17 H32 O2;0.182;72.19;11;11-Hexadecenoic acid, methyl ester;1;55000-42-5;268.24;31.433;13.195;
True;Cpd 12: 18.712;18.712;611577;1873020;Positive;74.1;;0.214;;12;;0;;;;;
