#Compound List: 4326 found
#
Show/Hide;Label;RT;Height;Area;Ion Polarity;Base Peak;Formula;Width;Score;Cpd;Name;Hit Count;CAS ID;Reference mass;Reference Retention Time;RT Diff
True;Cpd 1: 6.221;6.221;420399;3054187;Positive;74.1;;0.352;;1;;0;;;;;
True;Cpd 2: 8.368;8.368;700689;4560496;Positive;74.1;;0.458;;2;;0;;;;;
True;Cpd 3: 11.583;11.583;992868;5591965;Positive;74.1;;0.39;;3;;0;;;;;
True;Cpd 4: 13.446;13.446;550584;2926737;Positive;74.1;;0.337;;4;;0;;;;;
True;Cpd 5: 15.371;15.371;1229721;6295744;Positive;74.1;;0.338;;5;;0;;;;;
True;Cpd 6: 17.300;17.3;644976;3218099;Positive;74.1;;0.342;;6;;0;;;;;
True;Cpd 7: 19.205;19.205;1394900;6883076;Positive;74.1;;0.342;;7;;0;;;;;
True;"Cpd 8: Methyl myristoleate; C15 H28 O2; 20.454";20.454;615685;3111742;Positive;55.1;C15 H28 O2;0.342;72.58;8;Methyl myristoleate;3;56219-06-8;240.209;28.133;7.68;
True;Cpd 9: 21.056;21.056;705651;3459440;Positive;74.1;;0.313;;9;;0;;;;;
True;"Cpd 10: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 22.280";22.28;641809;3257912;Positive;55.1;C16 H30 O2;0.366;76.89;10;Methyl (Z)-10-pentadecenoate;1;1000426-92-2;254.225;29.783;7.503;
True;Cpd 11: 22.849;22.849;2353595;11400443;Positive;74.1;;0.322;;11;;0;;;;;
True;"Cpd 12: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 23.809";23.809;674753;3398523;Positive;55.1;C17 H32 O2;0.338;72.87;12;11-Hexadecenoic acid, methyl ester;4;55000-42-5;268.24;31.433;7.624;
True;Cpd 13: 24.559;24.559;791106;3835881;Positive;74.1;;0.334;;13;;0;;;;;
True;"Cpd 14: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 25.507";25.507;709382;3326117;Positive;55.1;C18 H34 O2;0.237;73.66;14;Methyl 9-heptadecenoate or 9-17:1;3;1000336-38-0;282.256;33.1;7.593;
True;"Cpd 15: Methyl stearate; C19 H38 O2; 26.225";26.225;1803340;8800954;Positive;74.1;C19 H38 O2;0.322;70.97;15;Methyl stearate;1;112-61-8;298.287;34.617;8.392;
True;"Cpd 16: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 26.744";26.744;797170;3955593;Positive;55.1;C19 H36 O2;0.247;73.88;16;13-Octadecenoic acid, methyl ester;6;56554-47-3;296.272;34.75;8.006;
True;"Cpd 17: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 26.999";26.999;1663095;8535006;Positive;55.1;C19 H36 O2;0.35;73.67;17;13-Octadecenoic acid, methyl ester;6;56554-47-3;296.272;34.75;7.751;
True;"Cpd 18: Methyl 9,10-octadecadienoate; C19 H34 O2; 27.667";27.667;692024;3068952;Positive;67.1;C19 H34 O2;0.159;88.29;18;Methyl 9,10-octadecadienoate;10;1010336-45-7;294.256;;;
True;Cpd 19: 27.811;27.811;1867336;9545797;Positive;74.1;;0.301;;19;;0;;;;;
True;"Cpd 20: Methyl 9,10-octadecadienoate; C19 H34 O2; 28.253";28.253;650947;3131632;Positive;67.1;C19 H34 O2;0.248;88.67;20;Methyl 9,10-octadecadienoate;10;1010336-45-7;294.256;;;
True;"Cpd 21: Methyl 8,9-octadecadienoate; C19 H34 O2; 29.131";29.131;585389;2940796;Positive;79.1;C19 H34 O2;0.227;72.89;21;Methyl 8,9-octadecadienoate;8;1000336-45-0;294.256;;;
True;Cpd 22: 29.344;29.344;2060196;10220235;Positive;74.1;;0.317;;22;;0;;;;;
