#Compound List: 4326 found
#
Show/Hide;Label;RT;Height;Area;Ion Polarity;Base Peak;Formula;Width;Score;Cpd;Name;Hit Count;CAS ID;Reference mass;Reference Retention Time;RT Diff
True;Cpd 1: 5.645;5.645;80289;618847;Positive;84;;0.274;;1;;0;;;;;
True;Cpd 2: 6.069;6.069;532455;3148108;Positive;74.09;;0.311;;2;;0;;;;;
True;Cpd 3: 7.941;7.941;907962;5002387;Positive;74.1;;0.374;;3;;0;;;;;
True;Cpd 4: 10.641;10.641;1341200;6293561;Positive;74.1;;0.341;;4;;0;;;;;
True;Cpd 5: 12.166;12.166;757982;3302453;Positive;74.09;;0.305;;5;;0;;;;;
True;Cpd 6: 13.734;13.734;1715106;7110612;Positive;74.1;;0.293;;6;;0;;;;;
True;Cpd 7: 15.294;15.294;917859;3672275;Positive;74.09;;0.28;;7;;0;;;;;
True;Cpd 8: 16.826;16.826;1968831;7715402;Positive;74.1;;0.243;;8;;0;;;;;
True;"Cpd 9: Methyl myristoleate; C15 H28 O2; 17.846";17.846;907477;3558097;Positive;55.1;C15 H28 O2;0.272;72.23;9;Methyl myristoleate;3;56219-06-8;240.209;28.133;10.288;
True;"Cpd 10: Methyl 13-methyltetradecanoate; C16 H32 O2; 18.307";18.307;1025841;3913570;Positive;74.1;C16 H32 O2;0.266;70.28;10;Methyl 13-methyltetradecanoate;1;1000424-50-7;256.24;28.583;10.276;
True;"Cpd 11: Methyl (Z)-10-pentadecenoate; C16 H30 O2; 19.309";19.309;945573;3715172;Positive;55.1;C16 H30 O2;0.268;76.99;11;Methyl (Z)-10-pentadecenoate;1;1000426-92-2;254.225;29.783;10.474;
True;Cpd 12: 19.746;19.746;3294792;12577130;Positive;74.1;;0.26;;12;;0;;;;;
True;"Cpd 13: 11-Hexadecenoic acid, methyl ester; C17 H32 O2; 20.533";20.533;966499;3851494;Positive;55.1;C17 H32 O2;0.276;72.69;13;11-Hexadecenoic acid, methyl ester;4;55000-42-5;268.24;31.433;10.9;
True;Cpd 14: 21.114;21.114;1132160;4316961;Positive;74.1;;0.268;;14;;0;;;;;
True;"Cpd 15: Methyl 9-heptadecenoate or 9-17:1; C18 H34 O2; 21.889";21.889;1064143;4214745;Positive;55.1;C18 H34 O2;0.272;73.77;15;Methyl 9-heptadecenoate or 9-17:1;3;1000336-38-0;282.256;33.1;11.211;
True;"Cpd 16: 1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate; C37 H77 N O2; 22.446";22.446;2501889;9591973;Positive;74.09;C37 H77 N O2;0.26;71.54;16;1-Hexadecanaminium, N,N,N-trimethyl-, octadecanoate;2;124-23-2;567.595;;;
True;"Cpd 17: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 22.870";22.87;1143200;4430684;Positive;55.1;C19 H36 O2;0.214;73.19;17;13-Octadecenoic acid, methyl ester;3;56554-47-3;296.272;34.75;11.88;
True;"Cpd 18: 13-Octadecenoic acid, methyl ester; C19 H36 O2; 23.085";23.085;2322512;9264573;Positive;55.1;C19 H36 O2;0.276;73.61;18;13-Octadecenoic acid, methyl ester;7;56554-47-3;296.272;34.75;11.665;
