#"+EI TIC Scan 120C_1ml-min_8C-min_3.d "
#Point;X(Minutes);Y(Counts)
0;5,291;3,20472794572361
1;5,295;3,1366315034818
2;5,299;3,07906041892422
3;5,303;3,05284066668589
4;5,307;3,08334922125463
5;5,311;3,04931972852818
6;5,316;2,99219812543754
7;5,320;2,98781568113485
8;5,324;3,00435285343945
9;5,328;2,96856289163414
10;5,332;2,94344811466872
11;5,336;2,88728165969533
12;5,340;2,8698642528513
13;5,344;2,82368003212294
14;5,349;2,83870020447661
15;5,353;2,81206842756026
16;5,357;2,767326293205
17;5,361;2,75268068874045
18;5,365;2,71619777634027
19;5,369;2,73043135612679
20;5,373;2,69660787573935
21;5,377;2,71850136885835
22;5,382;2,90778925162459
23;5,386;3,34550928684896
24;5,390;4,06235731304474
25;5,394;5,40581996094755
26;5,398;7,48764956027603
27;5,402;10,0562301315145
28;5,406;12,4724926706428
29;5,410;14,7241700792923
30;5,414;16,2967371765747
31;5,419;17,1487292971646
32;5,423;17,4954855205164
33;5,427;17,2118252580866
34;5,431;16,6460030047836
35;5,435;16,0966430102073
36;5,439;15,4514685495945
37;5,443;14,9274480727171
38;5,447;14,3794927077251
39;5,452;13,74162232095
40;5,456;13,1884979190881
41;5,460;12,7123659468346
42;5,464;12,0243409197065
43;5,468;11,5198167014578
44;5,472;10,946858929867
45;5,476;10,5882850896135
46;5,480;10,2053830649617
47;5,485;9,84435580503442
48;5,489;9,49346060650782
49;5,493;9,15897148152463
50;5,497;8,65184401644653
51;5,501;8,42970652980455
52;5,505;8,05556939375812
53;5,509;7,62534071631614
54;5,513;7,34332855259851
55;5,518;7,04498522891529
56;5,522;6,76523920092683
57;5,526;6,54898243014402
58;5,530;6,28976272247928
59;5,534;6,00883680564009
60;5,538;5,75553527062343
61;5,542;5,57049873339868
62;5,546;5,23621562075451
63;5,551;5,07466449017752
64;5,555;4,7873334624344
65;5,559;4,52562287830701
66;5,563;4,26580386201968
67;5,567;4,0685376832152
68;5,571;3,84437752997199
69;5,575;3,66477222713947
70;5,579;3,43802755546133
71;5,583;3,2955419304405
72;5,588;3,19594432872378
73;5,592;3,04435670399735
74;5,596;2,85967600626727
75;5,600;2,76292512050785
76;5,604;2,68763697479495
77;5,608;2,5901369532573
78;5,612;2,52919475769765
79;5,616;2,43004663744787
80;5,621;2,37367417013548
81;5,625;2,26598590201379
82;5,629;2,23706926097381
83;5,633;2,15194870817154
84;5,637;2,12082211658575
85;5,641;2,12117795608042
86;5,645;2,05081537810943
87;5,649;2,02242313211421
88;5,654;1,86353143354997
89;5,658;1,90196209897357
90;5,662;1,93024197460205
91;5,666;1,82523186688756
92;5,670;1,80790810201581
93;5,674;1,78652027554712
94;5,678;1,7140039322137
95;5,682;1,76949616498667
96;5,687;1,77717480671361
97;5,691;1,75689195551782
98;5,695;1,69982653761055
99;5,699;1,7157456728981
100;5,703;1,71237456189603
101;5,707;1,69727947596454
102;5,711;1,73125278350763
103;5,715;1,61079175036698
104;5,720;1,6368429470552
105;5,724;1,62120473768449
106;5,728;1,57730538107975
107;5,732;1,59309341760611
108;5,736;1,58623882523524
109;5,740;1,59500371384062
110;5,744;1,5555617151164
111;5,748;1,53765737001651
112;5,752;1,49031198883188
113;5,757;1,53102751837911
114;5,761;1,55483130773262
115;5,765;1,53376186396968
116;5,769;1,44004497811213
117;5,773;1,49793444537545
118;5,777;1,52818080242181
119;5,781;1,51829221014907
120;5,785;1,55245280163671
121;5,790;1,50583782783586
122;5,794;1,52726311109346
123;5,798;1,52552137040906
124;5,802;1,49424495166763
125;5,806;1,43238506477964
126;5,810;1,45116964441896
127;5,814;1,45188132340828
128;5,818;1,46418587856584
129;5,823;1,46429824893258
130;5,827;1,43706716339363
131;5,831;1,45764966890071
132;5,835;1,47890639660821
133;5,839;1,41764581834281
134;5,843;1,40344969534521
135;5,847;1,4388650892614
136;5,851;1,42680400323177
137;5,856;1,43148610184576
138;5,860;1,45085126171321
139;5,864;1,45600157018859
140;5,868;1,44566349644891
141;5,872;1,46223812554242
142;5,876;1,3919317327548
143;5,880;1,38650049836258
144;5,884;1,39198791793817
145;5,889;1,39944181893163
146;5,893;1,3782412764075
147;5,897;1,36406388180435
148;5,901;1,3883171526248
149;5,905;1,39884251030904
150;5,909;1,37619988141181
151;5,913;1,37237928894279
152;5,917;1,40108991764376
153;5,922;1,35739657337804
154;5,926;1,33962332703934
155;5,930;1,33083971003951
156;5,934;1,26542142820489
157;5,938;1,30557510591843
158;5,942;1,29982548882046
159;5,946;1,31690578456428
160;5,950;1,34247004299665
161;5,954;1,30480724174574
162;5,959;1,29137898292083
163;5,963;1,31057558723817
164;5,967;1,26581472448846
165;5,971;1,25543919395987
166;5,975;1,27220110699794
167;5,979;1,28540462508938
168;5,983;1,23431356501356
169;5,987;1,24674921893231
170;5,992;1,22547376283035
171;5,996;1,24880934232246
172;6,000;1,21343140519518
173;6,004;1,26444755169318
174;6,008;1,27630262538379
175;6,012;1,22704694796465
176;6,016;1,20060245499286
177;6,020;1,23283402185154
178;6,025;1,22197155306709
179;6,029;1,19121952937043
180;6,033;1,22509919494124
181;6,037;1,18273556668189
182;6,041;1,18698691222339
183;6,045;1,14647739501518
184;6,049;1,2210351333443
185;6,053;1,21056596084342
186;6,058;1,15722749343289
187;6,062;1,20683901034669
188;6,066;1,16522451786558
189;6,070;1,17039355473542
190;6,074;1,17136743124713
191;6,078;1,21725199766419
192;6,082;1,22687839241455
193;6,086;1,20854329424218
194;6,091;1,22942545406056
195;6,095;1,22691584920346
196;6,099;1,21015393616539
197;6,103;1,24583152760397
198;6,107;1,18296030741536
199;6,111;1,18612540607841
200;6,115;1,22013617041041
201;6,119;1,10885205055318
202;6,123;1,20155760311011
203;6,128;1,16803377703397
204;6,132;1,15329453059714
205;6,136;1,18035706058598
206;6,140;1,10628626051272
207;6,144;1,12864796349312
208;6,148;1,084486409366
209;6,152;1,11085598875997
210;6,156;1,13155086463379
211;6,161;1,15205845656305
212;6,165;1,09164065604817
213;6,169;1,07132034806347
214;6,173;1,10941390238686
215;6,177;1,13215017325638
216;6,181;1,0846549649161
217;6,185;1,10739123578562
218;6,189;1,08075945886926
219;6,194;1,08070327368589
220;6,198;1,06412864459238
221;6,202;1,02459300389588
222;6,206;1,03135395429448
223;6,210;0,956758759176445
224;6,214;0,977191437527882
225;6,218;0,927392636669522
226;6,222;0,860007873417029
227;6,227;0,922298513377505
228;6,231;0,866881194182361
229;6,235;0,874016712470077
230;6,239;0,843770355423724
231;6,243;0,871450922429612
232;6,247;0,837852182775645
233;6,251;0,853958602007759
234;6,255;0,813711282321931
235;6,260;0,847834417020665
236;6,264;0,827795034952802
237;6,268;0,841466762905643
238;6,272;0,849070491054757
239;6,276;0,856936416726254
240;6,280;0,812344109526647
241;6,284;0,839762479010152
242;6,288;0,840024676532535
243;6,292;0,816932566168354
244;6,297;0,811033121914731
245;6,301;0,8148724427782
246;6,305;0,858734342594025
247;6,309;0,825678726379281
248;6,313;0,826671331285446
249;6,317;0,789439283107026
250;6,321;0,848396268854343
251;6,325;0,796705900155933
252;6,330;0,841148380199892
253;6,334;0,832140022466582
254;6,338;0,824330281978453
255;6,342;0,789514196684849
256;6,346;0,792810394109096
257;6,350;0,759960790233367
258;6,354;0,83824547905922
259;6,358;0,951720821067796
260;6,363;1,20949844235943
261;6,367;1,73838830179534
262;6,371;2,66220381512378
263;6,375;4,3012941695137
264;6,379;6,56707405918847
265;6,383;9,61388418285955
266;6,387;13,0283326897008
267;6,391;16,1553377984323
268;6,396;19,1517498126224
269;6,400;21,2998217431416
270;6,404;22,3104246363789
271;6,408;22,773765115219
272;6,412;22,5295468515134
273;6,416;21,9672642647626
274;6,420;21,1979767340901
275;6,424;20,2106906919505
276;6,429;19,0110433850749
277;6,433;18,0993638713539
278;6,437;17,0587019050148
279;6,441;16,1490637862895
280;6,445;15,2226637545262
281;6,449;14,1151226915849
282;6,453;13,4745366876138
283;6,457;12,4535769922423
284;6,461;11,6827162764356
285;6,466;10,9124923260404
286;6,470;10,1017775868314
287;6,474;9,5176576921449
288;6,478;8,9831118575833
289;6,482;8,33917347100451
290;6,486;7,64755259214089
291;6,490;7,06148494443098
292;6,494;6,40524200269464
293;6,499;5,92513961081647
294;6,503;5,43713383647789
295;6,507;4,8644944475929
296;6,511;4,41750385711284
297;6,515;4,07091618931111
298;6,519;3,56240282304327
299;6,523;3,31449506562991
300;6,527;2,91876409077578
301;6,532;2,67317865427496
302;6,536;2,44270703210009
303;6,540;2,14505665901175
304;6,544;2,10681327753271
305;6,548;1,92865006107329
306;6,552;1,77567653515713
307;6,556;1,63939000870121
308;6,560;1,49117349497686
309;6,565;1,44049445957907
310;6,569;1,34760162307758
311;6,573;1,26624547756095
312;6,577;1,23337714529076
313;6,581;1,1618159500746
314;6,585;1,11578155650188
315;6,589;1,04867771916623
316;6,593;1,01234463392169
317;6,598;0,957133327065564
318;6,602;0,946607969381322
319;6,606;0,855700342692162
320;6,610;0,876732329666189
321;6,614;0,842590466573
322;6,618;0,854576639024805
323;6,622;0,828619084308864
324;6,626;0,739958864954417
325;6,630;0,7540800743742
326;6,635;0,766609370265228
327;6,639;0,738816432892604
328;6,643;0,753536950934978
329;6,647;0,724582853106086
330;6,651;0,717072766929251
331;6,655;0,684092064292331
332;6,659;0,652909287523181
333;6,663;0,703157569848484
